layer,side,wire_number,tension,tension_pass,frequency,zone,confidence,t_sigma,x,y,Gcode,wires,ttf,time
G,B,1,5.606823039730466,True,74.7314669443243,5,0.7868604,0.06655512635527519,6300.0,196.9,X6300.0 Y196.9,"[5.649376456921235, 5.595559705200592, 5.489197867868209]",63.54119825363159,2025-04-04_11-20-46
G,B,1,5.3580721459031775,True,73.05490178376449,5,0.83289176,0.07795639245091154,6300.0,196.9,X6300.0 Y196.9,"[5.278304517751913, 5.36538011085358, 5.469018320745091]",8.409570455551147,2025-04-04_11-21-15
G,B,2,5.691630713706963,True,75.29453227731308,5,0.7946755,0.03161261514885815,6300.0,201.7,X6300.0 Y201.7,"[5.628967962055218, 5.698778207600586, 5.692890418908512]",3.349574327468872,2025-04-04_11-21-19
G,B,3,5.592133565632473,True,74.63350719950648,5,0.8156163,0.0782044275659306,6300.0,206.5,X6300.0 Y206.5,"[5.590390706757864, 5.61607251333694, 5.438832614255934]",3.005260705947876,2025-04-04_11-21-22
G,B,4,5.501184388106769,True,74.02410814017902,5,0.8635352,0.03248448935189457,6300.0,211.3,X6300.0 Y211.3,"[5.496903996755115, 5.517542412559392, 5.440671487452831]",8.381908416748047,2025-04-04_11-21-30
G,B,5,5.36872413825011,True,73.12748328851535,5,0.81317353,0.016178372184318338,6300.0,216.1,X6300.0 Y216.1,"[5.36593259098019, 5.380800146264899, 5.3415537041743]",11.386954069137573,2025-04-04_11-21-41
G,B,6,5.737491948040106,True,75.59727258743033,5,0.81331277,0.040878984041756605,6300.0,220.9,X6300.0 Y220.9,"[5.806956688813451, 5.744495955521936, 5.707947980414575]",3.0526297092437744,2025-04-04_11-21-45
G,B,7,5.585609199385098,True,74.58995687652421,5,0.8030169,0.0782764405241843,6300.0,225.7,X6300.0 Y225.7,"[5.727107344079418, 5.539766272904701, 5.598082920114046]",4.892364263534546,2025-04-04_11-21-49
G,B,8,6.264756461501531,True,78.9945590267195,5,0.834112,0.040919098817076005,6300.0,230.4,X6300.0 Y230.4,"[6.258041929766924, 6.19142661039092, 6.289591623820283]",2.9954445362091064,2025-04-04_11-21-52
G,B,9,5.753353295482915,True,75.70169513368461,5,0.786133,0.05483830499382289,6300.0,235.2,X6300.0 Y235.2,"[5.773278152233022, 5.750038137625813, 5.647082820725327]",4.980975866317749,2025-04-04_11-21-57
G,B,10,5.699943725125359,True,75.34949859132759,5,0.8065925,0.018395701203138347,6300.0,240.0,X6300.0 Y240.0,"[5.667542112757454, 5.711845975728825, 5.696813313640953]",4.693305253982544,2025-04-04_11-22-02
G,B,11,5.812261362741569,True,76.08825958004992,5,0.82367116,0.09581686188539613,6300.0,244.8,X6300.0 Y244.8,"[5.833125226510709, 5.8167921251943, 5.622193190751899]",37.42613911628723,2025-04-04_11-22-39
G,B,12,5.24544044240643,True,72.28298233233964,5,0.76991993,0.053872888842715,6300.0,249.6,X6300.0 Y249.6,"[5.139243715987341, 5.245874453954451, 5.259884496039898]",8.108964204788208,2025-04-04_11-22-48
G,B,13,5.679902793835068,True,75.21691800053671,5,0.83289003,0.07998723569622065,6300.0,254.4,X6300.0 Y254.4,"[5.521149404156646, 5.684251852623636, 5.696716605290384]",3.4745070934295654,2025-04-04_11-22-51
G,B,14,5.660578986654136,True,75.08885986182146,5,0.83022404,0.06811459121966523,6300.0,259.2,X6300.0 Y259.2,"[5.547869592653288, 5.649038749056384, 5.713353214632901]",6.433972358703613,2025-04-04_11-22-58
G,B,15,5.461592959887745,True,73.75725540119332,5,0.7700363,0.09291496765894654,6300.0,264.0,X6300.0 Y264.0,"[5.3816379150026465, 5.608143054050302, 5.475631020449415]",8.03430461883545,2025-04-04_11-23-06
G,B,16,5.604098435461871,True,74.71330706888011,5,0.82004243,0.0425720493318857,6300.0,268.8,X6300.0 Y268.8,"[5.584547779079655, 5.608958775821118, 5.684552962290313]",4.613558053970337,2025-04-04_11-23-10
G,B,17,5.988612463202421,True,77.233939495898,5,0.7909835,0.038379979374713304,6300.0,273.6,X6300.0 Y273.6,"[5.987879378754057, 6.064527345767241, 5.979060817355067]",3.308321237564087,2025-04-04_11-23-13
G,B,18,5.337388743461049,True,72.91376100216151,5,0.7980544,0.06268107340077864,6300.0,278.4,X6300.0 Y278.4,"[5.218911255520635, 5.33024713221035, 5.366139929190912]",5.046157598495483,2025-04-04_11-23-19
G,B,19,5.609581086674917,True,74.7498452266094,5,0.82589036,0.02878163581340662,6300.0,283.1,X6300.0 Y283.1,"[5.615260949123044, 5.6114188883475125, 5.552375581232293]",4.090867042541504,2025-04-04_11-23-23
G,B,20,5.563120097313814,True,74.4396462323166,5,0.80024177,0.0006936060275010402,6300.0,287.9,X6300.0 Y287.9,"[5.563814672652459, 5.562118219053124, 5.563046669510236]",8.198305606842041,2025-04-04_11-23-31
G,B,21,5.615864211463716,True,74.7916960491639,5,0.7348089,0.07606322720818463,6300.0,292.7,X6300.0 Y292.7,"[5.60904459983733, 5.64744629474524, 5.470355460999857]",4.058972597122192,2025-04-04_11-23-35
G,B,22,5.462019056251665,True,73.76013250001972,5,0.8249623,0.032845965909763075,6300.0,297.5,X6300.0 Y297.5,"[5.461988180953337, 5.421824947481617, 5.502280769407077]",5.375531911849976,2025-04-04_11-23-40
G,B,23,5.815166842136751,True,76.10727500585558,5,0.8163926,0.05803582645695622,6300.0,302.3,X6300.0 Y302.3,"[5.83907656516643, 5.809950667122982, 5.704012708538951]",3.4976556301116943,2025-04-04_11-23-44
G,B,24,5.787487365349448,True,75.92592833142986,5,0.7642181,0.0865052867405648,6300.0,307.1,X6300.0 Y307.1,"[5.774492960866867, 5.835066872141844, 5.628932420622437]",2.1495449542999268,2025-04-04_11-23-46
G,B,25,5.743214022307077,True,75.63496025767795,5,0.8420722,0.04570286425221368,6300.0,311.9,X6300.0 Y311.9,"[5.7503628564088896, 5.71707170122014, 5.826281620455895]",4.644156455993652,2025-04-04_11-23-51
G,B,26,5.859696642725005,True,76.39811606625622,5,0.83132106,0.05112273327786537,6300.0,316.7,X6300.0 Y316.7,"[5.851776891549747, 5.8890402156006205, 5.7668736035795005]",8.14952039718628,2025-04-04_11-23-59
G,B,27,5.612655121241661,True,74.77032377331066,5,0.81172967,0.044075068554039566,6300.0,321.5,X6300.0 Y321.5,"[5.525149928471198, 5.621890830897448, 5.615025208975753]",5.258878231048584,2025-04-04_11-24-04
G,B,28,5.757235397013094,True,75.72723085986397,5,0.7598567,0.03440277630572098,6300.0,326.3,X6300.0 Y326.3,"[5.753286791143835, 5.752323485409637, 5.825779679114507]",3.680267333984375,2025-04-04_11-24-08
G,B,29,5.596526020093873,True,74.66281264518634,5,0.8510339,0.07559415692530949,6300.0,331.1,X6300.0 Y331.1,"[5.700078471480695, 5.601842151031229, 5.515028844942861]",2.511467695236206,2025-04-04_11-24-10
