layer,side,wire_number,tension,tension_pass,frequency,zone,confidence,t_sigma,x,y,Gcode,wires,ttf,time
V,B,600,2.090882347327395,False,62.226837665192654,2,0.7335952,0.0205435623769851,3000.0,1300.0,X3000.0 Y1300.0,"[2.0704098102353385, 2.111496934989309]",5.317153453826904,2025-05-28_15-34-08
V,B,321,6.097852039399457,True,69.17641909736665,1,0.6713507,0.0698835149002685,3000.0,1300.0,X3000.0 Y1300.0,"[6.16800572764493, 6.028238697844393]",2.6580495834350586,2025-05-28_15-44-09
V,B,320,4.900638637504328,True,61.57256420623531,2,0.79336333,0.0699710997181197,3000.0,1300.0,X3000.0 Y1300.0,"[4.830987336166851, 4.970929535603091]",0.1340820789337158,2025-05-28_15-44-35
V,B,319,6.231328181228999,True,69.43064705844789,2,0.8271549,0.0588096906773967,3000.0,1300.0,X3000.0 Y1300.0,"[6.290335496741903, 6.17271611538711]",0.3722643852233886,2025-05-28_15-44-35
V,B,318,4.789012879835063,True,60.86728115381438,2,0.6164671,0.0755682630899139,3000.0,1300.0,X3000.0 Y1300.0,"[4.864954889312044, 4.713818363132216]",0.4600067138671875,2025-05-28_15-44-36
V,B,317,6.270926413992664,True,69.65090322790961,2,0.41112742,0.0018596104642396,3000.0,1300.0,X3000.0 Y1300.0,"[6.269068802864623, 6.272788023793102]",0.218721866607666,2025-05-28_15-44-36
V,B,316,4.645000521617392,True,59.94511310316365,2,0.6184299,0.0214865822271104,3000.0,1300.0,X3000.0 Y1300.0,"[4.66653345965084, 4.6235602951966195]",0.1861004829406738,2025-05-28_15-44-36
V,B,315,4.84652541097712,True,61.23167608505977,2,0.8331657,0.0231010161326272,3000.0,1300.0,X3000.0 Y1300.0,"[4.823475046637062, 4.869677078902317]",0.2928030490875244,2025-05-28_15-44-37
V,B,314,4.716943206925513,True,60.40755027805815,2,0.68749946,0.0313632248225284,3000.0,1300.0,X3000.0 Y1300.0,"[4.748389959936599, 4.685663510291542]",0.4931716918945312,2025-05-28_15-44-37
V,B,313,4.934182432491899,True,61.7829301813115,2,0.66180056,0.0151641640991329,3000.0,1300.0,X3000.0 Y1300.0,"[4.91904509864992, 4.949373426848186]",0.2139511108398437,2025-05-28_15-44-37
V,B,312,4.033491291347144,True,55.86006827759377,2,0.69990814,0.011031319335728,3000.0,1300.0,X3000.0 Y1300.0,"[4.022478556818504, 4.04454119548996]",0.7525274753570557,2025-05-28_15-44-38
V,B,311,6.2595083667069975,True,69.58746446364775,2,0.8130077,0.0023143579839599,3000.0,1300.0,X3000.0 Y1300.0,"[6.257196539322066, 6.261825255289986]",0.5682966709136963,2025-05-28_15-44-39
V,B,310,6.30980758533135,True,69.866495292334,2,0.63493145,0.0358593655338204,3000.0,1300.0,X3000.0 Y1300.0,"[6.27403506294681, 6.345753794014451]",0.7061481475830078,2025-05-28_15-44-39
V,B,309,4.9458198381773935,True,61.8557456467672,2,0.48387998,0.0587458131926026,3000.0,1300.0,X3000.0 Y1300.0,"[4.88730727116087, 5.004798897546075]",0.7932562828063965,2025-05-28_15-44-40
V,B,308,5.015986455214388,True,62.29297578262569,2,0.7999381,0.0455826570565727,3000.0,1300.0,X3000.0 Y1300.0,"[5.061718297337231, 4.970552983224086]",0.5499770641326904,2025-05-28_15-44-41
V,B,307,4.322220014924231,True,57.82482611138008,2,0.6373905,0.0946220182070289,3000.0,1300.0,X3000.0 Y1300.0,"[4.228021156995402, 4.41726519340946]",0.2460217475891113,2025-05-28_15-44-41
V,B,306,4.6803445714475895,True,60.1727436475893,2,0.6671552,0.0972389958997022,3000.0,1300.0,X3000.0 Y1300.0,"[4.778185952830681, 4.583707961031276]",1.167661190032959,2025-05-28_15-44-42
V,B,305,4.230306855597834,True,57.20669209554444,2,0.7276654,0.0691345838386618,3000.0,1300.0,X3000.0 Y1300.0,"[4.161385533537735, 4.299654701215059]",1.1263957023620603,2025-05-28_15-44-43
V,B,304,4.3964354011372055,True,58.31915846009286,2,0.6995459,0.0596370465199558,3000.0,1300.0,X3000.0 Y1300.0,"[4.456334383552004, 4.337060290512093]",0.4939372539520263,2025-05-28_15-44-44
V,B,303,5.090328138022032,True,62.75289845723295,2,0.6195823,0.0128555785954413,3000.0,1300.0,X3000.0 Y1300.0,"[5.077493544507431, 5.1032047016983135]",0.7449073791503906,2025-05-28_15-44-44
V,B,600,2.130103695666819,False,62.807760146875054,2,0.73663354,0.0510157687478029,3000.0,1300.0,X3000.0 Y1300.0,"[2.1656663383928363, 2.042302619149289, 2.121240884972277]",13.350089073181152,2025-06-03_16-30-56
V,B,302,9.50928323211454,False,85.76987791145527,2,0.6547112464904785,0.0,3032.0,1328.8,X3032.0 Y1328.8,"[9.50928323211454, 9.50928323211454, 9.50928323211454]",8.312742471694946,
V,B,301,9.50928323211454,False,85.76987791145527,2,0.6547112464904785,0.0,3024.0,1328.8,X3024.0 Y1328.8,"[9.50928323211454, 9.50928323211454, 9.50928323211454]",5.348774671554565,
V,B,300,4.033561570906467,True,55.86055492843767,2,0.5344033241271973,0.0452444369992607,3016.0,1328.8,X3016.0 Y1328.8,"[4.048988678115501, 4.031384224898598, 3.9454271338785927]",5.908994436264038,
V,B,299,9.50928323211454,False,85.76987791145527,2,0.6547112464904785,0.0,3008.0,1328.8,X3008.0 Y1328.8,"[9.50928323211454, 9.50928323211454, 9.50928323211454]",1.3837456703186035,
V,B,298,9.50928323211454,False,85.76987791145527,2,0.6547112464904785,0.0,3000.0,1328.8,X3000.0 Y1328.8,"[9.50928323211454, 9.50928323211454, 9.50928323211454]",1.8502318859100344,
V,B,297,3.895442040972038,False,54.89581964791847,2,0.5934484004974365,0.0365585182368692,2992.0,1328.8,X2992.0 Y1328.8,"[3.9467911692465587, 3.857328917899312, 3.898633261051197]",5.6736485958099365,
V,B,296,9.46889170714932,False,85.76987791145527,2,0.6547112464904785,0.0,2984.0,1328.8,X2984.0 Y1328.8,"[9.46889170714932, 9.46889170714932, 9.46889170714932]",5.068678617477417,
V,B,295,5.353672938882586,True,64.934608644932,2,0.8636035919189453,0.0,2976.0,1328.8,X2976.0 Y1328.8,"[5.353672938882586, 5.353672938882586, 5.353672938882586]",6.523858308792114,
V,B,294,5.281306881526613,True,64.934608644932,2,0.8636035919189453,0.0,2968.0,1328.8,X2968.0 Y1328.8,"[5.281306881526613, 5.281306881526613, 5.281306881526613]",3.515972137451172,
V,B,293,5.2087023805660575,True,64.934608644932,2,0.8636035919189453,0.0,2960.0,1328.8,X2960.0 Y1328.8,"[5.2087023805660575, 5.2087023805660575, 5.2087023805660575]",2.204841375350952,
V,B,292,3.661512672533423,False,54.819860642415684,2,0.5660632252693176,0.0792253111054986,2952.0,1328.8,X2952.0 Y1328.8,"[3.816391865969857, 3.6646711624260777, 3.6357434150355665]",4.360836505889893,
V,B,291,5.065721663739746,True,64.934608644932,2,0.8636035919189453,0.0,2944.0,1328.8,X2944.0 Y1328.8,"[5.065721663739746, 5.065721663739746, 5.065721663739746]",3.2816240787506104,
V,B,290,4.995335347155768,True,64.934608644932,2,0.8636035919189453,0.0,2936.0,1328.8,X2936.0 Y1328.8,"[4.995335347155768, 4.995335347155768, 4.995335347155768]",4.404236316680908,
