layer,side,wire_number,tension,tension_pass,frequency,zone,confidence,t_sigma,x,y,Gcode,wires,ttf,time
X,B,2,5.852310528940839,True,77.06966793485543,5,0.82957965,0.09547040318426517,6300.0,200.7,X6300.0 Y200.7,"[5.937990705162848, 5.704965300752159, 5.838509184747786]",13.636033535003662,2025-06-03_16-23-44
X,B,3,5.8511876154670786,True,77.06227369971901,5,0.7871592,0.021481988310589298,6300.0,205.5,X6300.0 Y205.5,"[5.870692208999683, 5.848165638691685, 5.818245718280643]",3.351048469543457,2025-06-03_16-44-55
X,B,4,5.822048509685884,True,76.87014788066902,5,0.7859114,0.08855604821495584,6300.0,210.3,X6300.0 Y210.3,"[5.763212982093535, 5.9768076016112195, 5.8372568886040925]",2.674614906311035,2025-06-03_16-44-58
X,B,5,5.966986507963039,True,77.82109451343764,5,0.8498761,0.09118886124468602,6300.0,215.1,X6300.0 Y215.1,"[5.864462468341567, 6.087758361444762, 5.971257996898338]",3.358438491821289,2025-06-03_16-45-01
X,B,6,6.036748271326703,True,78.27468704637886,5,0.79114795,0.005463469080854447,6300.0,219.9,X6300.0 Y219.9,"[6.0476379218422345, 6.036028064283916, 6.036068348200189]",2.105938673019409,2025-06-03_16-45-03
X,B,7,5.9390663980467835,True,77.63881480423213,5,0.82652617,0.0966106394218393,6300.0,224.7,X6300.0 Y224.7,"[5.929702037756826, 5.802154537748898, 6.0385550436571265]",1.7018709182739258,2025-06-03_16-45-05
X,B,8,5.742451028639559,True,76.34286547096305,5,0.8243111,0.08851029484161671,6300.0,229.4,X6300.0 Y229.4,"[5.675808336476436, 5.890564282314843, 5.757432899649296]",4.522035598754883,2025-06-03_16-45-09
X,B,9,5.422594776886379,True,74.18624379823572,5,0.83446884,0.08125197010052063,6300.0,234.2,X6300.0 Y234.2,"[5.451591830817527, 5.2648637050147356, 5.417876130669053]",3.0678470134735107,2025-06-03_16-45-12
X,B,10,5.722809830321111,True,76.2121939401702,5,0.83299,0.04649668376744622,6300.0,239.0,X6300.0 Y239.0,"[5.799498741483771, 5.73057630394476, 5.686513574717967]",3.6010918617248535,2025-06-03_16-45-16
X,B,11,5.923551180565337,True,77.53733666285173,5,0.8039209,0.07139949162303294,6300.0,243.8,X6300.0 Y243.8,"[5.914819226469158, 5.81798002104474, 5.992523053529927]",2.9499406814575195,2025-06-03_16-45-19
X,B,12,5.76420203977527,True,76.48731294245303,5,0.7954959,0.015338136942461611,6300.0,248.6,X6300.0 Y248.6,"[5.758159754557855, 5.765416292948423, 5.793712465640748]",2.725290536880493,2025-06-03_16-45-22
X,B,13,5.73353680628451,True,76.28358750884227,5,0.81281024,0.06533193791438625,6300.0,253.4,X6300.0 Y253.4,"[5.743404714143532, 5.697564784009565, 5.8532672972762505]",2.439797878265381,2025-06-03_16-45-24
X,B,14,5.9922371784710045,True,77.98557957861803,5,0.8142306,0.09051280650779246,6300.0,258.2,X6300.0 Y258.2,"[6.002802168302849, 5.950361834829038, 6.16314047820931]",2.0960240364074707,2025-06-03_16-45-26
X,B,1,5.735469753774962,True,76.29644516969584,5,0.74833995,0.026995027831341036,6300.0,195.7,X6300.0 Y195.7,"[5.7451204946676, 5.683062267711799, 5.73386192049933]",14.242459058761597,2025-06-03_17-18-29
X,B,15,5.83380354809427,True,76.94771129230425,5,0.75144976,0.07165059041884164,6300.0,261.8,X6300.0 Y261.8,"[5.847820966523181, 5.838639732333618, 5.691444610021741]",16.391634702682495,2025-06-03_17-19-57
X,B,16,5.712826542416651,True,76.14568986209619,5,0.8176017,0.06516757291997977,6300.0,267.8,X6300.0 Y267.8,"[5.5872205574531355, 5.738024109686901, 5.707947525202514]",1.9650979042053223,2025-06-03_17-19-59
X,B,17,6.0677350267590855,True,78.47532271394529,5,0.8476138,0.00961688194149617,6300.0,272.6,X6300.0 Y272.6,"[6.067535923044134, 6.065358923357093, 6.0867606057803325]",3.0588831901550293,2025-06-03_17-20-02
X,B,18,5.8325035244230135,True,76.93913717604443,5,0.7858119,0.07612036832044267,6300.0,277.4,X6300.0 Y277.4,"[5.915138978351608, 5.728777445762319, 5.827099370273518]",2.419567346572876,2025-06-03_17-20-04
