wire_number,mu_A,mu_B,n_A,n_B
1,5.553413232685775,5.87235975504467,8,8
2,5.73684259025367,5.954722271349708,8,8
3,5.896404245645817,5.810915117187383,8,8
4,5.921376683939142,5.900817227327587,8,8
5,5.952034737049971,5.748598367621534,8,8
6,5.925705114629361,5.78472377878844,8,8
7,5.747766989979501,5.783508932777849,8,8
8,5.895744529858411,5.812431771464755,8,8
9,5.742388125308519,5.945721253826532,8,8
10,5.856527290525863,5.88879009480163,8,8
11,6.060419183240143,5.813879180600068,8,8
12,5.890159845386268,5.886400505481339,8,8
13,6.034463228364642,5.8385258007021275,8,8
14,5.9476613752619585,5.850392109718902,8,8
15,5.979040346375697,5.79212642979396,8,8
16,5.898263078928275,5.71221658738108,8,8
17,5.971849185600275,5.7765207436946495,8,8
18,5.850790288476041,5.769745485873944,8,8
19,6.001836085629525,5.796174955669132,8,8
20,5.843005322108775,5.833068724715119,8,8
21,6.046204437474252,5.736624596789523,8,8
22,5.9519424701398265,5.770453071336407,8,8
23,6.021392165204107,5.969460811947924,8,8
24,6.034402980567789,5.93963447583557,8,8
25,6.062126544992774,5.914905317498418,8,8
26,5.908007993495218,5.981133067199266,8,8
27,5.970023697204262,5.789409901831125,8,8
28,6.036956900412978,5.873594794961003,8,8
29,5.961074411309515,5.834394081708144,8,8
30,6.109504982545863,5.95469727547819,8,8
31,6.039658200159378,6.0200512257243775,8,8
32,6.018938413221948,5.933702058245149,8,8
33,6.021046417022706,5.983634538919947,8,8
34,6.015216713283117,6.134595096189676,8,8
35,6.010126676320111,6.17070666318015,8,8
36,6.009045686075849,5.825744421055875,8,8
37,5.985134506485302,6.074095634680769,8,8
38,6.015195210841393,5.929940130313431,8,8
39,5.922948125488764,5.9463593322638335,8,8
40,6.22591120785839,6.063163336242026,8,8
41,6.105104370323483,6.085107467957457,8,8
42,6.068747918349407,6.042906695870371,8,8
43,6.088091445554932,6.1060347137225985,8,8
44,5.986580604716872,6.006427248043533,8,8
45,6.07952935076459,5.920688256903485,8,8
46,6.1033816457218215,5.932248649728972,8,8
47,5.970840027115575,5.904358532318442,8,8
48,6.004924534898444,5.981814341934148,8,8
49,6.101109747996053,6.091105867382368,8,8
50,6.03755805027843,6.2605293226817,8,8
51,6.1136891023187285,5.702198762137043,8,8
52,6.154606654264743,5.917715875547405,8,8
53,6.056095225615131,5.962266897480889,8,8
54,5.927082490963223,5.786895097679748,8,8
55,6.230808652254584,5.806284353571744,8,8
56,6.0015900464004766,5.928341861614726,8,8
57,5.8898419562673485,5.975172991859058,8,8
58,6.085677859694215,5.93038765045547,8,8
59,5.985106425260581,5.904581055612168,8,8
60,6.151636285934936,5.974259675495542,8,8
61,6.110135214193818,6.033940305212342,8,8
