wire_number,mu_A,mu_B,n_A,n_B
8,4.94412103211498,5.767219081983747,4,6
9,5.236956827386177,6.003079409834844,4,7
10,5.323503273800469,5.78483026534256,4,7
11,5.6100502327761,5.363157189982454,4,7
12,5.855580152519604,5.600190035126062,4,7
13,5.262052014574305,5.724973909900447,4,7
14,5.399899796091869,5.603802789067073,4,7
15,5.414356615670311,5.4635128207935955,4,7
16,5.36810487195189,5.3186552770764095,4,7
17,5.340960820369309,5.3578427027078925,4,7
18,5.462451743204372,5.324949227740515,5,7
19,5.421184737231559,5.4143232629971765,5,7
20,5.523312841007375,5.353248609646559,5,7
21,5.338424829437882,5.236215503614923,5,7
22,5.457984485318673,5.510266321974358,5,7
23,5.256233186619863,5.090293830286033,5,7
24,5.4811752284399216,5.429383276571072,5,7
25,5.429230930847319,5.139879108373451,5,7
26,5.535607388072497,5.37279101156143,6,7
27,5.506677444773722,5.306729475851307,6,7
28,5.584971977027719,5.393267042893815,6,7
29,5.610249203748725,5.48397457216155,6,7
30,5.60737798935285,5.435625294135224,6,7
31,5.619163292370024,5.3656603808114305,6,7
32,5.791274304695712,5.315660719335227,6,7
33,5.823096728489257,5.250376630595604,5,7
34,5.918557564392306,5.34837123831844,6,7
35,5.651305457528508,5.097518458137182,6,7
36,5.796168185767438,5.296387815220433,7,7
37,5.853304451565599,5.040071219491267,7,7
38,5.855878672218193,4.99588622001356,7,7
39,5.704321424983732,5.080746236099607,7,7
40,5.920961482858697,4.799384247738182,7,7
41,5.866081043498556,5.092049831329279,7,7
42,5.7372685328819735,4.982879206753911,7,7
43,5.78493398550746,5.343556040762976,7,7
44,5.79785410767347,5.230660045803053,7,7
45,5.87904438400631,5.217476810016184,7,7
46,5.867262581645656,5.194112893955142,7,7
47,5.925628488947877,5.283093026241453,7,7
48,5.962368991791977,5.208069595568931,7,7
49,5.885074097146452,5.478630052267361,7,7
50,5.835213996164339,5.534633901779243,7,7
51,5.796755897047926,5.340721273060018,7,7
52,5.906426464922637,5.179857360131752,7,7
53,5.676337364574482,5.460456939281218,7,7
54,5.758070490790299,5.443847320666984,7,7
55,5.78504376256217,5.531207255818649,7,7
56,5.667080963642814,5.529147297689241,7,7
57,5.615634479549284,5.3930195401367405,7,7
58,5.8575078558474285,5.4861040761801485,7,7
59,5.784938884396545,5.550989644479012,7,7
60,5.625091506167322,5.6401951007670705,7,7
61,5.689306378752357,5.602420355525481,7,7
62,5.737335452126723,5.541110557516883,7,7
63,5.676162311957686,5.506467748945063,7,7
64,5.542419405590078,5.636112332939955,7,7
65,5.708324335574252,5.540158054801251,7,7
66,5.555912346589268,5.496182305435414,7,7
67,5.576155957364413,5.591697499369892,7,7
68,5.615603608964796,5.4692845485449055,7,7
69,5.603417889777356,5.568336659243307,7,7
70,5.637875357609079,5.7621941338434,7,7
71,5.500196446089634,5.574847030844045,7,7
72,5.690811567644654,5.54577697384731,7,7
73,5.713825364495155,5.633342201962867,7,7
74,5.650520247061899,5.434571063779699,7,7
75,5.46441840097166,5.447460622923612,7,7
76,5.558143878031072,5.53774254186295,7,7
77,5.379024190590203,5.434119485095246,7,7
78,5.6523075779916665,5.428087143978039,7,7
79,5.598827811637214,5.47210247581709,7,7
80,5.524974149491097,5.591780263102134,7,7
81,5.633767299480179,5.652717888541675,7,7
82,5.689180580739324,5.576227477360752,7,7
83,5.593479863343967,5.515214225398651,7,7
84,5.713077358057749,5.514748619689064,7,6
85,5.679232782476394,5.586345161277402,7,7
86,5.509931680217073,5.60735958036981,7,7
87,5.621733494481837,5.507818865794775,7,7
88,5.588983778572686,5.518975819406192,7,7
89,5.811059109235328,5.588526560817523,7,7
