wire_number,mu_A,mu_B,n_A,n_B
8,6.516337121214414,5.481146054114945,5,2
9,5.226923523264783,5.5380790313730675,4,2
10,5.420733916191397,5.90164654388216,5,2
11,6.098528991123952,5.642441467271336,6,2
12,5.917490560088822,5.639327449607327,6,2
13,5.992678775081837,5.537510343624201,6,2
14,6.031709079632688,5.563456178898553,6,2
15,5.673733789074683,5.578497992478866,6,2
16,5.654454887402496,5.277034911403951,6,3
17,5.562391638339388,5.2420996932627695,6,4
18,5.711207223368208,5.249563040813342,6,3
19,5.6547054635636025,5.568178621340298,6,4
20,5.693271671196008,5.337945404038945,6,4
21,5.6976224097533,4.817804505309317,6,4
22,5.860474893081759,5.252364591829968,6,4
23,5.596287423087154,4.775912634153657,6,4
24,5.436327473598817,5.400075780946958,6,4
25,5.638993826209273,5.550760570726287,6,4
26,5.473564336330806,5.741305581942475,6,4
27,5.638368021728702,5.548260513533739,6,4
28,5.5516258334204025,5.1311512504577514,6,4
29,5.675591545681621,5.640232871684698,6,4
30,5.616630588480271,5.547974135647575,6,4
31,5.756494406985224,5.879100521038,6,4
32,5.697692175398576,5.974879689830091,6,4
33,5.689417501381688,5.625822366254982,6,4
34,5.56287573204523,5.92120315962655,6,4
35,5.794017680344057,5.7871187684792345,6,4
36,5.6058208933433695,5.225332429547729,6,4
37,5.663855894883795,5.8233920704754585,6,4
38,5.539675298051129,5.667993139926044,6,4
39,5.540831190392447,5.879749923514662,6,4
40,5.556402097772635,5.72791997646593,6,4
41,5.460998455864403,5.6563954602309545,5,5
42,5.569932023950335,5.911240721268197,6,5
43,5.669306093684522,5.764829901722729,6,5
44,5.48281808588486,5.734845996779286,6,5
45,5.566493114042982,5.716058605728111,6,5
46,5.565713856768242,5.448099560469512,6,5
47,5.742026510365755,5.580638766905979,6,5
48,5.569601616268601,5.5548604047021515,6,5
49,5.650558888345138,5.418817402309582,6,5
50,5.542744652265194,5.436117803299125,6,5
51,5.759229591864287,5.196034289919725,6,5
52,5.733040176489539,5.354428771344864,6,5
53,5.8170828010336315,5.5571305519525245,6,5
54,5.706253237215429,5.6575940965060045,6,5
55,5.689929908161156,5.575678541603986,6,5
56,5.637108078874364,5.533168928624206,6,5
57,5.770507597813001,5.42229342734297,6,5
58,5.705007310858215,5.435688618411585,6,5
59,5.548819858540625,5.445597164404368,6,5
60,5.746457245191225,5.803294184517857,6,5
61,5.632106131776292,5.718730854567123,6,5
62,5.604810241204358,5.440402262517559,6,5
63,5.633972001296088,5.732925087772854,6,5
64,5.535697808251319,5.6150009980718325,6,5
65,5.788773878434536,5.703353406369297,6,5
66,5.647447128655724,5.598825538824612,6,5
67,5.674025829655196,5.5569812034143515,6,5
68,5.6870332301600595,5.499190434529461,6,5
69,5.610591687221582,5.621075432663433,6,5
70,5.846711269743486,5.624240862882112,6,5
71,5.726542043088999,5.469194509407163,6,5
72,5.703384846769127,5.712507339389333,6,5
73,5.694816724777457,5.8014971964728455,6,5
74,5.6897150819132225,5.555830156454003,6,5
75,5.568872441661144,5.762329459005653,6,5
76,5.535829959280653,5.586582601439318,6,5
77,5.528094102629279,5.70513995972064,6,5
78,5.4606861842892025,5.771384154243069,6,5
79,5.670792893942981,5.415484908438504,6,5
80,5.651315728927624,5.514753055136099,6,5
81,5.715300254683386,5.558755890480726,6,5
82,5.833105393314992,5.681915440477603,6,5
83,5.723969587807826,5.49498654820662,6,5
84,5.726895924837535,5.423029979387317,6,5
85,5.712691656011632,5.837989789627545,6,5
86,5.702573748788536,5.400849652600224,6,5
87,5.844595313734906,5.420088888135063,6,5
88,5.811430542026439,5.753365240158356,6,5
89,5.700310531773784,5.732734270823253,6,5
90,5.718130641259229,5.4703856573323835,6,5
91,5.680880362989833,5.64584855181581,6,5
92,5.760303382281688,5.557472127855202,6,5
93,5.688373894406661,5.485607358278096,6,5
94,5.904071643446213,5.735778087033251,6,5
95,5.731473994914076,5.652686327784118,6,5
96,5.652783038738796,5.6074178391053415,6,5
97,5.59728955567893,5.498367931880638,6,5
98,5.703303956164081,5.350374546412234,6,5
99,5.503759346301931,5.689516923327621,6,5
100,5.522776169900118,5.612650101147443,6,5
101,5.616135985130847,5.537779200186973,6,5
102,5.623925544255948,5.804402531811981,6,5
103,5.614555267569856,5.760001991366273,6,5
104,5.607144690484673,5.789819429946251,6,5
105,5.674403440894766,5.931082485031115,6,5
106,5.706719554439467,5.672124360051805,6,5
107,5.653611822141001,5.793358013350521,6,5
108,5.660922896567072,5.57714084764704,6,5
109,5.641786203751301,5.801548428228528,6,5
110,5.562715426954629,6.04256821098304,6,5
111,5.587287541117314,5.868550844271027,6,5
112,5.693106191462643,5.304682813198416,6,5
113,5.734196265335696,5.787130116996883,6,5
114,5.654824387262106,5.812889759968496,6,5
115,5.7337759017064585,5.816621954365359,6,5
116,5.78076867588454,5.86541728581465,6,5
117,5.887458492164658,5.750743569814339,6,5
118,5.74188594844582,5.994495250533802,6,5
119,5.682811479656518,5.775130762428654,6,5
120,5.699449734976739,5.787169946949924,6,5
121,5.678443032350097,5.773807057472494,6,5
122,5.643663938057649,5.670426370872457,6,5
123,5.75964219916677,5.9093827182647365,6,5
124,5.782541717948382,5.6383091797440725,6,5
125,5.5651085252893395,5.985759779354201,6,5
126,5.911530256378925,5.936268796929944,6,5
127,5.904207698519837,6.039922546359431,6,5
128,6.071837220373817,6.221123665826735,6,5
129,5.840770160903578,5.985235928304219,6,5
130,5.6484258889868855,6.043672434652231,6,5
131,5.523331145893743,6.203297396045342,6,5
132,5.458326065938534,6.099702241741228,6,5
133,5.7010803515478345,5.9266094249281895,6,5
134,5.590084553876347,6.275633096495714,6,5
135,5.503002418778603,6.14734024675156,6,5
136,5.617400197001157,6.0040588328654465,6,5
137,5.427340039377118,5.921066267065154,6,5
138,5.763028500193445,5.982143476083724,6,5
139,5.704285996485563,5.845286655582198,6,5
140,5.4552890492243495,5.897925514077501,6,5
141,5.56605391516722,5.953870165580021,6,5
142,5.57305978928771,5.850338327725306,6,5
143,5.62919939609529,5.951977956720094,6,5
144,5.496359351794423,6.040133882071511,6,5
145,5.468263037012035,6.174838057972203,6,5
146,5.480915484573439,5.942288788776375,6,5
147,5.4169605759456365,6.218692068743621,6,5
148,5.365347615531498,6.129587077542468,6,5
149,5.456153635052733,6.0675791370543175,6,5
150,5.534757383686786,5.795470357071557,6,5
151,5.437413634648008,5.920761137524846,6,5
152,5.496474451061976,6.070836156370103,6,5
153,5.330019768079678,6.0562960656774365,6,5
154,5.492045779102513,5.98497738364607,6,5
155,5.34096053839239,5.979559498818031,6,5
156,5.39733790531656,6.018287506358482,6,5
157,5.291189291229854,6.101679103557263,6,5
158,5.360206211492426,6.01793190683063,6,5
159,5.479226019718277,5.919721369134239,6,5
160,5.402446247925514,5.98278735907077,6,5
161,5.4354919020281205,6.001272806602308,6,5
162,5.467676718873189,6.00231613029008,6,5
163,5.426914796387749,6.04232409398894,6,5
164,5.538035507085588,5.858097213597761,6,5
165,5.507592228739598,5.937107671562982,6,5
166,5.391366772518806,5.967505131136706,6,5
167,5.548670706558051,6.027356564604057,6,5
168,5.448983697594075,6.041969068499957,6,5
169,5.3569452201331496,6.083164617110289,6,5
170,5.444664668128196,6.109773638600271,6,5
171,5.253015609665492,6.006055521752601,6,5
172,5.2721791061173935,6.038674725234799,6,4
173,5.327610838835636,6.125216189008248,6,5
174,5.16107173470909,5.950883048409189,6,5
175,5.241543202174386,5.918026241594379,6,5
176,5.5293055083406735,5.8927027430011165,6,5
177,5.344360607220789,5.837866535910429,6,5
178,5.444867933406848,5.790368204832487,6,5
179,5.4658045675015305,5.948978968994752,6,5
180,5.5422648193237904,6.021177346812223,6,5
181,5.514806097456308,6.039686220605765,6,5
182,5.489779536511265,6.116760084629966,6,5
183,5.48700996673323,5.913421837835033,6,5
184,5.597350222974104,6.019192112677853,6,5
185,5.474286522499257,6.007404502408948,6,5
186,5.362931150842972,6.07088094361399,6,5
187,5.536858668791485,5.970108411882973,6,5
188,5.668396543737154,6.155810267008973,6,5
189,5.560798015309306,6.188917280924259,6,5
190,5.615883858634401,5.991454249499541,6,5
191,5.722519769335655,5.985453358523821,6,5
192,5.651056001335887,5.959803163150647,6,5
193,5.536512632541969,5.936199580765409,6,5
194,5.551781366260909,5.970290546122898,6,5
195,5.654315296944267,6.1256528777620405,6,5
196,5.7546575740378225,6.048305285375565,6,5
197,5.742901452923979,5.91142083493539,6,5
198,5.676344827242458,5.946120935470983,6,5
199,5.588818597770626,5.996686829370765,6,5
200,5.591892486916086,6.054054285141027,6,5
201,5.646761523502024,6.119400886731888,6,5
202,5.538025283534149,5.965983513218313,6,5
203,5.587507426565086,6.136913744238994,6,5
204,5.607459096315496,6.081504040870634,6,5
205,5.567826607670209,6.070836156370103,6,5
206,5.624909909550166,6.070836156370103,6,5
207,5.63945635254049,6.013574833333248,6,5
208,5.645492815700069,6.432895722199333,6,5
209,5.606502327935037,6.260449332339997,6,5
210,5.441197345201063,6.066658744169414,6,5
211,5.600756583411389,6.099089024478409,6,5
212,5.517476667673341,6.100594351727433,6,5
213,5.437136669579651,6.114576387765505,6,5
214,5.451116072902577,6.311317221742255,6,5
215,5.606810009430463,6.206469480333049,6,5
216,5.543214222657978,6.426285063908672,6,5
217,5.553040944948268,6.370434844862295,6,5
218,5.525393238697895,6.5317233861733355,6,5
219,5.463676253405393,6.360321795527508,6,5
220,5.504176483595554,6.1385132262928686,6,5
221,5.607885976575282,6.185377684786432,6,5
222,5.567104651638914,6.312181938575247,6,5
223,5.626570377418863,6.231636603444382,6,5
224,5.616635476004406,6.290313156352558,6,5
225,5.484170290908499,6.401574626221232,6,5
226,5.521062635335863,6.466815308109042,6,5
227,5.517852023151635,6.424711018572546,6,5
228,5.689737097934672,6.400924254937028,6,5
229,5.702448865695141,6.353954984599767,6,5
230,5.717922100005879,6.3657384356302344,6,5
231,5.787584750597106,6.4389180126593235,6,5
232,5.585487177962157,6.373995915007678,6,5
233,5.557698701554051,6.375702008806585,6,5
234,5.5025291073825215,6.309175793079505,6,5
235,5.582867708993028,6.03782772719625,6,5
236,5.575069867108481,6.3953351342161175,6,5
237,5.679883188569997,6.468200988701928,6,5
238,5.617763711457312,6.121142837137247,6,5
239,5.5994160336230685,6.151642656909295,6,5
240,5.5639057393166595,6.367206813055468,6,5
241,5.66786257718557,6.499988895089996,6,5
242,5.385450643655305,6.396743192643465,6,5
243,5.375998970276591,6.232364368970661,6,5
244,5.520535868156247,6.327137485647726,6,5
245,5.254299139603574,6.230970618993726,6,5
246,5.477726776732323,6.302690546063651,6,5
247,5.555823719643265,6.329594974213416,6,5
248,5.302065654731736,6.070844159622146,6,5
249,5.379170079796628,6.327694215388875,6,5
250,5.374966794579606,6.148747248400926,6,5
251,5.359701865350034,6.266677332328927,6,5
252,5.280429688165194,6.279645014762667,6,5
253,5.433153175808743,6.264428098337895,6,5
254,5.427977370583176,6.254934115365098,6,5
255,5.415831634870106,6.070836156370103,6,5
256,5.467628053421999,6.070836156370103,6,5
257,5.553095998822371,6.162175865334808,6,5
258,5.493945006147639,6.002165535099731,6,5
259,5.55607234673444,6.117570531510991,6,5
260,5.3681253775887585,6.063475399462408,6,5
261,5.198341866020482,5.842878461696516,6,5
262,5.411501673689521,6.167672432431598,6,5
263,5.556620126803882,6.054317765632399,6,5
264,5.7504453667772815,6.212943397034913,6,5
265,5.639732660747347,6.315231837644341,6,5
266,5.676615917089915,6.242598019635112,6,5
267,5.61183205617792,6.112341198249963,6,5
268,5.6864356939659935,6.056012527540598,6,5
269,5.656153966457076,6.014566248452442,6,5
270,5.654606352807308,6.201931173027715,6,5
271,6.0020036916828055,6.318306200621425,6,5
272,5.744955672349031,6.265527303436575,6,5
273,5.722431963917159,6.070836156370103,6,5
274,5.215298037032591,6.149741495081722,6,5
275,5.735950643043622,6.3091744332729345,6,5
276,5.47627981788607,6.070876172683062,6,5
277,5.617128237298528,6.342966067405452,6,5
278,5.518064069540764,6.166038621321918,6,5
279,5.4162218986275255,6.238063611213927,6,5
280,5.5726945382580695,6.3091744332729345,6,5
281,5.5835148696442545,6.3091744332729345,6,5
282,5.597719409458448,6.208459394628903,6,5
283,5.49914784666484,6.3091744332729345,6,5
284,5.349275613972872,5.9939007931078185,6,5
285,5.941999090869218,6.1300366981079755,6,5
286,5.603457200955248,6.106949791728851,6,5
287,5.904978075080207,6.306212295230059,6,5
288,5.466605588624528,6.223396009249574,6,5
289,5.652837419730017,6.1326791152022615,6,5
290,5.644957690676119,6.251367437706604,6,5
291,5.44957983357412,6.2028568145592375,6,5
292,5.590071514724968,6.0357039439979285,6,5
293,5.85319562999668,6.070854830633071,6,5
294,5.804472586089985,6.062874798709252,6,5
295,5.662498496844622,6.233837491245237,6,5
296,5.752951989750166,5.987029221258624,6,5
297,5.779465212476367,5.93653842418673,6,5
298,5.843200498205049,5.99300917581021,6,5
299,5.75944720774206,6.071607160540679,6,5
300,5.8319576034820155,5.9661272541059,6,5
301,5.958621432657818,6.048336664936437,6,5
302,5.923862939611247,6.035670931725712,6,5
303,5.698149407793213,6.033161333488039,6,5
304,6.018037709741459,6.087408273200237,6,5
305,5.807659216016595,5.900983882974085,6,5
306,5.899351843577037,6.086509583762032,6,5
307,5.8696485315415075,5.978327509951001,6,5
308,5.862329904606998,6.075727613895907,6,5
309,5.724800826284698,5.735152620712276,6,5
310,5.674760806063217,6.022491613531621,6,5
311,5.812566151875541,6.091484527521571,6,5
312,5.703653568746297,6.1166986211191965,6,5
313,5.570426707021058,5.9431490633976285,6,5
314,5.712527979695383,6.178893252786409,6,5
315,5.8821267069586956,6.128298337132277,6,5
316,5.634076658943435,6.118765149673132,6,5
317,5.690572184063921,6.185844096641049,6,5
318,5.676052882562259,6.130663809443577,6,5
319,5.554323549749169,6.189120713275484,6,5
320,5.637488302801183,6.009479807097277,6,5
321,5.599885405807013,6.030828142798469,6,5
322,5.681151380413955,6.059159699558165,6,5
323,5.681534574951661,5.966178198530934,6,5
324,5.837325528485332,5.725591648271031,6,5
325,5.809841316761208,5.917675054752581,6,5
326,5.644142155737299,5.949055010047957,6,5
327,5.631638793593946,6.149917497977705,6,5
328,5.611364063023057,5.754325382144007,6,5
329,5.755237544900435,5.858247648049046,6,5
330,5.664169867699047,6.056857573954219,6,5
331,5.658360048040251,5.767707056441333,6,5
332,5.779462189852765,5.932088630093252,6,5
333,5.818278406796253,5.973325164295606,6,5
334,5.739013289615114,6.022115721592494,6,5
335,5.949304058291224,6.005677702438272,6,5
336,5.77035225490199,6.083911091293824,6,5
337,5.8448745033693585,6.022140768283714,6,5
338,5.64465211510576,6.010416406735942,6,5
339,5.883307586822282,5.8798318387782205,6,5
340,5.816137242780149,5.808983227321539,6,5
341,5.771927495988432,5.553636601376833,6,5
342,5.957304475943387,5.695093911984868,6,5
343,5.814584234639943,5.943519672695932,6,5
344,5.752378543622026,5.610651341075302,6,5
345,5.8410551984913415,5.841892485817832,6,5
346,5.911029321469558,5.76945204213551,6,5
347,5.742335753600008,5.6807923238792055,6,5
348,5.755792206867294,5.623499979086106,6,5
349,5.955786616258193,5.6914567955249025,6,5
350,6.031712756626741,5.412502009828071,6,5
351,6.041530749383418,5.649631879250606,6,5
352,5.8559303936819544,5.483565875625295,6,5
353,6.197948975592713,5.456864506019126,6,5
354,6.05655422745312,5.522206450998734,6,5
355,6.0201885779002176,5.437791275260473,6,5
356,6.019420509616497,5.576847947568315,6,5
357,6.022420619492724,5.5896220679996995,6,5
358,5.978198014297222,5.639173251573017,6,5
359,5.958047178627417,5.7223621809708565,6,5
360,5.906059927991359,5.623341878543552,6,5
361,5.900700852175689,5.52595185502192,6,5
362,5.8620047794092915,5.421587330862268,6,5
363,6.003348034937861,5.546809388311541,6,5
364,5.95411574801951,5.455191234324551,6,5
365,6.129814851171962,5.584791931293398,6,5
366,6.06909417289125,5.499440991028774,6,5
367,5.912316815464488,5.532297998496296,6,5
368,5.891220854942661,5.588155691258004,6,5
369,5.921357618283043,5.49646741318,6,5
370,5.906482088604081,5.595807631388201,6,5
371,5.769750248075628,5.499878624234328,6,5
372,5.918918630396615,5.610178976102904,6,5
373,5.862204473654295,5.834818307265508,6,5
374,5.942502043728124,5.714648524001672,6,5
375,5.92261112379888,5.596288381009046,6,5
376,5.926868597635694,5.69003315988793,6,5
377,6.051598173373981,5.65999258729923,6,5
378,6.096782129127039,5.955650019787228,6,5
379,6.186568797324513,5.604966852830087,6,5
380,6.189206584620924,5.5145218446160555,6,5
381,6.096484478891165,5.613765636714484,6,5
382,6.076598582035386,5.638633525480668,6,5
383,6.120000419065205,5.794807353089721,6,5
384,6.040549626648094,5.61537125176281,6,5
385,6.136350175181462,5.6925756519255515,6,5
386,6.112914364564482,5.828243843853765,6,5
387,6.016707691688017,5.643227399082138,6,5
388,5.915157772339911,5.584926321741496,6,5
389,5.971869357787943,5.724032168341182,6,5
