wire_number,mu_A,mu_B,n_A,n_B
1,5.610059511002323,5.955246453180759,5,5
2,5.525323224813348,5.751762490860438,5,5
3,6.025224595080499,5.862249468354037,5,5
4,6.022619138659733,5.824385598061635,5,5
5,6.017346210824974,5.805212607331218,5,5
6,5.877223695081229,5.89395418170383,5,5
7,5.912764435730838,5.783461933334439,5,5
8,5.911925860986807,6.0379978571060535,5,5
9,5.940589693320942,5.829038189021857,5,5
10,5.937065522607011,5.861107905000716,5,5
11,5.976426149246504,5.7834346707912045,5,5
12,6.0033826782660755,5.981712739894568,5,5
13,5.6010768408294,5.792600007586843,5,5
14,5.847570674988998,5.778417766714749,5,5
15,5.934819168848897,5.969707752896378,5,5
16,5.941515517990175,6.1647776196422726,5,5
17,6.098510594100323,5.911165618295017,5,5
18,6.10736720710343,5.91662744196037,5,5
19,5.953882764751057,5.976349178025223,5,5
20,5.793672121842919,5.779072551121247,5,5
21,6.031345262663744,6.050122285627916,5,5
22,5.953452342598774,5.765726526738848,5,5
23,5.9905887254418655,5.867007759920374,5,5
24,6.158502389416256,6.106241065034551,5,5
25,6.278668118166125,5.91467794258658,5,5
26,5.856766766662546,5.920864282690949,5,5
27,5.9201237631517944,5.986297051810773,5,5
28,6.101414695386155,6.023513851143698,5,5
29,6.071269694046402,6.027470567706488,5,5
30,5.916572035300419,6.125482423286101,5,5
31,5.921750086598889,5.9701672916601565,5,5
32,6.107887196359557,5.9433903413755855,5,5
33,6.179889085639435,6.107089745473511,5,5
34,6.070996146987116,6.002388186378379,5,5
35,6.099224821631063,5.982368482928839,5,5
36,6.213227930604912,6.086424412182304,5,5
37,6.1211010802839425,5.992058783382575,5,5
38,6.131251897250952,5.979875991939183,5,5
39,6.065314129064623,6.163431360073025,5,5
40,6.2994783960280465,6.013172481669464,5,5
41,5.984658750831449,5.993888127498795,5,5
42,5.9930901278670285,6.134938750647748,5,5
43,6.170900607115114,6.073052567903228,5,5
44,5.951979177018032,6.0034606832079245,5,5
45,6.303596814289954,6.067472841743881,5,5
46,6.091632000700315,5.939580508767714,5,5
47,6.0379619168311045,6.023925648525577,5,5
48,6.032048785480106,5.995294506553012,5,5
49,5.982781207787646,6.0463237482837515,5,5
50,6.134624220690092,6.01189967169987,5,5
51,6.148656882702165,6.056786722532349,5,5
52,6.194854724116392,5.961718261710558,5,5
53,6.024128955482698,6.069319754951854,5,5
54,6.1529845907142,5.948162219700893,5,5
55,6.2500388832871945,6.030876811991344,5,5
56,5.9641417682028735,6.020795165822616,5,5
57,6.063979276304941,6.0289956581133595,5,5
58,5.95889609540288,6.074749717255537,5,5
59,6.09832594079665,5.7858911199032095,5,5
60,6.050049819918288,5.994122766188807,5,5
61,6.032019800124514,6.0713056010872855,5,5
62,6.148390980245825,6.0458159042904125,5,5
63,6.3181222669973796,5.964026044336972,5,5
64,5.95906335327791,6.043391205774155,5,5
65,6.198713641281968,6.072311986991134,5,5
66,6.054497475692288,5.998600326071188,5,5
67,5.990752845712989,5.960390697426842,5,5
68,6.017958639637305,6.030374799700581,5,5
69,5.93849777988124,5.8692636649127525,5,5
70,5.997232212202956,6.055273048239614,5,5
71,6.027701664031113,5.882918787657021,5,5
72,5.985119590562794,6.0062007509613204,5,5
73,6.052432765374678,6.053668897624461,5,5
74,6.144175708309682,5.935068233912061,5,5
75,6.046489111677984,5.995905582516879,5,5
76,6.092508553604438,6.076942901976687,5,5
77,6.2423676316573795,5.95525286527264,5,5
78,6.199701272920285,6.011583492113661,5,5
79,6.378072789762964,6.0838028794022145,5,5
80,6.279950389134004,6.00687379602877,5,5
81,6.138580427619251,6.100912550281645,5,5
82,6.13245421493659,5.969237944008658,5,5
83,6.233518013745885,5.976158193880964,5,5
84,6.255937059031387,5.937358794465061,5,5
85,6.154914558259141,6.196180367757425,5,5
86,6.184330683105574,6.00446884847754,5,5
87,6.204620279743871,5.817051070657843,5,5
88,5.9738250042595205,5.993264209864509,5,5
89,5.902476224473049,5.989377318852828,5,5
90,6.151606434108464,5.906322722578828,5,5
91,6.095633602774295,6.083412065353872,5,5
92,6.103909670161777,5.984991733510772,5,5
93,5.998964977485846,6.004665917481616,5,5
94,6.054003666833326,5.909862128762785,5,5
95,5.972881547247874,5.955120074874945,5,5
96,6.088154399341284,6.100127319554032,5,5
97,6.078011413689707,5.9043158108001474,5,5
98,6.055439814518525,5.865082319443551,5,5
99,5.877686660294886,5.801603500868319,5,5
100,5.979508023261084,5.980038391994283,5,5
101,5.996351422010987,5.842071226781673,5,5
102,6.218573063379659,5.778215350466434,5,5
103,5.913325152297522,5.944823839730238,5,5
104,6.193595148099698,5.8762962328040915,5,5
105,6.435322317438344,5.754657596806517,5,5
106,6.224388654202001,5.821009345326041,5,5
107,5.969353957003382,5.778846209361714,5,5
108,6.213130867514345,5.830940703807167,5,5
109,5.840790514405872,5.7792114021448056,5,5
110,6.151136799966512,6.018317115436356,5,5
111,6.198790984863008,5.78994438595801,5,5
112,6.154986320072167,5.991062871448866,5,5
113,6.181628994249751,5.897227192717968,5,5
114,6.2364548465805205,5.843493005275793,5,5
115,6.279450888076151,5.855028823981151,5,5
116,6.191507818361861,5.7358098557504436,5,5
117,6.145932429656909,5.846005377214951,5,5
118,6.143399054152701,5.923450700871843,5,5
119,6.250135330654228,6.13778924902754,5,5
120,6.403907181721764,5.621836651903823,5,5
121,6.378210713198267,5.904809296760532,5,5
122,6.370857254877795,5.766921986865064,5,5
123,6.280578147620942,5.901233397270804,5,5
124,6.078970850454225,6.131773864378143,5,5
125,5.977112537974131,5.931632181061884,5,5
126,6.120368790954552,5.9681933821820135,5,5
127,6.206351103224986,5.961200883194134,5,5
128,6.020893013041963,5.837644066745992,5,5
129,6.118206886837022,5.839784701604398,5,5
130,5.945592139092011,5.817727231633073,5,5
131,6.015813448656346,5.811850557514489,5,5
132,6.056813632714746,5.770139724944878,5,5
133,5.987443861643514,5.842840808079797,5,5
134,6.120925004824763,5.959101777932682,5,5
135,6.239687078671465,5.813173371847724,5,5
136,5.973085725853114,5.866317096959872,5,5
137,6.216110145686768,5.955770429789959,5,5
138,6.0636125610578695,5.8063853756396995,5,5
139,6.30478412861173,5.6680700752446,5,5
140,6.197916950768156,5.781846100519594,5,5
141,6.096288134577874,5.915034839460296,5,5
142,6.285214969935232,5.71108490647659,5,5
143,6.03009158524416,5.926590696311823,5,5
144,6.0418964810756615,5.697956412449108,5,5
145,5.950686596377627,5.802927080301325,5,5
146,5.843636063637225,5.90508805416134,5,5
147,5.998092387705153,5.5926696575752946,5,5
148,6.302172395236052,5.711420481594722,5,5
149,6.325915013361109,5.512812074066864,5,5
150,6.138946612483271,5.764695619974199,5,5
151,6.031876067101943,5.888008581988454,5,5
152,5.985073623487374,5.874096814137226,5,5
153,5.939796523001363,5.875905867312584,5,5
154,6.099438233524998,5.8386476574850725,5,5
155,6.245364550000038,5.83565503316518,5,5
156,6.094204649814618,5.743630479350526,5,5
157,6.164394376429239,5.869790238080265,5,5
158,6.254594077390268,5.91782460573546,5,5
159,5.917073662763281,5.939748656726242,5,5
160,6.04595766318807,5.9325398251424195,5,5
161,6.045672380048774,5.85376622352647,5,5
162,6.041783287811267,5.8721161450941075,5,5
163,6.0729442992274265,5.951861071143936,5,5
164,6.22732480437283,5.950023458943255,5,5
165,6.121704162178578,5.8374083837145,5,5
166,6.069191327183997,5.92417748684886,5,5
167,6.340529422241256,5.910876228327365,5,5
168,6.089037666979766,6.00174280841885,5,5
169,6.358560268833698,5.898191177079939,5,5
170,6.360832405924377,5.887114472891006,5,5
171,6.0380133948720465,5.798894628021169,5,5
172,6.390613750238563,5.924500390944682,5,5
173,6.104534862892847,5.902571256876877,5,5
174,6.1355122418308765,6.012934518987916,5,5
175,6.250677153625761,5.955375580448164,5,5
176,6.117247105741385,5.879081064988819,5,5
177,6.094632099025838,6.002347672492212,5,5
178,5.949851461879558,5.920766010359696,5,5
179,6.217285594604242,5.87975761602123,5,5
180,5.988888033631488,5.929039749262658,5,5
181,6.0974005749572795,5.830573846042715,5,5
182,6.176501490523356,5.882121536557904,5,5
183,5.946880181681043,5.871718225526546,5,5
184,5.948299371425973,5.975181619064993,5,5
185,5.964141073905514,5.859468217743919,5,5
186,5.870195619771536,5.914007704490742,5,5
187,6.141250286782568,5.808538846277093,5,5
188,5.928307033054815,5.956591754304515,5,5
189,6.259500855760315,5.827949778182209,5,5
190,6.420621087816637,5.812279850788946,5,5
191,6.392799993661927,5.9010478073780455,5,5
192,6.219171237181799,5.700313826025558,5,5
193,5.877684115162888,5.848157583781794,5,5
194,5.949449122659838,5.905622708550018,5,5
