wire_number,A_baseline_json_value,B_reversed_json_value,A_baseline_mapped_wire,B_reversed_mapped_wire,A_baseline_residual,B_reversed_residual,A_baseline_summary_value,B_reversed_summary_value
1,5.4,5.96,1,481,-0.11760392886180782,0.19460097191917747,5.2823960711381925,6.154600971919177
2,5.94,6.25,2,480,-0.45383689073644273,-0.24280422575776583,5.486163109263558,6.007195774242234
3,6.03,6.0,3,479,-0.5413901333671571,0.21051881949446472,5.488609866632843,6.210518819494465
4,6.33,6.3,4,478,-0.410848967595439,0.3916273202222822,5.919151032404561,6.691627320222282
5,6.17,6.62,5,477,0.3640101366355655,-0.0226298514403096,6.534010136635565,6.5973701485596905
6,6.41,6.62,6,476,-0.49477141921374823,-0.6481093985119903,5.915228580786252,5.97189060148801
7,5.99,6.27,7,475,-0.4948703865617752,0.042398814554046815,5.495129613438225,6.312398814554046
8,6.13,6.61,8,474,-0.43221088335006463,-0.8213905488292896,5.697789116649935,5.788609451170711
9,6.03,6.11,9,473,-0.5423410815096252,-0.3228823364011273,5.487658918490375,5.787117663598873
10,6.13,6.16,10,472,-0.7055948721331164,-0.460616781428004,5.4244051278668834,5.699383218571996
11,6.51,6.36,11,471,-0.5960604651634478,-0.6626244768622227,5.913939534836552,5.697375523137778
12,6.57,6.27,12,470,-0.6559421013283391,0.27871788636909844,5.914057898671661,6.548717886369098
13,6.52,6.25,13,469,-0.3295828518624653,0.10939720646479589,6.190417148137534,6.359397206464796
14,6.36,6.3,14,468,-0.6937877396321479,0.2719115982537348,5.666212260367852,6.571911598253735
15,6.17,6.21,15,467,-0.6842187910561401,0.11556850787197082,5.48578120894386,6.325568507871971
16,6.35,6.21,16,466,-0.653463235586929,-0.3232326061370472,5.696536764413071,5.886767393862953
17,6.57,6.52,17,465,-0.7853994383145873,-0.5959040930220869,5.784600561685413,5.924095906977913
18,6.44,6.49,18,464,0.22622990912801821,-0.4674915969603308,6.666229909128019,6.022508403039669
19,6.43,6.57,19,463,-0.23796366050725482,-0.635043001940061,6.192036339492745,5.934956998059939
20,6.08,6.49,20,462,-0.4302808056071381,-0.21150937079054266,5.649719194392862,6.2784906292094576
21,6.17,6.85,21,461,-0.08953439382080752,-0.9957499930231792,6.080465606179192,5.85425000697682
22,6.35,6.19,22,460,-0.4207047157111372,-0.07030219906926405,5.929295284288862,6.119697800930736
23,6.32,6.19,23,459,-0.3788079625851566,-0.15156387038081842,5.941192037414844,6.038436129619182
24,6.69,6.3,24,458,-0.350466241357533,-0.36146273177886457,6.339533758642467,5.938537268221135
25,6.49,6.4,25,457,-0.44941681272641176,-0.5639751377963815,6.0405831872735885,5.836024862203619
26,6.43,6.22,26,456,-0.40866568177914253,-0.5076418969069492,6.021334318220857,5.712358103093051
27,6.4,6.36,27,455,-0.41277987574478914,-0.3021032239839041,5.987220124255211,6.057896776016096
28,6.32,6.22,28,454,-0.46353581285909407,-0.2969110013346734,5.856464187140906,5.923088998665326
29,6.13,6.24,29,453,-0.3940797410976167,0.020525845667233256,5.735920258902383,6.2605258456672335
30,6.08,6.21,30,452,-0.27215458912824264,-0.40511947221026556,5.807845410871757,5.804880527789734
31,6.05,6.43,31,451,-0.3932470439017557,-0.27465399308572636,5.656752956098244,6.155346006914273
32,6.1,6.24,32,450,-0.35400849723738226,-0.6007931926270436,5.745991502762617,5.639206807372957
33,6.4,6.21,33,449,-0.2604639234960313,0.005137372723450717,6.139536076503969,6.215137372723451
34,6.08,6.27,34,448,-0.15881204779007163,-0.31431253269872883,5.921187952209928,5.955687467301271
35,6.52,6.43,35,447,-0.5303989437440313,-0.3739838623521141,5.989601056255968,6.056016137647886
36,6.36,6.67,36,446,-0.35099322426619217,-0.48894747910051883,6.009006775733808,6.181052520899481
37,6.51,6.3,37,445,-0.46782810328007596,-0.07436350547649351,6.042171896719924,6.225636494523506
38,6.05,6.17,38,444,-0.9190295873983558,-0.47064583046905284,5.130970412601644,5.699354169530947
39,6.4,6.05,39,443,-0.47690981678693944,-0.6163488087677615,5.923090183213061,5.433651191232238
40,6.05,5.85,40,442,-0.5470931896255031,0.30565393568094645,5.502906810374497,6.155653935680946
41,6.35,6.38,41,441,-0.14894099955714335,-0.2840842601499798,6.201059000442856,6.09591573985002
42,6.13,6.35,42,440,-0.41327990905215994,-0.4284827918097047,5.71672009094784,5.921517208190295
43,5.99,6.11,43,439,0.22612026510691408,0.5100824749831396,6.216120265106914,6.62008247498314
44,6.03,6.19,44,438,-0.1696175729066356,-0.2502065945634637,5.860382427093365,5.939793405436537
45,6.16,6.06,45,437,-0.07025945953228874,-0.3174485940156462,6.089740540467711,5.742551405984353
46,6.54,6.1,46,436,-0.6127323649576839,0.2633832011611368,5.927267635042316,6.363383201161136
47,6.38,5.96,47,435,-0.6770524834423828,-0.4217459760699436,5.702947516557617,5.538254023930056
48,6.3,6.24,48,434,-0.37753168805466064,-0.21757759688457323,5.922468311945339,6.022422403115427
49,6.51,6.28,49,433,-0.5349867693917076,0.17277199111306185,5.975013230608292,6.452771991113062
50,6.38,5.97,50,432,-0.48918965679235615,0.6744170459778029,5.890810343207644,6.644417045977803
51,6.48,6.02,51,431,-0.5718032385223433,-0.5344023264804028,5.908196761477657,5.485597673519597
