wire_number,json_A,json_B,summary_A,summary_B,diff_A,diff_B
1,5.4,5.82,,,,
2,6.32,4.1,,,,
3,6.17,4.6,,,,
4,6.09,4.55,,,,
5,5.94,4.56,,,,
6,5.52,5.79,,,,
7,5.59,5.31,,,,
8,5.25,5.51,,,,
9,5.47,4.93,,,,
10,5.56,5.78,,,,
11,5.46,4.05,,,,
12,5.29,6.61,,,,
13,5.37,6.25,,,,
14,4.87,5.76,,,,
15,5.46,6.59,,,,
16,5.28,5.73,,,,
17,5.51,6.4,,,,
18,5.61,4.34,,,,
19,5.76,4.4,,,,
20,5.59,6.2,,,,
21,5.58,4.0,,,,
22,5.54,4.3,,,,
23,5.55,5.91,,,,
24,4.74,4.01,,,,
25,5.75,4.19,,,,
26,5.61,4.26,,,,
27,5.65,4.1,,,,
28,5.63,4.11,,,,
29,5.6,4.03,,,,
30,5.57,4.06,,,,
31,5.61,4.23,,,,
32,5.68,4.11,,,,
33,5.64,4.4,,,,
34,4.38,6.81,,,,
35,4.45,4.44,,,,
36,4.89,5.15,,,,
37,5.56,4.6,,,,
38,5.06,4.2,,,,
39,5.3,4.35,,,,
40,5.19,4.28,,,,
41,5.28,4.16,,,,
42,5.2,4.48,,,,
43,5.11,4.19,,,,
44,5.4,4.78,,,,
45,5.8,4.4,,,,
46,5.3,4.58,,,,
47,5.1,4.87,,,,
48,5.01,4.51,,,,
49,4.96,4.4,,,,
50,4.97,4.34,,,,
51,4.97,4.45,,,,
52,4.97,4.38,,,,
53,4.96,4.71,,,,
54,4.94,4.45,,,,
55,4.98,4.48,,,,
56,5.02,4.38,,,,
57,5.12,4.65,,,,
58,5.15,4.67,,,,
59,5.17,4.69,,,,
60,5.26,4.57,,,,
61,4.92,4.64,,,,
62,5.29,4.71,,,,
63,5.22,4.93,,,,
64,5.23,4.78,,,,
65,5.38,4.77,,,,
66,5.38,4.61,,,,
67,5.45,4.37,,,,
68,5.35,4.57,,,,
69,5.25,4.69,,,,
70,5.06,4.74,,,,
71,5.29,4.63,,,,
72,5.17,4.51,,,,
73,5.31,4.88,,,,
74,5.09,4.84,,,,
75,5.77,4.96,,,,
76,6.01,4.91,,,,
77,6.16,4.94,,,,
78,5.91,4.98,,,,
79,6.06,4.74,,,,
80,6.2,4.94,,,,
81,6.14,4.97,,,,
82,6.18,5.08,,,,
83,5.8,4.82,,,,
84,5.94,5.13,,,,
85,6.07,5.86,,,,
86,5.88,5.06,,,,
87,5.9,5.07,,,,
88,5.92,5.05,,,,
89,5.83,5.29,,,,
90,5.84,5.11,,,,
91,5.86,5.63,,,,
92,5.75,5.17,,,,
93,5.87,4.78,,,,
94,5.74,5.22,,,,
95,5.74,5.2,,,,
96,5.72,4.95,,,,
97,5.65,5.04,,,,
98,5.88,5.18,,,,
99,5.87,5.36,,,,
100,5.97,5.52,,,,
101,5.94,4.98,,,,
102,5.92,5.17,,,,
103,6.01,5.09,,,,
104,6.04,5.28,,,,
105,5.99,5.23,,,,
106,6.03,5.34,,,,
107,6.07,5.26,,,,
108,6.05,5.42,,,,
109,6.06,5.4,,,,
110,5.99,5.41,,,,
111,6.06,5.4,,,,
112,5.97,5.35,,,,
113,5.88,5.46,,,,
114,6.41,5.31,,,,
115,5.98,5.39,,,,
116,6.04,5.26,,,,
117,5.86,5.33,,,,
118,5.85,5.49,,,,
119,5.84,5.59,,,,
120,5.89,5.98,,,,
121,5.94,5.39,,,,
122,5.91,5.34,,,,
123,5.99,5.55,,,,
124,5.98,5.46,,,,
125,5.09,5.45,,,,
126,6.01,5.78,,,,
127,5.95,5.56,,,,
128,6.0,5.34,,,,
129,5.97,5.29,,,,
130,5.9,5.31,,,,
131,5.92,5.84,,,,
132,6.58,5.75,,,,
133,6.5,5.45,,,,
134,6.63,5.53,,,,
135,6.66,5.53,,,,
136,6.56,5.42,,,,
137,6.62,5.3,,,,
138,6.6,5.69,,,,
139,6.66,5.65,,,,
140,6.61,5.57,,,,
141,6.5,5.49,,,,
142,6.45,5.21,,,,
143,6.51,5.55,,,,
144,6.53,5.48,,,,
145,6.58,5.5,,,,
146,6.65,5.7,,,,
147,6.53,5.47,,,,
148,6.6,5.24,,,,
149,6.54,5.45,,,,
150,6.49,5.25,,,,
151,6.63,5.45,,,,
152,6.54,5.44,,,,
153,6.63,5.47,,,,
154,6.65,5.64,,,,
155,6.76,5.4,,,,
156,6.87,5.96,,,,
157,6.71,5.87,,,,
158,6.89,5.96,,,,
159,6.95,5.57,,,,
160,6.87,5.25,,,,
161,6.91,5.45,,,,
162,6.86,5.55,,,,
163,6.84,5.67,,,,
164,6.97,5.64,,,,
165,6.78,5.8,,,,
166,6.86,5.67,,,,
167,6.78,5.92,,,,
168,6.91,5.77,,,,
169,6.91,5.77,,,,
170,6.87,5.58,,,,
171,6.93,5.47,,,,
172,6.89,5.17,,,,
173,6.87,5.09,,,,
174,6.69,4.83,,,,
175,6.63,5.25,,,,
176,6.67,5.17,,,,
177,6.71,5.22,,,,
178,6.76,5.19,,,,
179,6.69,5.13,,,,
180,6.67,5.17,,,,
181,6.65,5.29,,,,
182,6.67,5.25,,,,
183,6.73,5.3,,,,
184,6.65,5.37,,,,
185,6.56,5.0,,,,
186,6.58,5.29,,,,
187,6.63,5.22,,,,
188,6.65,5.22,,,,
189,6.4,5.11,,,,
190,6.49,5.29,,,,
191,6.58,5.29,,,,
192,6.58,5.25,,,,
193,6.74,5.17,,,,
194,6.65,5.25,,,,
195,6.56,5.22,,,,
196,6.78,5.16,,,,
197,6.35,5.17,,,,
198,6.76,4.98,,,,
199,6.82,5.11,,,,
200,6.63,5.16,,,,
201,6.67,5.19,,,,
202,6.67,5.22,,,,
203,6.71,5.27,,,,
204,6.86,5.22,,,,
205,6.89,5.44,,,,
206,6.8,5.4,,,,
207,6.8,5.21,,,,
208,6.67,5.25,,,,
209,6.65,5.17,,,,
210,6.6,5.13,,,,
211,6.62,5.22,,,,
212,6.6,5.22,,,,
213,6.62,5.21,,,,
214,6.6,5.25,,,,
215,6.58,5.27,,,,
216,6.62,4.97,,,,
217,6.54,5.27,,,,
218,6.49,5.22,,,,
219,6.54,5.27,,,,
220,6.58,5.27,,,,
221,6.51,5.14,,,,
222,6.44,5.39,,,,
223,6.54,5.19,,,,
224,6.49,5.16,,,,
225,6.51,5.17,,,,
226,6.58,5.17,,,,
227,6.62,5.09,,,,
228,6.54,5.24,,,,
229,6.67,5.3,,,,
230,6.63,5.29,,,,
231,6.54,4.72,,,,
232,6.58,4.78,,,,
233,6.44,5.22,,,,
234,6.51,5.25,,,,
235,6.53,5.39,,,,
236,6.63,5.3,,,,
237,6.65,5.3,,,,
238,6.73,5.3,,,,
239,6.69,5.27,,,,
240,6.53,5.32,,,,
241,6.58,5.16,,4.24407143467412,,-0.9159285653258804
242,6.76,5.27,,4.227920427079801,,-1.0420795729201986
243,6.65,5.4,,5.449645411204775,,0.04964541120477506
244,6.74,5.32,,4.040860999168635,,-1.279139000831365
245,6.67,5.27,,6.138766487268824,,0.8687664872688243
246,6.62,4.86,,4.979621646317877,,0.11962164631787697
247,6.6,5.14,,,,
248,6.54,5.16,,,,
249,6.54,5.19,,,,
250,6.62,5.25,,,,
251,6.49,5.17,,,,
252,6.15,5.12,,,,
253,6.53,5.42,,,,
254,6.47,5.48,,,,
255,6.42,5.33,,,,
256,6.49,5.3,,5.500977748611572,,0.2009777486115718
257,6.47,5.2,,5.248799468759477,,0.04879946875947638
258,6.47,5.2,,5.1794755930397125,,-0.020524406960287678
259,6.36,5.25,,4.763037396432462,,-0.4869626035675383
260,6.35,5.22,,,,
261,6.6,5.25,,4.723682163740783,,-0.5263178362592171
262,6.49,5.37,,4.942267002354559,,-0.4277329976454407
263,6.38,5.27,,4.983577363056496,,-0.28642263694350323
264,6.51,5.47,,,,
265,7.08,5.27,,4.917199370315411,,-0.35280062968458825
266,6.97,5.16,,4.795025296519212,,-0.3649747034807884
267,6.08,5.24,,4.393273283062555,,-0.8467267169374448
268,6.35,5.06,,4.677852368795915,,-0.38214763120408435
269,6.01,5.22,,4.930639607845026,,-0.28936039215497367
270,6.01,5.09,,4.517584657422888,,-0.5724153425771119
271,5.91,5.11,,5.113194682407802,,0.003194682407801963
272,6.01,5.2,,4.473218975968679,,-0.7267810240313208
273,6.06,5.25,,4.917586180945096,,-0.33241381905490375
274,6.03,5.25,,4.943576177462555,,-0.30642382253744493
275,5.96,5.3,,4.755379962123373,,-0.5446200378766264
276,6.13,5.24,,4.912177079527103,,-0.3278229204728973
277,6.24,5.33,,4.782309295962079,,-0.5476907040379206
278,6.1,5.45,,4.836190389775628,,-0.6138096102243722
279,6.08,5.37,,4.927689388763671,,-0.4423106112363291
280,6.05,5.47,,4.925536803725216,,-0.5444631962747835
281,6.12,5.37,,4.8638813390996,,-0.5061186609004
282,6.05,5.25,,4.9276857357889465,,-0.32231426421105347
283,5.89,5.4,,4.874239881352189,,-0.5257601186478116
284,5.99,5.3,,4.935508028589273,,-0.3644919714107271
285,5.89,5.42,,5.04628329671829,,-0.37371670328171014
286,5.82,5.3,,4.935492795799793,,-0.36450720420020666
287,5.86,5.2,,5.1062292978693415,,-0.09377070213065863
288,5.8,5.63,,4.845128981218431,,-0.7848710187815691
289,5.77,5.14,,4.841005329968102,,-0.29899467003189795
290,5.77,5.58,,5.376415300487245,,-0.20358469951275548
291,5.74,5.38,,,,
292,5.8,4.92,,5.072482256542535,,0.15248225654253478
293,5.77,5.38,,5.307258695417811,,-0.07274130458218853
294,5.75,5.35,,4.941681070037268,,-0.4083189299627312
295,5.74,5.16,,,,
296,5.72,4.97,,5.290859269769057,,0.3208592697690573
297,5.87,5.25,,4.802230130091664,,-0.44776986990833567
298,5.86,5.32,,4.985294321753671,,-0.3347056782463289
299,5.8,5.16,,4.476874773204056,,-0.6831252267959442
300,6.01,5.42,,4.951726593956331,,-0.46827340604366885
301,5.99,5.78,,4.943460924068558,,-0.8365390759314426
302,6.01,5.42,,4.893106070559985,,-0.526893929440015
303,6.12,5.2,,4.74943561144461,,-0.4505643885553905
304,5.96,5.67,,4.923894678158451,,-0.746105321841549
305,6.06,5.3,,4.94434456775671,,-0.35565543224328966
306,6.19,5.3,,4.7569638359628925,,-0.5430361640371073
307,6.19,5.29,,4.934148747009631,,-0.35585125299036946
308,6.01,5.25,,5.118172243218102,,-0.13182775678189795
309,6.2,5.32,,4.994357337635095,,-0.32564266236490536
310,6.15,4.92,,4.766037907781406,,-0.15396209221859358
311,5.98,5.32,,5.031234907353675,,-0.288765092646325
312,5.98,5.27,,4.791213586353703,,-0.47878641364629626
313,6.15,5.09,,4.838426526268163,,-0.25157347373183647
314,6.13,5.4,,4.943460924068558,,-0.4565390759314427
315,6.08,5.12,,4.942995045734252,,-0.17700495426574836
316,6.13,5.33,,4.954847612673279,,-0.37515238732672085
317,6.12,5.32,,4.575201784112558,,-0.7447982158874424
318,5.96,5.22,,4.870471258563631,,-0.3495287414363686
319,5.94,5.11,,4.389948302486962,,-0.7200516975130382
320,5.98,5.35,,4.384104332519278,,-0.965895667480722
321,5.94,5.4,,5.003199141356672,,-0.3968008586433287
322,5.89,4.93,,4.523008831561445,,-0.4069911684385543
323,5.99,5.32,,4.356680137440265,,-0.963319862559735
324,5.52,5.16,,4.528083746029293,,-0.631916253970707
325,5.92,5.38,,4.394761166752549,,-0.9852388332474513
326,5.89,5.19,,4.651699489453836,,-0.538300510546164
327,5.94,5.45,,4.939760114187265,,-0.5102398858127355
328,5.84,5.22,,4.882259634422162,,-0.3377403655778375
329,5.91,5.27,,4.607283629983273,,-0.6627163700167262
330,5.77,5.27,,4.614462714996056,,-0.6555372850039438
331,5.79,5.35,,4.835590876983148,,-0.5144091230168515
332,5.7,5.29,,4.2703391341481165,,-1.0196608658518835
333,5.6,5.43,,4.307366063960199,,-1.1226339360398008
334,5.82,5.35,,5.08461822781921,,-0.26538177218079007
335,5.79,5.2,,4.641975617901829,,-0.5580243820981714
336,5.58,5.42,,4.914795525261714,,-0.505204474738286
337,5.52,5.4,,4.608883863887408,,-0.791116136112592
338,5.52,5.42,,4.996303592337076,,-0.4236964076629235
339,4.63,5.47,,4.380919449059422,,-1.0890805509405777
340,4.52,5.55,,4.811504872931196,,-0.7384951270688038
341,6.59,5.55,,4.065448966988138,,-1.4845510330118614
342,5.13,5.47,,4.714745592501481,,-0.7552544074985184
343,4.93,5.77,,4.516334911504325,,-1.2536650884956746
344,5.11,6.7,,4.778936123157541,,-1.9210638768424593
345,5.44,5.48,,4.86038942033979,,-0.6196105796602103
346,4.7,6.83,,4.94648844837987,,-1.8835115516201304
347,4.74,6.66,,4.246093323301776,,-2.4139066766982245
348,4.73,6.01,,5.056603514496999,,-0.953396485503001
349,5.29,5.87,,5.056860082282489,,-0.8131399177175114
350,5.58,5.8,,4.485033607042202,,-1.314966392957798
351,5.6,5.8,,6.167269614215384,,0.3672696142153846
352,5.44,5.73,,4.792443964478039,,-0.9375560355219612
353,5.62,5.92,,5.265990308580786,,-0.6540096914192137
354,5.48,5.94,,5.091766838340142,,-0.8482331616598584
355,5.79,5.9,,4.978191346211327,,-0.9218086537886734
356,5.6,5.97,,4.648476130087887,,-1.321523869912113
357,5.58,5.95,,4.860061884634044,,-1.089938115365956
358,5.72,5.87,,4.619361171090944,,-1.2506388289090564
359,5.7,5.85,,5.318067193910045,,-0.5319328060899551
360,5.48,5.82,,5.152733553878666,,-0.6672664461213342
361,5.6,5.82,,5.188034955211268,,-0.6319650447887319
362,5.74,5.42,,5.067989251085538,,-0.35201074891446194
363,5.8,5.72,,5.213580734692539,,-0.5064192653074606
364,5.77,5.38,,5.194685990399554,,-0.18531400960044575
365,5.75,5.73,,4.571624394909298,,-1.1583756050907024
366,5.79,5.77,,5.26781801132636,,-0.5021819886736392
367,5.69,5.68,,5.339234747468224,,-0.34076525253177614
368,5.72,5.53,,5.1586939454544485,,-0.37130605454555177
369,5.5,5.89,,4.758766251603399,,-1.1312337483966006
370,5.7,5.72,,5.24121839190228,,-0.4787816080977194
371,5.6,5.85,,4.944815335286702,,-0.905184664713298
372,5.64,5.63,,5.16020810491273,,-0.46979189508726993
373,5.74,5.75,,5.27284709722699,,-0.47715290277301037
374,5.74,5.7,,4.998260836465744,,-0.7017391635342562
375,5.72,5.7,,5.292080256988127,,-0.40791974301187306
