wire_number,A,B
8,5.535257836768516,6.2283717842506805
9,6.179622592929987,5.970843021834752
10,5.993038014189893,5.825223959677148
11,5.879398677182104,5.9904249671508705
12,5.870322647801271,5.871529193501298
13,5.75980144538927,5.748576323589762
14,5.6908982648969655,5.763614227930229
15,6.291886650382152,5.596058663087237
16,5.32256477031497,5.725827118998022
17,5.128839892529567,5.766769228562739
18,5.339267127995581,5.76058671514051
19,5.384997122658221,5.53338469378251
20,5.725867929269092,5.538709745075641
21,5.330849312011785,5.548749701264619
22,5.219003068264107,5.524624638086815
23,5.769355004569276,5.446003140167979
24,6.467760586050015,5.3716360138717905
25,5.339118434430548,5.6830559943146435
26,5.548849724293287,5.577044566354899
27,5.700463095988397,5.556515940964687
28,6.227370404354714,5.76553496224085
29,6.22502945435284,5.76349689171029
30,6.458837045518282,5.724101260529259
31,6.486992041894106,5.167402865602118
32,6.228439351515649,5.563744115499707
33,5.876262003714199,5.791186384453791
34,6.203204820900991,5.759350478325341
35,6.194492180923303,5.9897936608730316
36,5.61090601298135,5.657473771315441
37,5.745527890316502,5.855468168730783
38,5.766828544727699,5.556557459326319
39,5.7727024288690645,5.730008753178914
40,5.548879474663271,5.7666043687317
41,5.58846325041489,5.548981396150596
42,6.195222837572147,5.617419629998059
43,6.220024930625719,5.6190160097617
44,6.179315667717679,5.766694187721694
45,5.760091143897955,5.675560343031962
46,5.980433931925837,5.733910789747859
47,6.255076402010288,5.831877657744106
48,6.08741569082369,5.7562931500350745
49,5.992750337867181,5.766694437187933
50,6.156164272470131,6.025264472436071
51,6.319811903930111,6.025200258607073
52,6.084740742477764,5.781829513162359
53,5.986218507895354,5.863492358455085
54,6.218161566462418,5.930894830268796
55,5.992917154468215,5.75036465097176
56,6.192526874887747,5.792588297715597
57,6.177824045954763,5.764051327154832
58,5.994607778270918,5.797276828219623
59,6.272383923396933,5.796226065123563
60,6.042523925237022,5.766674709846084
61,6.67572653358983,5.744981105880733
62,6.063852101674575,5.942398981695611
63,6.2362193148581255,5.876981049245151
64,5.793201045711034,5.786084705981582
65,6.023523208819123,5.997464309242533
66,5.736602667178701,5.9622996513365
67,5.833337234319475,5.902303152063867
68,5.977466627934384,5.963938714814286
69,5.766587647196856,6.0681563783145736
70,6.228382746730184,5.9930767637859175
71,5.993084928017177,5.953071371779729
72,5.816905024554735,6.114882805001927
73,5.74329368977931,5.968312659112019
74,5.773792088136255,5.9938851728249
75,5.976577505966784,5.840906296767922
76,5.931775273386235,5.9922112375211425
77,5.59821934919357,5.4097189473672245
78,5.974545873981844,5.978752081056147
79,5.807487961523565,6.0659840500811155
80,5.9926187648906994,5.727696583018402
81,5.833493416497735,5.843309269394928
82,6.037190365283885,6.0041713876159575
83,6.25582840449351,6.091264982438303
84,6.067468747258169,6.028430192509291
85,6.082641209732366,6.005912372658077
86,6.215186903681361,6.132090744232968
87,6.473405907884036,5.880650427864791
88,6.064685266420597,6.006036605537779
89,6.1628878729863645,5.789137083392883
90,6.22837260338982,6.2983795680374595
91,6.088723364533069,5.850151397245917
92,5.947147178088757,6.14117637224697
93,5.862038705239727,5.94523103764816
94,5.939435063794972,5.740922856830214
95,5.766693611293402,5.779330816043616
96,5.783652356854795,6.239770507335028
97,5.846589093410362,5.766864334955845
98,6.131161906058354,5.814836931539405
99,5.971043005014914,5.909209158833933
100,5.766693585773313,5.766694614009413
101,5.102330455103132,5.952920822017971
102,5.919579886127145,5.960459678917133
103,5.736237546579593,5.788854687874805
104,5.993088334707251,5.757534978237999
105,5.486471808796745,5.804089953014645
106,5.630143870771593,5.858824811427737
107,6.324901854087754,5.974170897822087
108,5.368936365809649,5.8622503063215055
109,5.754214004843591,6.135791340471467
