wire_number,A,B
1,6.088987423929497,
2,6.149447277288983,
3,6.1257122900666,
4,6.027210836584354,
5,6.236062548563659,
6,6.144807945165153,
7,6.099237240001466,
8,6.134328960375507,
9,6.173976935961395,
10,6.563956599630397,
11,6.353224147225013,
12,6.307537167682813,
13,6.6830225508407235,
14,6.455879256637602,
15,6.390487977381906,
16,6.179756133363885,
17,6.032193554854334,
18,6.101357172235364,
19,6.120245677740603,
20,6.111575336701579,
21,6.198788998819908,
22,6.120027019962737,
23,5.724717586124193,
24,6.01744592126995,
25,6.332851214167596,
26,6.303602499636935,
27,6.208738929562015,
28,6.677027639073055,
