wire_number,A,B
1,5.671190274854335,6.117877858681828
2,5.534213039967017,6.230316143950183
3,5.7377718130065345,5.991875051257845
4,5.81756959794089,5.993092002210977
5,5.566044431347179,5.993057391029982
6,5.538288687859439,6.040895744565443
7,5.346168166169098,5.7846446706461165
8,5.590097498874652,5.730771573071741
9,5.498081239969441,5.644104077270782
10,5.406915295337451,5.526285139431026
11,5.608467096156826,6.37396864460975
12,5.521774974247051,5.403580437929403
13,5.278204497921738,5.166307704245473
14,5.568692807112558,5.668185359700209
15,5.5008843699264585,5.596616606826733
16,5.372049226269607,5.704819454858517
17,5.743401816500366,6.007606659826711
18,5.695280975225589,5.882175210636324
19,5.327566623318251,5.5835252424413495
20,5.51745026658877,5.530147290168537
21,5.3970469141372845,5.849411266973446
22,5.548849642386583,5.812147619486325
23,5.791462220174934,6.5030407158573835
24,6.052879320584424,5.615468671366596
25,5.53625470974905,5.99145404020581
26,5.7844259608639605,5.6891474360000345
27,6.2213843084516265,5.981914874202629
28,6.169237022461059,6.236976528830958
29,5.906640173628087,5.998305984608663
30,6.0764158690601695,6.09073122405187
31,6.228371677433529,5.682311517286476
32,6.0184361957703665,6.267803471730127
33,6.0010285092927145,6.06031997566634
34,6.227757059695467,5.961103513348986
35,6.082412472210647,6.022947091837327
36,6.108181480318854,5.976448044278649
37,6.065437834823163,5.992576942776465
38,6.280373173598871,6.090858512105274
39,5.975309391684282,5.763674827962113
40,5.993079657647169,6.025616365486151
41,6.336331627475946,6.145673625399879
42,5.9503964109558884,6.18239848975029
43,6.034919313091373,6.41774353780148
44,6.11016295791222,6.30372379326167
45,6.228371677433529,5.995608014275569
46,6.137623421630024,6.187667502834654
47,6.084705015717245,6.121956629306546
48,6.1778331232006,6.07949402627042
49,5.942325909354947,6.09811465146998
50,6.2435385565208215,6.467362378549447
51,6.270826967705005,6.049142386225556
52,6.061382487720868,6.045017173464278
53,6.225014725027102,6.0050881504293105
54,6.196392279753662,5.975863051415927
55,6.094823095564537,6.043431958822872
56,6.206476113828447,6.1477764256311405
57,6.406113962895616,6.70716696997616
58,6.504037647230595,6.268663234805335
59,6.47289824566718,6.476150630333441
60,6.234278155341438,6.228371677433529
61,6.174100311486029,6.350801672968352
62,6.011024307146161,6.69314787143716
63,6.391231157632782,6.359442032293862
64,6.001129060509297,6.114317955488915
65,6.439478763670747,6.011809044943844
66,6.598822561653765,6.003009278173842
67,6.250407068928193,5.980545082128863
68,6.265701745230744,6.081821648900598
69,6.3459473664251504,5.993726345916368
70,6.3146152019966495,6.140130302785086
71,6.244737514717402,6.129593444678062
72,6.159389716334515,6.051475061133751
73,6.37638825531835,6.033268865485939
74,6.368983109550016,5.996701802580544
75,6.3134655367641335,6.085696496443069
76,6.5858778673575165,6.18225175605248
77,6.289165091185142,5.674819581542252
78,6.424703735051181,5.617770665897043
79,6.385239238878444,6.070849824860694
80,6.526936998395422,5.668760590342536
81,6.290002438692547,6.117322730191017
82,6.126568632978906,6.015462328138806
83,6.6182332109385245,6.0221691183256905
84,6.571318359024575,6.144809344393518
85,6.49364091628413,5.715102234125906
86,6.691176296011154,5.854645505788338
87,6.491365075892848,5.704626736870165
88,6.47990835305969,6.183122514804958
89,6.428163596953048,5.803245650618096
90,6.473148168068473,6.281078819303186
91,6.4886673099778704,6.495737482315113
92,6.405448069366857,5.581029888888514
93,6.35716844197926,5.9719886747729065
94,6.453943560820645,5.994261262627174
95,6.404297743377462,6.4901692199443275
96,6.246304463765794,5.631181806188552
97,6.119332794925061,5.907274296491754
98,6.247014008157388,5.922788667496919
99,6.269431510891053,5.826436647349817
100,6.287741002210084,6.18209110504
101,6.448418769809886,5.9755770907244425
102,6.430900296179048,6.192534371210213
103,6.375827638130668,5.790806743340485
104,6.361882809933953,5.637474890970652
105,6.382501777945112,5.742083207192637
106,6.389440305723252,5.838794773712417
107,6.551173644406906,6.059461497949051
108,6.686450197182971,6.032540490972713
109,6.289181131076442,5.765803152256907
110,6.382502633944879,5.95614459012343
111,6.275880953812121,5.71542905494287
112,6.424667509567474,5.948350769454232
113,6.570433204894636,5.99900772240598
114,6.344232253020078,6.169509030317856
115,6.228292349045215,5.88046813703622
116,6.315209816927465,5.76510564576109
117,6.351288656453918,5.917501226369372
118,6.352494727974404,5.955236002790038
119,6.559937376266771,5.927461259976422
120,6.123766951600576,6.016054635192721
121,6.06535982488626,5.894941324501105
122,6.392899119852143,5.948778587647695
123,6.3214965938995675,6.040429685123243
124,6.550568022384221,5.883210699241999
125,6.407952899700145,6.07389596580724
126,6.507340516416541,6.036064262286843
127,6.339799502570103,6.289198196074584
128,6.510522255327599,6.01014200003268
129,6.320972115996171,5.964692513817504
130,6.657125883738599,6.030982404570135
131,6.2887487916566505,6.034334169940825
132,6.451006562851617,6.362772417152702
133,6.3643986201665,5.8359563832565
134,6.602119895269628,6.004772137745226
135,6.540932147804303,6.160048986138627
136,6.338515706455307,5.964670716041997
137,6.431652887503006,6.2155222689769545
138,6.298783685191862,6.084517324664926
139,6.377846633184024,6.325745861337277
140,6.589385638484907,6.2072480681322
141,6.339187517461183,6.032331768591453
142,6.472895087024367,5.9713222637354875
143,6.725791733817073,5.974053753126304
144,6.532815802552735,5.966899029880272
145,6.309883920241523,5.8415224388155815
146,6.168100977891263,6.102829618284685
147,6.268425378944584,5.9992947473762435
148,6.133727236363458,5.972109000704939
149,6.328168077632269,6.0957137267624955
150,6.4985549158492635,6.216649554508893
151,6.064890619371788,6.191881407415464
