wire_number,A,B
8,7.257029193097162,4.999356713445389
10,6.300646325352273,
11,6.217623335969017,
12,5.987911360190727,
13,6.094008314613907,
14,5.993086973733551,
15,5.866209426449328,
16,5.99308400205756,
17,6.1152142654791595,5.338808609413124
18,5.993083420481516,
19,6.220735879174934,6.472893710812853
20,6.216767957219536,6.240927977314234
21,6.53472519454331,4.011390975024267
22,5.958628087249285,6.051544528250275
23,6.761350674031486,4.787942273014977
24,6.334931471602648,5.9931364500958635
25,5.906163107107712,6.006009909327135
26,5.82787449744958,6.458097994498214
27,5.858428639066747,6.351563666647807
28,6.624775655309244,5.041451965477847
29,6.472892697040958,6.199981689634425
30,6.670701248691549,5.882429106464416
31,6.473499203538309,6.472893831077814
32,6.462398727096312,6.436985010566365
33,6.233851407762816,5.968010605492472
34,6.498217722964208,6.735598504201669
35,6.507264273673737,7.180147041338212
36,6.7178806493627405,5.09649831911587
37,6.498463746873213,7.014947898875791
38,6.2895420525618135,6.991695859556471
39,6.483285048037467,6.950349537951342
40,6.473241597302156,6.984937504727235
41,6.166648821138579,6.716751781190823
42,6.228556874984142,6.432555356794792
43,6.469018004042563,6.932029423899205
44,6.184592519783437,6.448275003658348
45,6.228370654068545,6.727012714304292
46,6.610937982243018,5.093348640200281
47,6.472664833584298,5.8729312937232265
48,6.472890703032812,5.699006923252144
49,6.381907917681638,7.147143315432735
50,6.483377642590171,6.784047256787071
51,6.204726662542313,5.653428489779705
52,6.313402239042134,6.396152106924918
53,6.228371390256096,6.51355406016328
54,6.049374834035705,6.216837865756456
55,6.228370799075178,6.423656792956604
56,6.19726245127503,6.113191127921423
57,6.013625197863798,6.142047121152859
58,6.02899683575034,6.088208032288602
59,6.291430970440471,6.400225280256628
60,5.996886238557178,6.553734368569249
61,5.775629220274795,6.10041760314461
62,5.464468739880425,6.397283444555372
63,6.213534871720231,6.531483378315014
64,5.993085074338464,5.950266703899465
65,6.228372026999749,6.243427169435154
66,6.457038554248059,6.211763764228716
67,6.457475083337445,5.462288246415849
68,6.024148067764398,5.251115056781752
69,5.87180112835919,6.567754841502919
70,5.993086215792907,5.662223617226028
71,5.900634946871723,6.206205550577707
72,6.490941772421572,6.409627631079128
73,6.477405107944087,5.2202028657202835
74,6.690902162113232,5.623771271077831
75,6.211415438831605,5.368605172491811
76,5.620971953763241,6.111600650716117
77,5.89816586814666,6.379471771050417
78,5.631034353681805,5.993103414956008
79,5.801515903238189,6.168551630461392
80,5.993086693887099,5.165299769613282
81,6.242654405020364,5.548848108643517
82,6.097832722247326,6.157768015496881
83,5.867148580177968,5.313548665303516
84,6.22375166895737,5.012618906699677
85,5.823247834075991,6.208865031774602
86,5.920520362585461,5.778501164298316
87,5.993069930373161,5.197993295009354
88,5.993084909472023,5.968752771430304
89,5.747950073348796,5.891404987159616
90,5.865345857243343,5.238026366555654
91,5.76663875110871,5.993086362299658
92,5.766809114127431,5.915863383935323
93,5.972324802039909,5.399871648835193
94,5.766694441553894,6.152213695302725
95,5.993086524198894,5.040158343314277
96,5.647726918213172,5.185285238357174
97,5.651289835745152,6.10488543076806
98,6.185093978307646,5.489214734574473
99,5.993115624370199,5.837157727412403
