wire_number,A,B
1,5.2823960711381925,6.154600971919177
2,5.486163109263558,6.007195774242234
3,5.488609866632843,6.210518819494465
4,5.919151032404561,6.691627320222282
5,6.534010136635565,6.5973701485596905
6,5.915228580786252,5.97189060148801
7,5.495129613438225,6.312398814554046
8,5.697789116649935,5.788609451170711
9,5.487658918490375,5.787117663598873
10,5.4244051278668834,5.699383218571996
11,5.913939534836552,5.697375523137778
12,5.914057898671661,6.548717886369098
13,6.190417148137534,6.359397206464796
14,5.666212260367852,6.571911598253735
15,5.48578120894386,6.325568507871971
16,5.696536764413071,5.886767393862953
17,5.784600561685413,5.924095906977913
18,6.688045791520757,6.022508403039669
19,6.192036339492745,5.934956998059939
20,5.649719194392862,6.2784906292094576
21,6.080465606179192,5.8542500069768195
22,5.929295284288862,6.119697800930736
23,5.941192037414844,6.038436129619182
24,6.339533758642467,5.938537268221135
25,6.0405831872735885,5.836024862203619
26,6.021334318220857,5.712358103093051
27,5.987220124255211,6.057896776016096
28,5.856464187140906,5.923088998665326
29,5.735920258902383,6.2605258456672335
30,5.807845410871757,5.804880527789734
31,5.656752956098244,6.155346006914273
32,5.745991502762617,5.639206807372957
33,6.139536076503969,6.215137372723451
34,5.9211879522099276,5.955687467301271
35,5.989601056255968,6.056016137647886
36,6.009006775733808,6.181052520899481
37,6.042171896719924,6.225636494523506
38,7.563327588968025,5.699354169530947
39,5.923090183213061,5.433651191232238
40,5.502906810374497,6.155653935680946
41,6.201059000442856,6.09591573985002
42,5.71672009094784,5.921517208190295
43,6.216120265106914,6.62008247498314
44,5.860382427093365,5.939793405436537
45,6.0897405404677105,5.742551405984353
46,5.927267635042316,6.363383201161136
47,5.702947516557617,5.5382540239300555
48,5.922468311945339,6.022422403115427
49,5.975013230608292,6.452771991113062
50,5.890810343207644,6.644417045977803
51,5.908196761477657,5.485597673519597
52,5.833809847230178,5.923088998665326
53,5.525334354725146,6.556832579638926
54,5.6078148259086165,5.48403717647612
55,5.8864284775298525,6.322424104017082
56,5.7727927192669615,6.327415857688647
57,5.923087814117713,5.951217416418224
58,5.926418045268362,6.147621327906809
59,5.826017137954015,5.843299509813522
60,5.726967822517161,6.133420783748304
61,6.060504997798236,6.057842868304363
62,5.6797815161294265,6.217585040284671
63,5.775345850531285,5.727627102236586
64,5.784340687464879,5.504092020165563
65,6.175376187531791,5.938609620017157
66,5.656348957652666,6.30698516551758
67,6.155554914609943,5.629559901362965
68,5.484216126518541,5.67755576474697
69,5.707747771957347,5.8676816670647876
70,5.484421295764796,6.058867155842825
71,5.778324242104122,5.484033757076985
72,5.4896851986067805,5.415362882974614
73,5.940044886068433,6.397263487550035
74,5.734410800457867,5.923609026508123
75,5.5410652418404185,5.970217208258019
76,5.859207760039994,5.491496282001187
77,5.722464536211254,5.69934022601754
78,5.822076347345019,5.880916257842658
79,5.6897952488079575,6.149016457147088
80,5.680291911425454,6.1931506405130445
81,5.587606244378986,6.015371305142799
82,6.133434043112985,6.192928983518161
83,5.013271317109145,6.151805983284186
84,5.881172390747812,6.208739551521956
85,5.907013763099786,6.3837684605136555
86,5.707160565247255,6.159221640525163
87,5.699326282521188,6.885108688397701
88,7.1601790452696035,6.316184123894369
89,6.855473005850408,6.330044725515664
90,5.922777466723387,6.174079658896434
91,5.632359541672341,5.81269312329324
92,6.026866536235714,5.592143635630061
93,5.4840383162760675,6.7980861757517195
94,5.825977194789699,5.8275785530389
95,5.83085832321576,5.462943845324552
96,6.243441731159113,5.528761415849287
97,5.822655342700243,5.276888160599528
98,5.707039639299547,6.027570340956685
99,5.854718718696202,6.127283237406274
100,5.743517188762256,5.659885880631031
101,5.737731871240403,5.564791908328746
102,5.8671098687837455,5.627151197111563
103,5.907444360798765,5.397427666374876
104,5.4520430621746,6.079707115291966
105,5.700569644657519,6.432553277363032
106,5.905634536564408,5.75327638030379
107,5.485231751805883,6.315693620805165
108,5.569376311773394,5.602564850346598
109,5.884441230721331,6.160598756310405
110,5.1795806220337175,5.276872507690044
111,5.782668033221432,5.48403717647612
112,5.537331999019233,5.4050483089438925
113,5.439230078686264,6.102213098230231
114,5.877742797212736,5.591713177595198
115,5.457738264423934,5.256447390086985
116,5.467630648264349,5.247581972421265
117,5.475430507599819,5.380835174074399
118,5.512826312873033,
119,5.391872524007096,5.381375990265681
120,5.720424840572319,5.93796439988923
121,5.896632122801698,5.699337902100296
122,5.4840383162760675,5.293012906163231
123,5.2746802116701055,6.4611932406213315
124,5.719806716943012,5.697890193751466
125,5.276552746192021,5.717615033617777
126,5.225091799219028,5.929291728785083
127,5.827258968740852,6.369173525796879
128,5.590968547336554,5.923083075928436
129,5.560366626896289,6.1963608722177055
130,5.573390362249839,6.17687607327835
131,5.869179085286386,5.616454515866376
132,5.535741257016109,5.763789341381688
133,5.485240871201855,6.466567453800537
134,5.832319298907794,6.527838185436813
