wire_number,A,B
1,5.430527384092515,5.558802187154374
2,5.819812625368205,5.621468677334122
3,5.463840924346187,5.451110396332263
4,5.596973020669392,5.707191955180826
5,5.65764095249605,5.506788694162403
6,5.524845427797962,5.51793541270617
7,5.535426807688159,5.472132750526681
8,5.497962695233094,5.27058142501497
9,6.210132007154536,5.411005259579437
10,5.853353466402928,5.42257088251256
11,5.814234957381083,5.424114452919296
12,5.918310697592045,5.383507546412277
13,5.752640104861198,5.704754718942617
14,5.7062123345532765,5.926319566860273
15,5.801661783814185,5.734810084449588
16,5.392267686734771,5.424198985461187
17,5.888566067230335,5.744012782245095
18,5.72007185180598,5.386829449433538
19,5.464551096989317,5.433604955254574
20,5.842953065817491,5.4839723206944
21,5.833334983749562,5.275099383547399
22,5.474036783588171,5.581646498106923
23,5.73568169582749,5.5377583056493
24,5.6892463102403426,5.610964327453216
25,5.791785275260346,5.674807365652602
26,5.827115276277379,5.7599766144327305
27,5.754391810388724,5.5395672233820274
28,5.608204232528519,5.64944644600772
29,5.808039137986497,5.529272590684722
30,5.921091862567756,5.9042724224060015
31,5.7657491324000425,5.9438596776582795
32,5.90039597669316,6.01718057832955
33,5.652694864641497,5.95939094529522
34,5.709744437655673,5.768403065388799
35,5.4457881260142855,5.909378297964528
36,5.951936207157827,5.813112485357096
37,5.780774276866088,5.9681336576832305
38,5.661627882777155,5.596780403695295
39,5.506652953665265,6.010519573106149
40,5.919306101978571,5.595452099433165
41,6.052392135743331,6.093816859420446
42,5.837489711517704,5.779601882590402
43,5.752205715837579,6.0047090862904255
44,5.503812490394568,5.727075626075187
45,5.664300513764283,5.495800623706375
46,6.0468555025760615,5.870094797110433
47,5.569373147332092,5.560215253744498
48,5.683121122133693,5.50889837059084
49,5.760165577224092,5.774294594741581
50,6.093365442611384,5.968186790728348
51,5.856905528450777,5.312859057185002
52,5.771103668253265,5.666773552621855
53,5.701897716916737,5.45123739299421
54,5.856436771318092,5.38467479858349
55,5.81840490108425,5.378319745137901
56,5.6871942053619025,5.415736911045888
57,5.6249181199602765,5.589957626855396
58,5.491527442711761,5.789400618853264
59,5.854712925422189,6.002304266731772
60,5.869644032607306,5.925973512601175
61,5.799602369635979,6.015323885964223
62,5.682711365447569,6.0831776861583995
63,5.708120438224578,5.882651420035496
64,5.715563405108137,5.888152171660967
65,5.4172489006773805,5.863669979066203
66,5.480459572844685,5.981798177477233
67,5.486743120319687,5.965248261028266
68,5.495940617031801,5.6051873441372875
69,5.78238389663365,5.914241271649766
70,5.696679928593612,5.991095805968223
71,5.775304418537168,5.815933004967192
72,5.608509138679513,5.734511702444237
73,5.693419249466974,5.527570590295204
74,5.699490254999795,5.538794664557308
75,5.9121740691219005,5.9774631196555
