wire_number,A,B
11,5.138877266652442,
12,5.256165673570714,
13,5.360694821884981,
14,5.323793760323215,
15,5.379257362434102,
16,5.364649309679099,
17,5.065339765993955,
18,5.094922024713762,
19,5.753319148176574,
20,6.072866141631718,5.0293334983470634
21,6.210492651333763,5.180093610659792
22,6.0989616320809255,4.938852389681249
23,5.945766180450713,5.030143887776704
24,5.966125889236738,5.413079885505944
25,5.852576500119611,5.8588659443559585
26,5.766780004784271,5.1795100759396195
27,5.843133492462975,5.434058911720459
28,5.835700998561891,5.127144081604066
29,5.877991573471006,5.659566697767954
30,5.818367321062787,6.054908435791479
31,5.848383967127558,5.444085088182054
32,5.852970312009914,5.65779086646737
33,5.711720561728256,5.644295834988116
34,5.713043968490836,6.109487832152081
35,5.949304292423719,5.7530522662899966
36,5.942254385834418,6.30327354122309
37,5.404308310408364,5.699717877702712
38,5.7586392394351495,6.0206020188456835
39,5.703242786719558,5.658271273748052
40,4.552015720761342,5.875492678880168
41,5.828911122059698,6.058039465257135
42,6.298330251028486,5.817428601616891
43,6.256257458726532,5.501133989768643
44,5.7121713696770025,5.622705891411569
45,6.174310580153193,5.589763278134524
46,5.948270090940206,5.423739969452873
47,6.085630206551635,5.580439864226911
48,5.606070273418213,5.670786269569005
49,5.929230668849159,5.525010812207577
50,5.353160529972963,5.691141671424839
51,6.137566922308582,5.79056381340309
52,5.714516980007088,5.480151005586273
53,5.600339262303994,5.580263948386016
54,5.578409473343302,5.686293806667703
55,5.469928337541176,5.586390869024288
56,5.80044564401984,5.638885150120494
57,5.816483314320215,5.786695143918991
58,6.077353152870916,5.446840286946039
59,5.712295497302619,5.345213134832208
60,5.650196970409886,5.378446471706298
61,5.7072296237019575,5.3497099068014515
62,5.632144749305465,5.557274401011962
63,5.73988316337578,5.445693517253545
64,5.652290160657868,5.462182607628955
65,5.796305249868888,5.5911862178126
66,5.736856951971747,5.458407101603181
67,5.691987754707572,5.460121948927014
68,5.829721094716649,5.566048149121359
69,5.806545624085031,5.92654697664862
70,6.006711437637388,5.688801027860009
71,5.852104127209518,5.580104353800036
72,5.940452103263797,5.837779315653143
73,5.916308711478367,5.891397637407501
74,5.928085945530519,5.7802962933803
75,5.816636800481052,5.656889783766395
76,5.855819375384026,5.817145750872729
77,5.938413962505399,5.704928145020297
78,5.764426553464645,5.703570294999775
79,5.665135350951531,5.557877593908819
80,5.778670156338567,5.632446113696099
81,5.660630855490113,5.652959889703035
82,5.746926804839293,5.892490991662364
83,5.7222383017329355,5.537964093898923
84,5.623690076731838,5.456359376344171
85,5.473265732537487,5.691676487982172
86,5.605716380166176,5.632899020573826
87,5.6346856539148105,5.7785094684647
88,5.572952736239019,5.767924250775498
89,5.638310548854168,5.942810629455995
90,5.685631062633028,5.737075136096112
91,5.673935638288088,5.8745513615286455
92,5.85961516896314,5.665819095713007
93,5.903699152757647,5.652853429757109
94,5.971099093745883,5.785954681506795
95,5.684116125174391,5.8692573365812155
96,5.6910108822081265,5.7555868986408445
97,5.742367546046669,5.804353858684135
98,5.833411029535357,5.960199413372232
99,5.9184707393705285,5.857824072788294
100,5.8454880110226854,5.739494503955042
101,5.666868821561492,5.676421228192795
102,5.692072866850211,5.767232876437611
103,5.701183558067595,5.730459885162786
104,6.062121838508857,5.534779858314544
105,5.959851762155425,5.713617807114397
106,5.713741908325672,5.821129051732096
107,5.774117054460689,5.6779081729848
108,5.728569284212437,5.7561598805818095
109,5.797211900922232,5.942080093305853
110,5.99082005900068,5.819350499873142
111,5.838533538501533,5.987302378311888
112,5.7727116239544305,5.729954381736079
113,5.798798181216958,5.8813699798522
114,5.893327748927507,5.9265061345747565
115,5.832691677727082,5.886429675906265
116,5.828467990641425,6.103395305077658
117,5.9197954097973335,5.887356619168974
118,6.08647477712315,5.990831265942053
119,6.005860331494756,5.921953798719591
120,6.108811212552002,5.807165240682587
121,5.908629807949308,5.9284938101581695
122,5.8853339911863625,5.893812904318876
123,5.943676637525627,5.984967878517856
124,5.936975341865971,5.926578529428095
125,5.798770736442939,5.801257318798519
126,5.847942537273112,6.098148982385617
127,5.697032513545143,6.276675637845454
128,5.828257073849459,6.247925455709742
129,5.6472186814443885,6.071180226644045
130,5.7429518051025745,6.084366519571842
131,5.626686313333887,6.156739127216366
132,,6.188997793647088
133,,6.146974593504624
134,5.698516860007909,6.069100174049504
135,5.672131923718404,6.182416139021043
136,5.764373273238688,6.119880817721805
137,5.396126444685541,5.92844161867098
138,5.698084926362158,5.991775101716952
139,5.77811771649301,5.93986132856582
140,5.796459385958468,6.010219092833703
141,5.7909690409529615,5.95860371583186
142,5.648509415677273,6.02057986611568
143,5.643732723910522,6.0500219157936215
144,5.748104291781446,6.077702107817313
145,5.712445438588395,5.981371202882889
146,5.389184117368122,5.845663618179362
147,5.83362288405274,6.038796790856766
148,5.447637154568593,5.997064361086076
149,5.539968270402808,5.785416937413942
150,5.699128010083454,5.898700337234485
151,5.369892500951706,5.584719005635375
152,5.488180843420984,6.015548664408687
153,5.497339841092693,6.036211675283126
154,5.4540957163255,5.498031919962365
155,5.474175216428421,5.43868792011779
156,5.314032956844527,4.57335343715693
157,5.617421547309746,4.6247239368255135
158,5.491256057949317,5.976396937881421
159,5.547539097789289,5.745273175590903
160,5.3090741026704595,6.155742026176619
161,5.504726212198251,6.019562570590956
162,6.032055992581345,5.960463805099731
163,5.537377697561012,6.222000969625926
164,5.781597541920117,6.113842904767737
165,5.510933308015401,6.052732065517155
166,5.376461349301133,6.0942660277694065
167,5.997101587901544,6.144604290373295
168,5.00959491453019,6.167582313363254
169,5.492430191864863,6.00373745161397
170,5.568466090176752,6.111891159133989
171,5.446406770011429,6.140241474592081
172,5.531790281912991,6.223043559933563
173,5.480095574102307,6.040928641399324
174,5.334583890187806,6.033456681645737
175,5.330990611713298,6.120008153791343
176,5.553480723549707,6.027530208605623
177,5.503551197981549,6.209616500148274
178,5.499025197632499,6.068578828804957
179,6.1396813004235105,6.238962529410012
180,5.882550656605657,6.29150185162786
181,5.491832673057814,6.186769289623097
182,5.456135692476483,6.181164259520329
183,5.526685472347502,5.919561688336319
184,5.363596006830768,6.166654334817394
185,5.504520370354756,6.142570918954423
186,6.033032228306222,6.025392891698522
187,6.1123862933152795,6.150299418831632
188,5.55594860695102,6.062145701188844
189,5.561499817531136,6.209665224537131
190,5.474411508320096,6.09769314567073
191,5.476443609795853,6.023604204896867
192,5.674953622156858,6.136612981616417
193,5.437054219291017,6.034183335007841
194,5.575455009491237,6.191362355836182
195,5.436796168041248,6.123055996090722
196,5.330593063069978,6.136343650665169
197,5.334225723119578,6.157050520319883
198,5.405136362790587,6.099678584314272
199,5.393976962689255,6.1660925081047315
200,5.43142638684437,6.224300562325956
201,5.662180010883589,6.0245693993134894
202,5.485767026945399,6.168929487404142
203,5.49111713442262,6.128111792632528
204,5.476288968922502,6.216487858101457
205,5.4348193123550725,6.146059404437623
206,5.392528899124395,6.076588750383777
207,5.437300940671541,5.984226085008237
208,5.46056741663181,6.049448755989336
209,5.427400822120037,6.014702837574098
210,5.506439357901898,5.817925790102999
211,5.481992120944136,5.650961177938708
212,5.4823937400274865,6.088541487396347
213,5.470064226039063,6.061358328709706
214,5.51829680403897,6.166521852921971
215,5.524164374526821,6.038686052128226
216,5.442195262290787,6.014919693298062
217,5.5045941515605445,6.067714678187223
218,5.3597879716632875,5.919235015164167
219,5.441724042238243,5.983149947104666
220,5.436723733752846,5.733403978988751
221,5.462370980892757,6.005316825281095
222,5.427957527955368,6.162332973200793
223,5.508530750600002,5.539435131860537
224,5.513508225883857,6.16108068942453
225,5.504457767356456,5.568868644866164
226,5.514774414672399,5.522667064498703
227,5.3284787540911625,6.069780835343831
228,4.631754314249292,6.184610553676868
229,5.512678469679165,6.13740664850032
230,5.425418523465532,5.604331815682798
231,4.945035268758822,5.5591258853739225
232,4.919591459385108,5.9253935961668605
233,,6.296414210579469
234,4.909317353397966,6.174241667818823
235,,6.0549102342986085
236,5.368977310074711,6.003392253118138
237,5.3781570326494,5.8836141051149635
238,5.419768373582604,5.199861369777382
239,5.06189568886307,5.3622611084358045
240,5.416250611356253,5.393536889486705
241,4.964355742760865,5.266864233808914
242,5.472989214927009,5.444109323986704
243,5.383289241256422,5.395970891626544
244,5.454534100183248,5.301046192377473
245,5.388930607796334,4.949696153572524
246,5.311619163456657,5.3692693355011185
247,5.389002931832049,4.92366322173117
248,5.473821463807813,5.331391676388521
249,5.531674230639453,5.367372761822221
250,5.497932928978576,5.352969200637526
251,5.537115390037531,5.156389997097021
252,5.545202814269879,5.208431676054637
253,5.626965476667575,5.279125145949112
254,5.437068690272837,5.336146256158603
255,5.5673061294365445,4.972205134445623
256,5.483724827127134,5.301615817712144
257,5.791603756082763,4.940982135998847
