wire_number,A,B
1,5.297832403708211,5.564955322029882
2,5.803743327217141,5.394831127197483
3,5.87950520317671,5.458494858566117
4,5.812965059150093,5.589440430456704
5,6.025590128748801,5.5484918736466255
6,6.755953235832719,5.61305334454275
7,5.4330134016333185,5.354503206245793
8,5.74745552422498,6.001504094558821
9,5.3051983035223325,5.5246335035184195
10,5.8777013784368775,5.696925948484648
11,5.369514602852848,5.535038140759737
12,5.733517841338614,5.343963340496947
13,5.994201247459175,5.41992131394698
14,6.6681425696957675,5.600295705129624
15,5.910743791395669,
16,5.491836782544199,5.624401534587937
17,5.608130640291115,5.437074586487353
18,5.712556152485334,5.765822717075816
19,5.7639414716227435,5.501615651464939
20,5.34866286751005,5.639138403913828
21,5.549684515311712,5.812581221889138
22,5.62523696911205,5.700491340022229
23,5.432239328302684,5.935772955417714
24,5.3305800865700625,5.494397560771961
25,5.416227218153069,5.661714879322947
26,5.643578639289051,5.437331653511727
27,5.528656461991267,5.554005791327679
28,5.797971997790381,5.44640300663901
29,5.566929862485187,5.997417603020977
30,5.515501295904898,5.3633337074799
31,5.976554490578938,5.7151102079011284
32,5.4183846841277346,5.640284479112862
33,5.605076456366696,5.698955250038843
34,5.932634995629867,6.183166530183267
35,5.463878543396496,5.5580813367958095
36,5.844017719213451,5.652509226381737
37,5.744023046421667,5.746598206897715
38,5.385342195053334,6.038793767368545
39,5.529495697365542,6.065669257051697
40,5.526859168871682,5.712056835884031
41,5.682748601776754,5.88058491842246
42,5.332586618073221,5.5219260281860665
43,5.3648809888009446,5.926696650116932
44,5.674035359556493,5.442614052536801
45,5.849965484910722,5.964793401868157
46,5.9449495066064,5.325670379959619
47,5.934638613654968,5.879255486802839
48,5.638724244178671,5.45020126388228
49,5.776122772083013,5.28421945842322
50,5.959926137796623,5.641331535129916
51,6.123145585137984,5.625836375276324
52,5.564825308075858,5.490713042312187
53,6.723166413345556,5.433590596981515
54,5.926217187690185,5.447613152567312
55,5.134861524441049,5.751203636750756
56,5.555934787536764,5.485213738636299
57,5.497065725462485,5.352868409361521
58,5.352344449682486,5.753048277997024
59,5.648504071596021,5.886492423290996
60,5.968328974563989,5.56356395331151
61,5.905750010861178,5.395669048918362
62,5.640317252910378,5.459272422601953
63,5.870404404098911,6.008733505392002
64,5.950227143124362,5.522453341784942
65,5.5828585082946445,5.719811667455115
66,5.9410263218601775,5.641511085909499
67,5.713994926226391,5.407379915008502
68,5.800140404849276,5.720680148901274
69,5.994130786027203,5.482707593861512
70,5.8480616489882316,6.044274521843436
71,5.328666429342469,5.445874701590704
72,6.248426043645762,5.57427634895296
73,5.395881554291925,5.561284805022113
74,5.967467392422749,5.580861455564397
75,5.628158914072665,5.707441266230137
76,5.812974125285405,5.656630612002755
77,5.876018258490471,5.605432300985481
78,5.754593833270445,6.016103952748997
79,5.367685996164099,5.809680479899613
80,5.670855589102919,5.6984193938061
81,5.318722642026425,5.85933439139648
82,5.5146383409617155,5.792446075004436
83,5.3800368749767244,5.563047544005315
84,5.718361370955953,5.714451902388617
85,5.78205262985462,5.593229719505219
86,5.593117793681129,5.700661160794818
87,6.154961596997668,5.652383374095237
88,5.533389181772689,5.518915762974294
89,6.025057859511224,5.556928132503474
90,5.8942154717215,5.878569593401371
91,5.346929736474399,5.780348740656463
92,5.7410719490536435,5.997041912205206
93,5.791226158679566,5.672299637979051
94,5.38735961738637,6.006957624033116
95,5.398590726662104,5.681015025532505
96,5.90519920629099,5.766451345446829
97,5.768476382593699,5.480745229043006
98,5.63086004864275,5.350748941409251
99,5.29792369499402,5.629508490322399
