wire_number,A,B
8,8.259587596105465,
9,7.555885038553861,
10,6.834340765681979,
11,6.523871862547343,
12,6.3350046402423965,
13,6.817790896114304,
14,6.77451631662569,
15,5.219567959067255,
16,5.205549491897352,
17,5.301935095877192,
18,4.995980588117254,
19,5.369698180090165,
20,5.383559953563684,
21,5.297788079257397,
22,5.351031346532952,
23,5.345770007563966,
24,5.409872594281938,
25,5.521749232336592,
26,5.4385282157764685,
27,5.324710410313487,
28,5.603715456990395,
29,5.528145939505265,
30,5.880617096219157,
31,6.021297517569621,
32,6.073680447888295,
33,5.398694757695959,
34,5.549734721449807,
35,5.614876152414351,
36,5.889512993901983,
37,5.865665992703671,
38,5.866233341511323,
39,5.771507566054116,
40,5.754563341015513,
41,6.158843529549663,5.782386330178476
42,5.989731355934569,6.142446120388161
43,6.273981331656043,6.214582343736056
44,6.046085638753323,6.284652928528826
45,5.950085945421935,6.182394061461117
46,5.534664587229577,6.1753378887264825
47,6.065510793328625,6.140397583362229
48,6.045403901690976,5.906666203288878
49,5.754440941690272,5.412608092508374
50,5.952927031643068,5.860124620442184
51,5.848950909851709,5.038916951454182
52,5.607095957655573,5.704956044437492
53,6.033392309415074,5.674275819170331
54,6.183289362789217,5.776857152511089
55,6.187627860817711,5.69321480363175
56,6.11207513413665,5.649809080703628
57,6.42033233505512,5.828633349933237
58,5.976633733218484,5.203247324240691
59,5.727904723169717,4.879229944997951
60,6.4856834033415005,5.928809473999856
61,6.481361261004076,6.44532249663793
62,6.09361214409788,5.963624231835856
63,5.970103175552035,5.891984846923632
64,6.121106625584725,5.912954796720149
65,6.279343196853259,5.8235810764916
66,5.987227598365809,5.4932594971410085
67,6.200892777370911,5.674123322339303
68,6.060687790325641,5.6151143141130015
69,6.139043801935858,5.739568668957737
70,6.393958905479,5.742800826989512
71,6.159524705892182,5.757205936787251
72,6.04463822869918,5.832927975993114
73,6.353173346553075,5.957938281525898
74,6.28009817576333,5.87455232284725
75,6.248040228887111,5.954493926518111
76,6.375149795128419,6.119587876041655
77,6.2209065361701485,6.153258760941075
78,5.935087297148164,5.572046440039824
79,6.487762889369263,5.515210675078213
80,6.178490838872084,5.631004997436995
81,6.313579944313315,5.675935420114077
82,6.0954377500926045,5.570439261428134
83,6.096416926823352,5.610821809143893
84,6.554593564577625,5.537571807589058
85,6.460910674638723,5.961055617850792
86,6.356485918031123,5.490334014825383
87,6.387069563694224,4.930516742273293
88,6.388466667952762,5.77526783641067
89,6.368625831197818,5.817401991019376
90,6.207437782099828,4.867132191266284
91,6.541757001638207,5.683668906694434
92,6.188536188922708,5.674624595551748
93,6.50839378386114,5.740978530353433
94,6.581237974927731,5.856689274997238
95,6.520510586624256,5.771845927180977
96,6.285500818502481,5.661413518876039
97,6.492587354913653,5.614274472966967
98,6.713145785275509,5.652604730479729
99,6.752935212551027,5.759066436468454
100,6.733093693671442,5.730965730005209
101,6.5259384646346845,5.654516537583371
102,6.438331045681608,5.390436770690314
103,6.509054450422664,5.881423823397306
104,6.736557449669817,5.7271676190900696
105,6.504518624223857,5.858919417906153
106,6.696004551390353,5.7569782207385805
107,6.413050535805374,5.915482996058353
108,6.519031390001406,5.70020283453705
109,6.413188089256251,5.923846066289791
110,6.067572102192737,5.748442509360878
111,6.0370354622236215,5.565103234630736
112,6.487973543674951,5.454832503385715
113,6.621269118370861,5.318440826441728
114,6.631959394870816,5.963092590021927
115,6.833368904811161,5.939237344948486
116,6.7994663372208,5.914407572609675
117,6.777171661804143,6.206766517853743
118,6.251684261182397,6.1208602407737605
119,6.906809860019056,6.145916899127734
120,6.888694886645345,5.808691434467611
121,7.005550175665939,6.160920434295815
122,6.805849572007221,6.01830608442141
123,6.707186582086159,6.033953521694968
124,6.629388557151844,6.026342674584442
125,6.651348958904199,6.056105424070003
126,6.67081000793311,6.231957085748056
127,6.987456438211378,6.201829380890725
128,6.861665974917588,7.311336787150336
129,6.7497466880427615,6.439763530082943
130,6.79124085399507,6.171074088386184
131,6.957805936710239,6.365435487290831
132,6.924700853211038,6.228285013439252
133,6.986973587896496,6.0173676505746245
134,6.985300278785625,6.048624231071494
135,7.137682982477177,6.260487813790192
136,7.186162442485425,6.0480477671048325
137,7.151897183793546,6.045883361712314
138,7.225721815720336,6.1082480887952
139,6.831605351584309,5.965306744253854
140,7.052555662462747,6.022254797674154
141,6.8212832306596685,6.128993977982562
142,6.909440404402015,6.206376248295548
143,7.778351495987492,6.07744667509841
144,7.068055558139728,6.167460942508841
145,7.191375755477113,6.315286781740111
146,5.368025984646895,6.397203901417223
147,5.560430121757002,6.448928370745315
148,5.412999953165812,6.537672763065632
149,5.198191029364096,6.195484748184089
150,5.506955151734217,6.187590020652648
151,5.239703620677023,6.140226370325498
152,5.595653288525048,6.604936249174602
153,5.36224110927996,6.464766225357607
154,5.613326532015373,5.903378588485928
155,5.3986980323225815,6.152003680681446
156,5.8045559811215,6.240790021439647
157,5.283045892896607,6.315851674663866
158,5.425520706357125,6.148373377311117
159,5.594247749653581,6.114721192414131
160,5.539706452088449,6.298242390686148
161,5.482990924796357,6.253459585050942
162,5.53097957123868,5.879715076120105
163,5.560240991303018,5.758913406463428
164,5.677727122720086,5.91809879419873
165,5.724872546585005,6.06226292177422
166,5.263625020149871,5.985006493567984
167,5.690091878973492,6.047810772687546
168,5.409511910322584,5.784673129628246
169,5.300705943492522,6.223790783914206
170,5.128408898321393,6.425036383520743
171,5.082648673069722,6.199130339516846
172,5.299962448610165,6.054356355485209
173,4.877944302180819,6.1080234564348
174,5.256382635916054,6.0507440940056005
175,5.200379899666204,5.940587872157786
176,5.831461676635708,5.95093067128273
177,5.035690259136016,6.03449878933122
178,5.48360219169904,5.912430161862858
179,5.243502137265335,5.9829229866862566
180,4.99563074860601,5.829057919098328
181,5.550747620757541,5.765423098043279
182,5.573270846657207,5.838176279428784
183,5.43647832074012,5.854579039666275
184,5.393496240377835,5.835083476674967
185,5.381963472435702,6.094899494383295
186,5.391317563883887,6.127447997515867
187,5.340685649141984,5.827565313893642
188,5.281494619057767,5.8290382997233685
189,5.304773252782713,5.986822370017712
190,5.187432755862215,6.026082658010835
191,5.3056013978981,5.796803203264212
192,5.454324538523467,5.819118577085974
193,5.344980884512419,6.061335688266548
194,5.343999064782245,6.054118657126874
195,5.556029875584776,5.837034915712753
196,5.56391234152796,5.927547597776089
197,5.463184146339677,6.000931856793011
198,5.378800185671524,6.0119821620624485
199,5.387981416790623,6.038819941461621
200,5.60378242119719,6.116273891451554
201,5.279052407686194,6.073781813574771
202,5.290727668320742,5.992051813045445
203,5.408898192517017,6.139462609593051
204,5.461647331129045,6.0744036542289646
205,5.573454254860297,6.394709563491484
206,5.590419371953117,6.133773100795348
207,5.38296850541571,6.141449759641354
208,5.276481934704655,6.233108496182254
209,5.079573537360682,6.023758917663533
210,5.249600594501106,5.953047939469748
211,5.182939939121088,6.286003880694328
212,5.177186823953559,6.199367004666044
213,5.160725431825138,6.119354851073459
214,5.486407964702171,6.174337005743182
215,5.442804337061165,6.067660984577809
216,5.434357833937941,6.03493089222458
217,5.14855187303203,5.841466732814353
218,5.452700268769504,6.02609862724785
219,5.228628873638667,6.169235178818294
220,5.493878131459506,6.154889170980167
221,5.580421818264233,6.198229235879635
222,5.56683516589166,5.992369156290607
223,5.494319895602143,5.7734201252676725
224,4.935010800568501,6.024193399982795
225,5.310946639636076,6.01483470402086
226,5.400784097844811,5.994053056733909
227,5.447355443628289,5.969086329774161
228,5.226475003839749,6.02462410894069
229,5.162551620487062,5.945826123467136
230,5.22414527774804,5.832839220594284
231,5.191983713971542,5.905919847765018
232,5.718870553018957,5.9261503753861415
233,5.761100795151957,5.936480996988294
234,5.6342880417331695,5.869071199813956
235,5.305034035975754,5.881024706040244
236,5.54204540853217,6.107752502175456
237,5.411376677928659,5.957875303315125
238,5.593495577615312,5.811156304536515
239,5.358524897008438,5.9235399935637245
240,5.562130524942928,6.111159480651245
241,5.683961083916664,5.880871109420252
242,5.68730286721149,6.069356673141917
243,5.328079568863341,6.1032107721171
244,5.568867781313591,5.64002694451981
245,5.784992821061303,6.0232522795395935
246,5.675472384180133,5.813922150139475
247,5.789864026232981,6.031616673514651
248,5.0495073263295005,5.910753136588811
249,5.397248127206764,5.961412339375538
250,5.227477609272449,5.737527301307408
251,5.693543316324024,5.900628158751343
252,5.313503040114732,6.026779871874207
253,5.57285697618894,5.988388079855313
254,5.66437873000737,5.7118060468144405
255,5.802786563678911,5.884754533435831
256,5.643901890397452,5.903323699701689
257,5.625064003001061,5.988469276953676
258,5.611301721834882,5.952586057241442
259,5.0906625642619305,5.771347331744046
260,5.131342862353431,5.901221193646182
261,5.140447048781279,5.842675529329804
262,5.3212763233378055,5.65623458485101
263,5.563201705997942,5.9041763050820615
264,5.588626862173559,5.9856705578852205
265,5.704613416075284,5.775552171879612
266,6.356482558799055,5.920447766419435
267,5.330243311435058,5.850673973173187
268,5.332791310858651,5.764823029168967
269,5.358907734915379,5.939783301363768
270,5.601265841263226,5.992851487078078
271,5.490684875557119,5.97826636221013
272,5.919059250806911,5.800750480805208
273,5.407573486558546,5.847549077544839
274,5.252565604383,6.025022784514207
275,5.151418947810668,5.897562812977264
276,5.312569199742666,5.934599633730195
277,5.92799484167505,5.980738656689841
278,5.259114657440882,5.848367659907394
279,5.247675861503951,6.047188167142328
280,5.4105117811925245,5.839572016626463
281,5.729984347678284,6.09625871004975
282,5.465861358897547,6.079414267761529
283,5.1978319427519954,5.979898725999706
284,6.342025262336985,5.949411543382511
285,5.821976527448486,6.0138013666824826
286,5.854584853272815,6.079081143429941
287,6.575871336575692,6.066938968974099
288,6.068735557321997,6.125256693519107
289,5.885736362200318,6.090751214197185
290,5.92095539388699,5.72429614196516
291,4.88817554438431,5.973890960048633
292,5.037578692813024,5.892422786288697
293,5.959043702766849,5.38561084342867
294,5.920640240094302,5.826165286571937
295,5.631596190450303,6.165113597188479
296,5.797398980802512,6.113236826318169
297,6.154102967364193,6.061681674565432
298,5.982400988979331,6.062967548393406
299,5.868517437946167,5.987375978137708
300,5.895457320038185,6.066761731963386
301,6.1554419879311455,6.175836641446488
302,5.40211860599473,6.162903912402642
303,5.57495395547513,6.160341411402759
304,5.510870328111974,6.215731885928279
305,5.936409784297359,6.353147423194482
306,5.849010968989721,6.319853403937541
307,5.553275905503584,6.350662896053733
308,5.442648244245939,6.3113096584865644
309,5.941249873353606,6.225920196561615
310,5.650967234310548,6.255021291874088
311,6.212270220396265,6.2447794228267295
312,5.867260762544115,6.245639679415917
313,5.374923320654489,6.307173209230802
314,6.195302718757702,6.309145384608946
315,6.140010842547074,6.2574839194363605
316,5.768286276753771,6.197004622555717
317,5.577029365950262,6.316242753446781
318,5.470064822398872,6.25989925631057
319,5.419833382221172,6.377986703917959
320,6.286984207641736,6.1361606743652
321,5.499430954567028,6.118758169958509
322,5.484075547867652,6.18688782749835
323,5.46296045455649,6.179354874836526
324,5.813896287260522,6.137739923077963
325,5.49223160938202,5.938999891398036
326,5.970245694519477,6.074462112208016
327,5.417823577167206,6.279558815908401
328,5.736579391952451,6.140721326599
329,5.763064633093326,6.13149139659712
330,5.619881299545339,6.221044810427059
331,5.808737552080219,5.962670835892598
