wire_number,A,B
8,5.0,5.684827559277467
9,4.9,5.683243947309578
10,5.1,5.733121008553738
11,5.1,5.167915735276373
12,5.0,5.519391583225018
13,4.9,5.754132739056433
14,5.038778626813206,5.632344461172805
15,5.0896619421684,5.772106416798365
16,5.280425070516007,5.345744616347574
17,5.045834527484104,5.316869750924154
18,4.965484438380889,5.352070623792201
19,4.754111121423528,5.44189986500544
20,5.213200271056567,5.527543252293817
21,4.8922729377671885,5.529714258889823
22,5.202381820349931,5.4568457179680285
23,5.08939076700907,5.549783590150732
24,5.904806177608488,5.4570365832717584
25,5.169588785138908,5.29241396639243
26,5.970846425625157,5.300465682037234
27,5.320389685788852,5.298199398087675
28,5.459212354198903,5.404954288230481
29,6.030313566629141,5.340422899854534
30,5.371717123641829,5.4633103931072124
31,5.59251455526452,4.397166810773032
32,5.613522713635822,5.156117909587125
33,6.084799175479231,4.801508825480129
34,6.0728806826454615,4.888496827413399
35,5.657661300189797,4.921413215256576
36,6.011076018061263,5.157152457402941
37,6.249563421341907,4.615451943276848
38,6.084386830296188,4.748118192046444
39,5.636113745977565,4.775637382109787
40,6.266398513687685,4.691401748286071
41,6.141424303419989,5.117985008226544
42,6.067797694075298,4.8500932108275725
43,5.814398207426509,5.370772206308917
44,5.827384135243486,4.996296065046183
45,6.1967252173146,5.24405082019036
46,6.077187840611471,5.175155909316488
47,5.719691731853104,5.0767100683329165
48,5.744843501157908,5.252822791738094
49,5.788466218124805,5.354690233268961
50,5.843730681147739,5.239916451162697
51,5.766439165253908,5.335691512440846
52,5.820074298263164,5.202477947317815
53,5.705248474747252,5.447336017161218
54,5.787397889718481,5.471574296627537
55,5.629519432225899,5.669800955314697
56,5.670862017588661,5.557308729333985
57,5.625071838694337,5.569821460573792
58,5.618352545530994,5.514046277141564
59,5.7127031197692535,5.688518362468165
60,5.653741607424809,5.6724378610754815
61,5.718283543596238,5.630954986526031
62,5.766557241936076,5.605427589942946
63,5.723651347512524,5.53451366755908
64,5.86332499923456,5.664818566227051
65,5.792384277351541,5.39706537732322
66,5.584210099813902,5.508740122298797
67,5.8648067871266045,5.629209682945158
68,5.798764731721263,5.497141083136391
69,5.8513754273495175,5.661386643931151
70,6.07651279520814,5.881433293666696
71,5.773334646422495,5.518960718902622
72,5.778856995489884,5.791307973670158
73,5.742927411116246,5.768761960041092
74,5.679299863723835,5.462250793273449
75,5.774201222568724,5.445756257586398
76,5.59243379671251,5.637252301334959
77,5.628696083572781,5.712054660872987
78,5.681096298009888,5.6828865120944885
79,5.629484122149927,5.499973362868726
80,5.676959234629817,5.9107501244296445
81,5.662461588882273,5.819033257694096
82,5.816460566942864,5.628164746273892
83,5.609630650170463,5.948686229992056
84,5.704357026228529,5.588208573182585
85,5.670781020959884,5.619188620905076
86,5.452821897355637,5.812799285486223
87,5.75472912637642,5.74694473397798
88,5.577700109891774,5.90202527729897
89,5.691991611565929,5.696672296029619
90,5.63154484065474,5.740216878623361
91,5.615752531709657,5.4790295358419705
92,5.684944357363296,5.743605478843791
93,4.296775764203728,5.621370221591831
94,5.461501263888937,5.597499643454031
95,5.553816047735293,5.490129426518697
96,5.523349908447672,5.804764525785503
97,5.389487902558376,5.629335200207234
98,5.220390825366716,5.712230105813427
99,5.418185770442145,5.729432146243435
100,5.385903926528007,5.675715186469792
101,5.489865991067072,5.567111786899979
102,5.519368765953631,5.708125102103901
103,5.584142518228809,5.474089690300922
104,5.537169854392241,5.503475296206177
105,5.554963279023251,5.937701326421984
106,5.63469164326644,5.613369287831933
107,5.491105092804995,5.896616740632385
108,5.565219856592305,5.638439934653077
109,5.75211507271626,5.743764901349365
110,5.652563055368683,5.870250066360836
111,5.646458985648818,5.629154625660576
112,5.643101484354654,5.450686662647432
113,5.836796180507656,5.507721563128711
