side,wire_number,x,y,time
B,8,1050.0,209.4,2024-11-21_10-02-56
B,9,1058.0,209.4,2024-11-21_10-02-57
B,10,1066.0,209.4,2024-11-21_10-02-59
B,11,1074.0,209.4,2024-11-21_10-03-02
B,12,1082.0,209.4,2024-11-21_10-03-03
B,13,1090.0,209.4,2024-11-21_10-03-04
B,14,1098.0,209.4,2024-11-21_10-03-05
B,15,1106.0,209.4,2024-11-21_10-03-08
B,16,1114.0,209.4,2024-11-21_10-03-10
B,17,1122.0,209.4,2024-11-21_10-03-12
B,18,1130.0,209.4,2024-11-21_10-03-14
B,19,1138.0,209.4,2024-11-21_10-03-15
B,20,1146.0,209.4,2024-11-21_10-03-17
B,21,1154.0,209.4,2024-11-21_10-03-18
B,22,1162.0,209.4,2024-11-21_10-03-19
B,23,1170.0,209.4,2024-11-21_10-03-21
B,24,1178.0,208.9,2024-11-21_10-05-02
B,25,1186.0,208.9,2024-11-21_10-05-03
B,26,1194.0,208.9,2024-11-21_10-05-04
B,27,1202.0,208.9,2024-11-21_10-05-06
B,28,1210.0,208.9,2024-11-21_10-05-06
B,29,1218.0,208.9,2024-11-21_10-05-08
B,30,1133.0,275.8,2024-11-21_10-05-11
B,31,1141.0,275.8,2024-11-21_10-05-13
B,32,1149.0,275.8,2024-11-21_10-05-20
B,33,1157.0,275.8,2024-11-21_10-05-22
B,34,1165.0,275.8,2024-11-21_10-05-24
B,35,1173.0,275.8,2024-11-21_10-05-26
B,36,1181.0,275.8,2024-11-21_10-05-28
B,37,1189.0,275.8,2024-11-21_10-05-29
B,38,1197.0,275.8,2024-11-21_10-05-30
B,39,1205.0,275.8,2024-11-21_10-05-31
B,40,1213.0,275.8,2024-11-21_10-05-32
B,41,1221.0,275.8,2024-11-21_10-05-34
B,42,1229.0,275.8,2024-11-21_10-05-35
B,43,1237.0,275.8,2024-11-21_10-05-36
B,44,1245.0,275.8,2024-11-21_10-05-37
B,45,1253.0,275.8,2024-11-21_10-05-38
B,46,1261.0,275.8,2024-11-21_10-05-39
B,47,1269.0,275.8,2024-11-21_10-05-41
B,48,1277.0,275.8,2024-11-21_10-05-42
B,49,1285.0,275.8,2024-11-21_10-05-43
B,50,1293.0,275.8,2024-11-21_10-05-44
B,51,1301.0,275.8,2024-11-21_10-05-46
B,52,1309.0,275.8,2024-11-21_10-05-46
B,53,1317.0,275.8,2024-11-21_10-05-48
B,54,1325.0,275.8,2024-11-21_10-05-49
B,55,1333.0,275.8,2024-11-21_10-05-50
B,56,1341.0,275.8,2024-11-21_10-05-51
B,57,1349.0,275.8,2024-11-21_10-05-53
B,58,1357.0,275.8,2024-11-21_10-05-54
B,59,1365.0,275.8,2024-11-21_10-05-55
B,60,1373.0,275.8,2024-11-21_10-05-57
B,61,1381.0,275.8,2024-11-21_10-05-57
B,62,1389.0,275.8,2024-11-21_10-05-59
B,63,1397.0,275.8,2024-11-21_10-06-00
B,64,1405.0,275.8,2024-11-21_10-06-01
B,65,1413.0,275.8,2024-11-21_10-06-02
B,66,1421.0,275.8,2024-11-21_10-06-03
B,67,1429.0,275.8,2024-11-21_10-06-05
B,68,1437.0,275.8,2024-11-21_10-06-06
B,69,1445.0,275.8,2024-11-21_10-06-07
B,70,1453.0,275.8,2024-11-21_10-06-08
B,71,1461.0,275.8,2024-11-21_10-06-09
B,72,1469.0,275.8,2024-11-21_10-06-10
B,73,1477.0,275.8,2024-11-21_10-06-11
B,74,1485.0,275.8,2024-11-21_10-06-12
B,75,1493.0,275.8,2024-11-21_10-06-13
B,76,1501.0,275.8,2024-11-21_10-06-14
B,77,1509.0,275.8,2024-11-21_10-06-15
B,78,1517.0,275.8,2024-11-21_10-06-16
B,79,1525.0,275.8,2024-11-21_10-06-17
B,80,1533.0,275.8,2024-11-21_10-06-18
B,81,1541.0,275.8,2024-11-21_10-06-19
B,82,1549.0,275.8,2024-11-21_10-06-20
B,83,1557.0,275.8,2024-11-21_10-06-22
B,84,1565.0,275.8,2024-11-21_10-06-23
B,85,1573.0,275.8,2024-11-21_10-06-24
B,86,1581.0,275.8,2024-11-21_10-06-25
B,87,1589.0,275.8,2024-11-21_10-06-27
B,88,1597.0,275.8,2024-11-21_10-06-28
B,89,1605.0,275.8,2024-11-21_10-06-29
B,90,1613.0,275.8,2024-11-21_10-06-30
B,91,1621.0,275.8,2024-11-21_10-06-31
B,92,1629.0,275.8,2024-11-21_10-06-33
B,93,1637.0,275.8,2024-11-21_10-06-34
B,94,1645.0,275.8,2024-11-21_10-06-35
B,95,1653.0,275.8,2024-11-21_10-06-36
B,96,1661.0,275.8,2024-11-21_10-06-37
B,97,1669.0,275.8,2024-11-21_10-06-39
B,98,1677.0,275.8,2024-11-21_10-06-40
B,99,1685.0,275.8,2024-11-21_10-06-41
B,100,1693.0,275.8,2024-11-21_10-06-42
B,101,1701.0,275.8,2024-11-21_10-06-44
B,102,1709.0,275.8,2024-11-21_10-06-45
B,103,1717.0,275.8,2024-11-21_10-06-46
B,104,1725.0,275.8,2024-11-21_10-06-47
B,105,1733.0,275.8,2024-11-21_10-06-49
B,106,1741.0,275.8,2024-11-21_10-06-50
B,107,1749.0,275.8,2024-11-21_10-06-51
B,108,1757.0,275.8,2024-11-21_10-06-52
B,109,1765.0,275.8,2024-11-21_10-06-54
B,110,1773.0,275.8,2024-11-21_10-06-55
B,111,1781.0,275.8,2024-11-21_10-06-57
B,112,1789.0,275.8,2024-11-21_10-06-58
B,113,1797.0,275.8,2024-11-21_10-07-00
B,114,1805.0,275.8,2024-11-21_10-07-00
B,115,1813.0,275.8,2024-11-21_10-07-02
B,116,1821.0,275.8,2024-11-21_10-07-04
B,117,1829.0,275.8,2024-11-21_10-07-06
B,118,1837.0,275.8,2024-11-21_10-07-08
B,119,1845.0,275.8,2024-11-21_10-07-09
B,120,1853.0,275.8,2024-11-21_10-07-11
B,121,1861.0,275.8,2024-11-21_10-07-13
B,122,1869.0,275.8,2024-11-21_10-07-15
B,123,1877.0,275.8,2024-11-21_10-07-17
B,124,1885.0,275.8,2024-11-21_10-07-20
B,125,1893.0,275.8,2024-11-21_10-07-21
B,126,1901.0,275.8,2024-11-21_10-07-23
B,127,1909.0,275.8,2024-11-21_10-07-25
B,128,1917.0,275.8,2024-11-21_10-07-26
B,129,1925.0,275.8,2024-11-21_10-07-27
B,130,1933.0,275.8,2024-11-21_10-07-29
B,131,1941.0,275.8,2024-11-21_10-07-30
B,132,1949.0,275.8,2024-11-21_10-07-32
B,133,1957.0,275.8,2024-11-21_10-07-33
B,134,1965.0,275.8,2024-11-21_10-07-34
