side,wire_number,x,y,time
B,201,1040.0,208.9,2024-11-08_13-03-55
B,202,1048.0,208.9,2024-11-08_13-03-57
B,203,1056.0,208.9,2024-11-08_13-03-59
B,204,1064.0,208.9,2024-11-08_13-04-01
B,205,1072.0,208.9,2024-11-08_13-04-03
B,206,1080.0,208.9,2024-11-08_13-04-07
B,207,1088.0,208.9,2024-11-08_13-04-10
B,208,1096.0,208.9,2024-11-08_13-04-14
B,209,1104.0,208.9,2024-11-08_13-04-17
B,210,1112.0,208.9,2024-11-08_13-04-21
B,211,1120.0,208.9,2024-11-08_13-04-24
B,212,1128.0,208.9,2024-11-08_13-04-27
B,213,1136.0,208.9,2024-11-08_13-04-28
B,214,1144.0,208.9,2024-11-08_13-04-29
B,215,1152.0,208.9,2024-11-08_13-04-32
B,216,1160.0,208.9,2024-11-08_13-04-33
B,217,1168.0,208.9,2024-11-08_13-04-37
B,218,1176.0,208.9,2024-11-08_13-04-39
B,219,1184.0,208.9,2024-11-08_13-04-42
B,220,1192.0,208.9,2024-11-08_13-04-44
B,221,1200.0,208.9,2024-11-08_13-04-46
B,222,1208.0,208.9,2024-11-08_13-04-49
B,223,1216.0,208.9,2024-11-08_13-04-51
B,224,1224.0,208.9,2024-11-08_13-04-56
B,225,1232.0,208.9,2024-11-08_13-04-57
B,226,1240.0,208.9,2024-11-08_13-05-01
B,227,1248.0,208.9,2024-11-08_13-05-07
B,228,1256.0,208.9,2024-11-08_13-05-30
B,229,1264.0,208.9,2024-11-08_13-05-40
B,231,1280.0,208.9,2024-11-08_13-06-22
B,200,1200.0,329.6,2024-11-08_13-13-54
B,201,1200.0,323.9,2024-11-08_13-13-57
B,202,1200.0,318.1,2024-11-08_13-13-59
B,203,1200.0,312.4,2024-11-08_13-14-03
B,204,1200.0,306.6,2024-11-08_13-14-07
B,205,1200.0,300.9,2024-11-08_13-14-09
B,206,1200.0,295.1,2024-11-08_13-14-11
B,207,1200.0,289.4,2024-11-08_13-14-13
B,208,1200.0,283.6,2024-11-08_13-14-16
B,209,1200.0,277.9,2024-11-08_13-14-17
B,210,1200.0,272.1,2024-11-08_13-14-20
B,211,1200.0,266.4,2024-11-08_13-14-22
B,212,1200.0,260.6,2024-11-08_13-14-25
B,213,1200.0,254.9,2024-11-08_13-14-26
B,214,1200.0,249.1,2024-11-08_13-14-29
B,215,1200.0,243.4,2024-11-08_13-14-30
B,216,1200.0,237.6,2024-11-08_13-14-32
B,217,1200.0,231.9,2024-11-08_13-14-34
B,218,1200.0,226.1,2024-11-08_13-14-38
B,219,1200.0,220.4,2024-11-08_13-14-40
B,220,1208.0,220.4,2024-11-08_13-14-43
B,221,1216.0,220.4,2024-11-08_13-14-44
B,222,1224.0,220.4,2024-11-08_13-14-46
B,223,1232.0,220.4,2024-11-08_13-14-48
B,224,1240.0,220.4,2024-11-08_13-14-49
B,225,1248.0,220.4,2024-11-08_13-14-51
B,226,1256.0,220.4,2024-11-08_13-14-53
B,227,1264.0,220.4,2024-11-08_13-14-57
B,228,1272.0,220.4,2024-11-08_13-15-02
B,229,1280.0,220.4,2024-11-08_13-15-07
B,230,1288.0,220.4,2024-11-08_13-15-29
B,231,1296.0,220.4,2024-11-08_13-15-56
B,400,1200.0,329.6,2024-11-08_13-17-40
B,401,1200.0,323.8,2024-11-08_13-17-42
B,402,1200.0,318.1,2024-11-08_13-17-44
B,403,1200.0,312.3,2024-11-08_13-17-47
B,404,1200.0,306.6,2024-11-08_13-17-48
B,405,1200.0,300.8,2024-11-08_13-17-50
B,406,1200.0,295.1,2024-11-08_13-17-51
B,407,1200.0,289.3,2024-11-08_13-17-53
B,408,1200.0,283.6,2024-11-08_13-17-55
B,409,1200.0,277.8,2024-11-08_13-17-56
B,410,1200.0,272.1,2024-11-08_13-17-58
B,411,1200.0,266.3,2024-11-08_13-17-59
B,412,1200.0,260.6,2024-11-08_13-18-01
B,413,1200.0,254.8,2024-11-08_13-18-02
B,414,1200.0,249.1,2024-11-08_13-18-03
B,415,1200.0,243.3,2024-11-08_13-18-05
B,416,1200.0,237.6,2024-11-08_13-18-07
B,417,1200.0,231.8,2024-11-08_13-18-08
B,418,1200.0,226.1,2024-11-08_13-18-10
B,419,1200.0,220.3,2024-11-08_13-18-13
B,420,1208.0,220.3,2024-11-08_13-18-16
B,421,1216.0,220.3,2024-11-08_13-18-19
B,422,1224.0,220.3,2024-11-08_13-18-21
B,423,1232.0,220.3,2024-11-08_13-18-24
B,424,1240.0,220.3,2024-11-08_13-18-27
B,425,1248.0,220.3,2024-11-08_13-18-29
B,426,1256.0,220.3,2024-11-08_13-18-32
B,427,1264.0,220.3,2024-11-08_13-18-35
B,428,1272.0,220.3,2024-11-08_13-18-36
B,429,1280.0,220.3,2024-11-08_13-18-39
B,430,1288.0,220.3,2024-11-08_13-18-43
B,431,1296.0,220.3,2024-11-08_13-18-44
B,432,1304.0,220.3,2024-11-08_13-18-48
B,433,1312.0,220.3,2024-11-08_13-18-51
B,434,1320.0,220.3,2024-11-08_13-18-55
B,435,1328.0,220.3,2024-11-08_13-18-58
B,436,1336.0,220.3,2024-11-08_13-19-02
B,437,1344.0,220.3,2024-11-08_13-19-06
B,438,1352.0,220.3,2024-11-08_13-19-08
B,439,1360.0,220.3,2024-11-08_13-19-10
B,440,1368.0,220.3,2024-11-08_13-19-15
B,441,1376.0,220.3,2024-11-08_13-19-18
B,442,1384.0,220.3,2024-11-08_13-19-22
B,443,1392.0,220.3,2024-11-08_13-19-29
B,444,1400.0,220.3,2024-11-08_13-19-34
B,445,1408.0,220.3,2024-11-08_13-19-39
B,446,1416.0,220.3,2024-11-08_13-19-42
B,447,1424.0,220.3,2024-11-08_13-19-46
B,448,1432.0,220.3,2024-11-08_13-19-49
B,449,1440.0,220.3,2024-11-08_13-19-53
B,450,1448.0,220.3,2024-11-08_13-19-55
B,451,1456.0,220.3,2024-11-08_13-20-00
B,452,1464.0,220.3,2024-11-08_13-20-06
B,453,1472.0,220.3,2024-11-08_13-20-10
B,454,1480.0,220.3,2024-11-08_13-20-14
B,455,1488.0,220.3,2024-11-08_13-20-18
B,456,1496.0,220.3,2024-11-08_13-20-23
B,457,1504.0,220.3,2024-11-08_13-20-30
B,458,1512.0,220.3,2024-11-08_13-20-32
B,459,1520.0,220.3,2024-11-08_13-20-36
B,460,1528.0,220.3,2024-11-08_13-20-38
B,461,1536.0,220.3,2024-11-08_13-20-43
