layer,side,wire_number,tension,tension_pass,frequency,zone,confidence,t_sigma,x,y,Gcode,ttf,time
G,B,20,6,True,90,5,100,0,6300.0,300,X6300.0 Y103.5,0,2025-05-23_14-31-13
G,B,1,6,True,90,5,100,0,6300.0,208.95833333333331,X6300.0 Y209.0,0,2025-05-23_14-35-09
G,B,2,6,True,90,5,100,0,6300.0,213.74999999999994,X6300.0 Y213.7,0,2025-05-23_14-35-10
G,B,3,6,True,90,5,100,0,6300.0,218.54166666666663,X6300.0 Y218.5,0,2025-05-23_14-35-10
G,B,4,6,True,90,5,100,0,6300.0,223.3333333333333,X6300.0 Y223.3,0,2025-05-23_14-35-11
G,B,5,6,True,90,5,100,0,6300.0,228.12499999999994,X6300.0 Y228.1,0,2025-05-23_14-35-11
G,B,6,6,True,90,5,100,0,6300.0,232.91666666666663,X6300.0 Y232.9,0,2025-05-23_14-35-12
G,B,7,6,True,90,5,100,0,6300.0,237.7083333333333,X6300.0 Y237.7,0,2025-05-23_14-35-13
G,B,8,6,True,90,5,100,0,6300.0,242.49999999999994,X6300.0 Y242.5,0,2025-05-23_14-35-14
G,B,9,6,True,90,5,100,0,6300.0,247.29166666666663,X6300.0 Y247.3,0,2025-05-23_14-35-15
G,B,10,6,True,90,5,100,0,6300.0,252.0833333333333,X6300.0 Y252.1,0,2025-05-23_14-35-15
G,B,11,6,True,90,5,100,0,6300.0,256.87499999999994,X6300.0 Y256.9,0,2025-05-23_14-35-16
G,B,12,6,True,90,5,100,0,6300.0,261.66666666666663,X6300.0 Y261.7,0,2025-05-23_14-35-17
G,B,13,6,True,90,5,100,0,6300.0,266.4583333333333,X6300.0 Y266.5,0,2025-05-23_14-35-17
G,B,14,6,True,90,5,100,0,6300.0,271.25,X6300.0 Y271.2,0,2025-05-23_14-35-18
G,B,15,6,True,90,5,100,0,6300.0,276.0416666666667,X6300.0 Y276.0,0,2025-05-23_14-35-19
G,B,16,6,True,90,5,100,0,6300.0,280.83333333333337,X6300.0 Y280.8,0,2025-05-23_14-35-20
G,B,17,6,True,90,5,100,0,6300.0,285.625,X6300.0 Y285.6,0,2025-05-23_14-35-20
G,B,18,6,True,90,5,100,0,6300.0,290.4166666666667,X6300.0 Y290.4,0,2025-05-23_14-35-21
G,B,19,6,True,90,5,100,0,6300.0,295.20833333333337,X6300.0 Y295.2,0,2025-05-23_14-35-22
G,B,21,6,True,90,5,100,0,6300.0,304.7916666666667,X6300.0 Y304.8,0,2025-05-23_14-35-23
G,B,22,6,True,90,5,100,0,6300.0,309.58333333333337,X6300.0 Y309.6,0,2025-05-23_14-35-23
G,B,23,6,True,90,5,100,0,6300.0,314.37500000000006,X6300.0 Y314.4,0,2025-05-23_14-35-24
G,B,24,6,True,90,5,100,0,6300.0,319.16666666666674,X6300.0 Y319.2,0,2025-05-23_14-35-25
G,B,25,6,True,90,5,100,0,6300.0,323.9583333333334,X6300.0 Y324.0,0,2025-05-23_14-35-26
G,B,26,6,True,90,5,100,0,6300.0,328.7500000000001,X6300.0 Y328.8,0,2025-05-23_14-35-27
G,B,27,6,True,90,5,100,0,6300.0,333.5416666666668,X6300.0 Y333.5,0,2025-05-23_14-35-28
