wire_number,with_jig_1,with_jig_2,with_jig_3,with_jig_4,no_jig_1,no_jig_2,no_jig_3
49,6.046458381,6.04106526,5.962007323,6.070684887,6.018988558,5.857672056,6.052515255
50,6.158684327,6.15166386,6.139995734,6.167205578,6.178390467,6.180960326,6.175757592
51,6.225211128,6.10863475,6.166993549,6.082548411,6.237153371,6.194012862,6.212532663
52,5.963926796,5.953730413,5.957012768,5.946989672,5.941352098,5.956402235,5.878562056
53,5.983270021,5.952666538,5.972831874,5.95276372,5.97754147,5.972893416,6.007065803
54,5.885595661,5.672332924,5.744116801,5.776949882,5.783239049,5.977409843,5.866198175
55,6.026755071,6.058079167,6.031549058,6.025309141,6.051236839,5.968800948,6.092385791
56,5.826482806,5.945194513,5.929555662,5.952135654,5.8922214,5.824341619,5.948607974
57,5.772338591,5.433268914,5.477512532,5.26596619,5.854027826,5.780342278,5.773525101
58,5.822378789,5.915262976,5.95426601,5.777328167,6.013233009,5.711222515,5.607977127
59,5.780663645,5.88565563,5.88930894,5.573369712,6.017485854,5.925041443,5.917280156
60,6.076024689,6.059512449,6.08200729,6.145190106,6.115442954,6.19554056,6.108679442
61,6.050058596,6.069914206,6.014536381,6.109508284,6.001418128,6.02873565,5.999403401
62,6.284650633,6.132712097,6.274000079,6.189401292,6.192080289,6.158652251,6.280159045
63,5.836274957,5.879770556,5.865453043,5.981338044,5.775619588,5.819618366,5.813140523
64,5.978974207,6.008256813,5.979780053,5.982161483,6.02157669,6.026558117,6.000964083
65,5.943228623,5.951478028,5.965271867,6.023488548,5.951714865,6.004489414,5.959102268
66,5.758118569,5.758579969,5.7764899,5.743033445,5.756176177,5.751663176,5.718359122
67,5.879894939,5.840924501,5.802940887,5.7594092,5.688371784,5.256359879,5.764404404
68,6.058272546,6.050674312,6.075194766,5.994547577,6.130994572,6.015961947,6.045233235
69,5.846151962,5.874119334,5.81873885,5.813762793,5.844942636,5.787673788,5.878930572
70,6.026833627,6.035456262,6.036779072,6.00921623,6.015575831,5.988766199,6.02873434
71,5.96687775,5.969902152,5.976217052,5.995526415,5.983657109,5.992352122,5.960763953
72,5.921734152,5.936868027,5.852269994,5.853655673,5.8096568,5.801885605,5.883605122
73,6.124922748,6.026801827,6.043379065,6.154355354,6.166661378,6.046287352,5.939450524
74,5.945695481,5.974520648,5.941182087,5.936769605,5.966789088,5.968244865,5.954029999
75,5.974665222,5.903004062,5.979589088,5.999220729,5.821081621,5.993722853,5.95768486
76,6.121666088,6.137593163,6.05517045,6.098542646,6.150705403,6.137441888,6.110558283
77,6.198619068,6.304340848,6.230900359,6.283878432,6.249941247,6.278648487,6.325665658
78,6.122737456,6.085267231,6.146455568,6.144950752,6.065271019,6.132242999,6.088909951
79,6.106664658,6.100825402,6.125392159,6.134148084,6.122667849,6.148774988,6.098003655
80,5.955685786,5.968210301,5.850346239,5.938366518,5.875649831,5.954009764,5.883061509
81,5.842392732,5.809773917,5.807440395,5.845652316,5.807302322,5.804306197,5.80473295
82,6.184192243,6.18528797,6.180167266,6.196091981,6.192363969,6.19336135,6.18559237
83,6.23492987,6.259019273,6.228830439,6.120439468,6.217296214,6.179427188,6.075677371
84,5.953349438,5.950955285,5.966378065,5.959535533,5.977422582,5.940674138,5.968242449
85,6.006650608,6.074226051,5.959313381,6.043766882,6.022210089,5.987118159,5.970339817
86,5.99188696,5.980689849,5.981819257,5.970682899,5.989996916,5.963314261,5.981446983
87,5.999407452,6.005735778,5.985448903,5.976030018,6.044877317,6.006084416,6.029503731
88,5.955979209,5.967533644,5.925510563,5.971599092,6.020112422,5.990366984,5.99560037
89,5.88115982,5.969089312,5.868457374,5.93616349,5.959702597,5.872785892,5.959288636
90,6.191891064,6.166591011,6.170746422,6.188119489,6.164722857,6.181022972,6.197522897
91,5.814591736,5.767469257,5.838195801,5.811583802,5.803419488,5.753174801,5.744794413
92,5.927753666,5.904600712,5.903327424,5.878525305,5.895572764,5.95074063,5.922419012
93,6.161225984,6.14109746,6.11633159,6.096431953,6.109040631,6.08047523,6.067211363
94,5.99118759,5.995375375,6.011987144,6.00400941,6.016166998,6.000646801,5.997251303
95,5.948763641,5.991263959,5.956481492,5.941895707,5.948587229,5.953026809,6.00610104
96,5.909848213,5.936915873,5.844305951,5.917742254,5.910470897,6.002625619,5.891355903
97,6.166525605,6.170106603,6.130157659,6.201290775,6.1338512,6.185241121,6.138252453
98,5.934573397,5.958353817,5.944733295,5.891591182,5.908594156,5.899591984,5.906940262
99,5.801632803,5.841706767,5.970070957,5.928079701,5.902870136,5.892376614,5.911593231
100,5.971290052,5.994448892,5.98295266,6.011626571,6.002918296,5.987838098,5.955898812
101,6.006130722,6.111756082,6.005247253,6.03700559,6.042407255,6.05559102,6.050440203
102,6.251264609,6.317624343,6.247042596,6.421017605,6.263376551,6.315007291,6.335789714
103,5.84685809,5.817847908,5.817327082,5.833613393,5.812767796,5.836062346,5.835316803
104,5.828231627,5.80567978,5.819315483,5.840916582,5.884557971,5.840066082,5.830277655
105,5.694770773,5.715809917,5.720981805,5.711189961,5.713304868,5.688156131,5.707532245
106,5.541499022,5.535229328,5.532666805,5.420734954,5.54187647,5.546544424,5.528279539
107,5.516870354,5.54805639,5.484477956,5.535925426,5.522804472,5.540909739,5.546180577
108,5.897187137,5.949157111,6.00597944,6.011384867,5.929742904,5.934738559,5.966903801
109,5.603492675,5.628919148,5.644442039,5.655562961,5.610671178,5.611077165,5.635637326
110,6.307201036,6.09448304,6.268994161,6.259615553,6.294498609,6.285335628,6.289794445
111,5.885827149,5.85072597,5.871110644,5.817475581,5.817620847,5.882328736,5.871069859
112,5.801229103,5.786957728,5.813835372,5.816040857,5.765749531,5.757429827,5.827139811
113,5.986987661,5.983211293,5.968055532,5.950108394,5.920983076,5.937022686,5.933198394
114,6.031673712,5.985820958,6.004541183,5.981469529,5.983309601,5.990021409,6.024969912
115,6.147020503,6.148148052,6.030926616,6.128690998,6.20598179,6.130091319,6.074641947
116,6.09345581,6.171408843,6.11567248,5.991284256,6.036851965,6.121039744,6.17319
117,6.011036116,6.023359074,6.064677312,6.048657412,6.025849119,6.028164583,6.013951218
118,5.907713235,5.894912429,5.910440205,5.847263392,5.937755149,5.858935266,5.848521808
119,6.003676713,5.954486414,5.968136478,5.972299126,6.038255684,6.018891803,6.030552464
120,6.503341976,6.487611643,6.485672212,6.537973139,6.594503415,6.561149936,6.573153924
121,6.063057601,6.026339911,6.050270564,6.089531587,6.087712242,6.107706534,6.01004051
122,6.081564979,6.095306482,6.090703498,6.090781025,6.047374322,6.030536257,6.069594969
123,6.473718496,6.156669487,6.384777417,6.441990059,6.39144752,6.39662848,6.286965786
124,6.028801069,6.043590621,6.062067327,6.084408919,6.049009081,6.018966424,6.028034725
125,6.045221173,6.017344674,6.101467062,5.936880698,6.009413154,5.992247634,6.073728659
126,5.802380785,5.829496906,5.829482845,5.842861832,5.812511812,5.844128296,5.840695982
127,5.888138591,5.870599484,5.874952378,5.903547988,5.856389086,5.901433996,5.926652088
128,6.161780727,6.076126122,6.032004037,6.038371842,6.060211506,6.036763524,6.022961089
129,6.50018469,6.443197628,6.428904528,6.411421033,6.506458639,6.43741895,6.465369596
130,5.80247219,5.819379543,5.799183583,5.846569164,5.824177412,5.955920002,5.817501882
131,6.068512325,6.060291871,6.068594419,6.064162895,6.075205071,6.057676284,6.046277452
132,6.078599435,6.124514349,6.122787937,6.069528842,6.080077957,6.141188846,6.093421463
133,6.029868431,6.018402975,5.99173075,6.056005434,5.992250843,6.026685572,5.99250845
134,6.130256382,6.168489934,6.154955368,6.094938587,6.168242255,6.158251017,6.117566587
135,6.385541408,6.368031339,6.290860532,6.29488505,6.290870825,6.329434189,6.298047634
136,5.997471628,5.956327185,5.971463397,6.00629596,5.967524467,6.051383898,6.00061991
137,5.858774397,5.88769019,5.88190151,5.781165967,5.857913793,5.87969081,5.855763142
138,6.010700589,6.125044159,5.991617293,6.018457323,6.068424308,6.013541654,6.172273769
139,6.199604278,6.195390563,6.201930119,6.193943731,6.139635919,6.122672838,6.100604331
140,6.31491267,6.149082644,6.248445285,6.185914831,6.203657793,6.166779459,6.187171445
141,6.027034085,6.041178647,6.059590857,6.012637675,6.051892217,6.024992169,6.018930893
142,6.169291282,6.051436272,6.20865326,6.194225589,6.183558577,6.174765891,6.153339166
143,5.945475844,5.889497831,5.871753172,5.92023126,5.959387159,5.94188864,5.983709056
