wire,upper_jig_1,upper_jig_2,upper_jig_3,upper_jig_4,upper_no_jig_1,upper_no_jig_2,upper_no_jig_3,upper_no_jig_4
330,5.645982728,5.69513397,5.513777276,5.648863408,5.64852992,5.8,5.13,5.134562449
331,5.849178982,5.842099589,5.74407295,5.620831838,5.459426838,5.94,5.84,5.895409828
332,5.865366374,6.050151447,6.067349986,6.155922472,5.973562821,5.85,5.82,5.902001504
333,5.744078735,5.632080672,5.774103434,5.727484368,5.588021556,5.83,5.76,5.755114469
334,5.809682195,5.855707329,5.728906929,5.828898269,5.601163039,5.74,5.74,5.631716611
335,5.942804478,6.155252221,5.778968443,5.982381449,5.916393804,5.6,5.95,5.691761995
336,5.769982506,6.449928533,5.887417526,5.562821813,5.911803821,6.02,6.15,5.191977843
337,5.300690875,5.781777184,5.61011059,5.666656277,5.289372171,5.77,5.68,5.596349511
338,5.715735466,5.855766626,5.494854215,5.32087629,5.737531988,5.54,5.69,5.675032868
339,5.918840189,6.010608605,6.014121821,5.950549467,6.06857162,5.65,5.85,5.656072699
340,6.143898039,5.980694949,6.140420224,6.020360209,5.792924979,5.37,5.99,5.961013446
341,5.234644164,6.064005695,6.059066586,6.210166654,5.685224132,6.1,5.96,5.420214474
342,5.948415475,6.326768955,5.666650085,5.676082781,5.573254009,5.87,6.46,5.258995212
343,6.056569176,6.570284345,6.067599826,6.043644345,6.03882935,6.16,6,6.105806732
344,5.581043011,5.355071506,5.548957121,5.545442803,5.651688012,5.52,5.65,5.35282795
345,6.206344115,6.040481367,5.949593179,6.02873794,5.963854119,6.13,6.07,5.446230871
346,5.939760135,5.849284725,5.826516693,5.791064443,5.76997651,5.62,5.89,5.770022501
347,6.324925182,6.283872056,6.383310995,6.260232817,6.109351984,6.22,6.16,6.33448337
348,5.849547323,5.764253698,5.804540077,5.830767321,5.751389489,5.51,5.77,5.838896325
349,5.315604238,5.741294775,5.711355767,5.65958165,5.796312782,5.88,5.87,5.884484304
350,5.81316059,5.817804125,5.791257942,5.722508867,5.862344178,5.35,5.83,5.697756404
351,5.992868683,5.970276403,6.195655917,5.858331337,5.730422019,5.83,5.71,5.967027538
352,5.836098314,5.985284344,5.753821123,6.177641645,5.731108275,6.05,5.25,5.851599669
353,5.849198047,5.615366581,6.195141672,5.750826054,5.739310442,5.63,5.8,5.667564853
354,5.781854468,5.928812126,5.92935402,5.817438217,5.846802306,5.55,5.58,5.803433975
355,5.836719143,5.764868766,5.971309734,5.913053661,5.894551059,5.76,5.76,5.605286286
356,6.138466061,6.090410738,6.012366864,6.15877235,5.851428777,5.96,6,5.95159092
357,5.639578619,5.409177498,5.604400453,5.639756184,5.606116188,5.4,5.67,5.505874309
358,5.792341955,5.87129658,5.842020523,5.84144483,5.863347727,5.83,5.91,5.455068071
359,6.256610821,6.081937991,6.071746633,5.944054793,6.063851177,5.93,6.1,6.060206121
360,5.98708759,6.003452067,5.883153648,5.958341909,5.962945546,5.27,5.98,5.435587979
361,5.968857463,5.983159817,5.857310929,5.832659964,5.86053431,5.8,5.9,5.904415422
362,6.328733138,6.28521441,5.914575946,6.299741898,6.249324557,6.13,5.96,6.088774426
363,6.042289878,6.001721323,5.774291641,6.047255064,5.979350913,5.86,6,5.792023788
364,5.975292608,5.307022413,5.760337417,6.15518115,5.146359494,5.8,5.77,5.668446655
365,6.041940899,5.931884908,6.075399243,6.062918237,5.924592768,6.16,6.33,6.00334103
366,5.977975512,5.973877491,5.963739421,5.925605747,6.024441658,5.87,5.56,5.796432039
367,6.599906873,6.484287411,6.656677917,6.282773965,6.503075359,5.95,6.53,5.753446654
368,6.046478203,6.012039893,6.00443537,6.017816137,6.025102831,5.84,5.99,6.050113668
369,5.92782814,5.877767631,5.777807315,5.845615606,5.478670282,5.77,5.86,5.61989864
370,6.32125392,6.418373082,6.290505374,6.131355543,6.079885901,6.01,6.42,6.142879741
371,5.962256268,5.945212586,5.905477528,5.725319827,5.60824001,5.85,5.88,5.838426419
372,6.326907542,6.024053547,6.245234116,5.987766775,6.236186633,5.79,6.08,6.130096194
373,6.278188384,6.004355667,6.366610584,6.258544796,5.943260622,6.05,6.29,5.537673825
374,6.084770189,6.123638979,6.123477889,6.384846146,6.016661669,5.94,6.06,5.932317464
375,6.17563463,6.142707119,6.159047286,6.099193549,6.085417685,6.03,5.96,5.483737517
376,6.113111212,6.043349745,6.124790744,6.11232853,6.100290802,5.91,6.02,5.97141308
377,5.760431902,5.837586922,5.469092462,5.795834065,5.662923144,5.77,5.82,5.6524997
378,6.122038442,6.137515218,6.008550572,6.132461182,5.932444062,5.53,6.1,5.969057591
379,5.994243807,6.044195083,5.983835102,6.015827955,5.551383778,5.62,6.05,5.766902609
380,5.894122682,5.784860037,5.833345048,5.927670493,5.917442019,5.53,5.99,5.619662198
381,5.804814093,5.616030218,5.634768187,5.321790415,5.191446253,5.04,5.99,5.557089978
382,5.951165965,5.884280171,5.859597519,5.515651783,5.903030313,5.77,5.88,6.018678801
383,5.895980901,5.921422846,5.878802787,5.895532826,5.87983116,5.66,5.86,5.904709708
384,6.421202638,6.412854651,6.366263599,6.362759042,6.161201075,6.04,6.22,5.917512604
385,5.585254314,5.599873549,5.609902427,5.60638339,5.63057852,5.7,5.67,5.498789176
386,6.145422036,6.173603585,6.081327509,6.022213285,6.17647709,5.8,6.07,6.104466259
387,6.280699977,6.165087731,6.128646656,6.180672907,6.19338956,5.37,6.16,6.123312792
388,5.848223855,5.939648439,5.824752076,5.777316021,5.793331369,5.67,5.75,5.370354278
389,5.971548644,6.070440531,5.97258309,5.932887057,5.93587977,5.89,5.96,5.98317107
390,5.366157283,5.954441565,5.782787548,5.918861657,5.904810451,5.75,5.89,5.906431113
391,5.777635567,5.547118893,5.725787899,5.788650822,5.782580577,5.65,5.56,5.718395266
392,6.346928504,6.378392443,5.912325632,6.385668386,6.295631479,6.08,6.05,6.430920631
393,6.033408727,6.03063774,5.974331644,6.024601712,6.0992344,5.86,6.02,5.735592724
394,6.222856981,6.058244915,6.221568537,6.363364165,5.956020595,6.01,6.39,5.520150585
395,5.979606541,6.067322314,6.050905432,6.093046288,6.063116788,5.78,5.97,5.719086386
396,5.473245617,5.560662562,5.584596091,5.389169032,5.319926267,5.39,5.32,5.553111131
397,5.828878649,5.271211957,5.941255287,6.019488469,5.930075436,5.64,6.13,5.568902848
398,6.542751036,6.210845703,6.493459041,6.186076666,6.210653613,6.07,6.47,5.987306508
399,5.882332407,5.351520625,5.850949879,5.879687971,5.907876975,5.74,5.88,5.936245583
400,6.044632682,5.727652056,6.034898354,6.09977941,6.020382726,5.95,5.99,6.018804148
401,5.594302634,5.635015231,5.605864455,5.631561413,5.655055344,5.3,5.65,5.648060024
402,5.616646409,5.8838035,5.890895734,5.799250649,5.901881261,5.85,6.01,5.629698062
403,6.04161684,5.99442665,6.036920885,5.972323949,5.591042845,5.87,5.98,6.041642524
404,5.632917743,5.518788005,5.664793534,5.699893708,5.450190205,4.86,5.52,5.387603951
405,5.562022536,5.687722874,5.392763994,5.394833255,5.490828438,5.58,5.77,5.307815462
406,5.820257985,5.863487248,5.80162912,5.906232984,5.826617599,5.4,5.83,5.436904806
407,6.011943784,6.089872376,5.976529069,5.702659977,5.944185349,5.84,6.01,5.630860543
408,5.909052239,5.851583968,5.903130794,5.889012752,5.927403014,5.84,5.76,5.975419801
409,6.090803399,6.179720113,6.111640102,6.125174628,5.831175217,5.97,6.05,5.880293667
410,6.078184304,6.016273823,6.058519654,6.082378545,6.049670146,5.89,6.06,6.046320616
411,6.157678902,6.145259129,6.14635652,6.162449446,6.234116115,6.01,6.13,6.152715038
412,6.095417118,6.017408365,6.002997224,5.983086625,6.050460077,5.94,6,5.856897552
413,5.995384345,6.058112129,6.034310735,6.061542307,6.132116547,5.91,6.16,5.603957226
414,6.118890342,6.052070751,6.073994372,5.998456713,6.0288913,5.96,5.94,5.797821653
415,5.752376833,5.901298307,6.026488231,5.827674422,5.823720711,5.69,5.88,5.712180359
416,5.823278395,5.956444883,5.844301147,5.898997509,5.954428517,5.89,5.99,5.897379918
417,6.064923937,6.123200925,6.097707735,6.089481236,6.017221402,5.99,5.94,6.167165498
418,6.278440353,6.45991042,6.358755382,6.53756892,6.568320192,6.12,6.49,6.800632716
419,5.812296165,5.870307323,5.455855409,5.892994652,5.95637636,5.7,6,5.848532596
