a1,a2,a3,a4
5.64852992,5.8,5.13,5.134562449
5.459426838,5.94,5.84,5.895409828
5.973562821,5.85,5.82,5.902001504
5.588021556,5.83,5.76,5.755114469
5.601163039,5.74,5.74,5.631716611
5.916393804,5.6,5.95,5.691761995
5.911803821,6.02,6.15,5.191977843
5.289372171,5.77,5.68,5.596349511
5.737531988,5.54,5.69,5.675032868
6.06857162,5.65,5.85,5.656072699
5.792924979,5.37,5.99,5.961013446
5.685224132,6.1,5.96,5.420214474
5.573254009,5.87,6.46,5.258995212
6.03882935,6.16,6,6.105806732
5.651688012,5.52,5.65,5.35282795
5.963854119,6.13,6.07,5.446230871
5.76997651,5.62,5.89,5.770022501
6.109351984,6.22,6.16,6.33448337
5.751389489,5.51,5.77,5.838896325
5.796312782,5.88,5.87,5.884484304
5.862344178,5.35,5.83,5.697756404
5.730422019,5.83,5.71,5.967027538
5.731108275,6.05,5.25,5.851599669
5.739310442,5.63,5.8,5.667564853
5.846802306,5.55,5.58,5.803433975
5.894551059,5.76,5.76,5.605286286
5.851428777,5.96,6,5.95159092
5.606116188,5.4,5.67,5.505874309
5.863347727,5.83,5.91,5.455068071
6.063851177,5.93,6.1,6.060206121
5.962945546,5.27,5.98,5.435587979
5.86053431,5.8,5.9,5.904415422
6.249324557,6.13,5.96,6.088774426
5.979350913,5.86,6,5.792023788
5.146359494,5.8,5.77,5.668446655
5.924592768,6.16,6.33,6.00334103
6.024441658,5.87,5.56,5.796432039
6.503075359,5.95,6.53,5.753446654
6.025102831,5.84,5.99,6.050113668
5.478670282,5.77,5.86,5.61989864
6.079885901,6.01,6.42,6.142879741
5.60824001,5.85,5.88,5.838426419
6.236186633,5.79,6.08,6.130096194
5.943260622,6.05,6.29,5.537673825
6.016661669,5.94,6.06,5.932317464
6.085417685,6.03,5.96,5.483737517
6.100290802,5.91,6.02,5.97141308
5.662923144,5.77,5.82,5.6524997
5.932444062,5.53,6.1,5.969057591
5.551383778,5.62,6.05,5.766902609
5.917442019,5.53,5.99,5.619662198
5.191446253,5.04,5.99,5.557089978
5.903030313,5.77,5.88,6.018678801
5.87983116,5.66,5.86,5.904709708
6.161201075,6.04,6.22,5.917512604
5.63057852,5.7,5.67,5.498789176
6.17647709,5.8,6.07,6.104466259
6.19338956,5.37,6.16,6.123312792
5.793331369,5.67,5.75,5.370354278
5.93587977,5.89,5.96,5.98317107
5.904810451,5.75,5.89,5.906431113
5.782580577,5.65,5.56,5.718395266
6.295631479,6.08,6.05,6.430920631
6.0992344,5.86,6.02,5.735592724
5.956020595,6.01,6.39,5.520150585
6.063116788,5.78,5.97,5.719086386
5.319926267,5.39,5.32,5.553111131
5.930075436,5.64,6.13,5.568902848
6.210653613,6.07,6.47,5.987306508
5.907876975,5.74,5.88,5.936245583
6.020382726,5.95,5.99,6.018804148
5.655055344,5.3,5.65,5.648060024
5.901881261,5.85,6.01,5.629698062
5.591042845,5.87,5.98,6.041642524
5.450190205,4.86,5.52,5.387603951
5.490828438,5.58,5.77,5.307815462
5.826617599,5.4,5.83,5.436904806
5.944185349,5.84,6.01,5.630860543
5.927403014,5.84,5.76,5.975419801
5.831175217,5.97,6.05,5.880293667
6.049670146,5.89,6.06,6.046320616
6.234116115,6.01,6.13,6.152715038
6.050460077,5.94,6,5.856897552
6.132116547,5.91,6.16,5.603957226
6.0288913,5.96,5.94,5.797821653
5.823720711,5.69,5.88,5.712180359
5.954428517,5.89,5.99,5.897379918
6.017221402,5.99,5.94,6.167165498
6.568320192,6.12,6.49,6.800632716
5.95637636,5.7,6,5.848532596
