a1,a2,a3,a4
6.018988558,5.857672056,6.052515255,5.93
6.178390467,6.180960326,6.175757592,6.14
6.237153371,6.194012862,6.212532663,6.01
5.941352098,5.956402235,5.878562056,6.03
5.97754147,5.972893416,6.007065803,5.99
5.783239049,5.977409843,5.866198175,5.89
6.051236839,5.968800948,6.092385791,6.03
5.8922214,5.824341619,5.948607974,5.91
5.854027826,5.780342278,5.773525101,5.82
6.013233009,5.711222515,5.607977127,5.52
6.017485854,5.925041443,5.917280156,5.81
6.115442954,6.19554056,6.108679442,6.04
6.001418128,6.02873565,5.999403401,6.05
6.192080289,6.158652251,6.280159045,6.13
5.775619588,5.819618366,5.813140523,5.22
6.02157669,6.026558117,6.000964083,5.96
5.951714865,6.004489414,5.959102268,5.58
5.756176177,5.751663176,5.718359122,5.63
5.688371784,5.256359879,5.764404404,5.06
6.130994572,6.015961947,6.045233235,5.93
5.844942636,5.787673788,5.878930572,5.87
6.015575831,5.988766199,6.02873434,6
5.983657109,5.992352122,5.960763953,5.9
5.8096568,5.801885605,5.883605122,5.78
6.166661378,6.046287352,5.939450524,6.07
5.966789088,5.968244865,5.954029999,5.88
5.821081621,5.993722853,5.95768486,5.87
6.150705403,6.137441888,6.110558283,6.09
6.249941247,6.278648487,6.325665658,6.25
6.065271019,6.132242999,6.088909951,6.14
6.122667849,6.148774988,6.098003655,6.16
5.875649831,5.954009764,5.883061509,5.52
5.807302322,5.804306197,5.80473295,5.78
6.192363969,6.19336135,6.18559237,6
6.217296214,6.179427188,6.075677371,6.02
5.977422582,5.940674138,5.968242449,5.88
6.022210089,5.987118159,5.970339817,5.88
5.989996916,5.963314261,5.981446983,5.98
6.044877317,6.006084416,6.029503731,5.95
6.020112422,5.990366984,5.99560037,5.96
5.959702597,5.872785892,5.959288636,5.93
6.164722857,6.181022972,6.197522897,6.14
5.803419488,5.753174801,5.744794413,5.79
5.895572764,5.95074063,5.922419012,5.85
6.109040631,6.08047523,6.067211363,6.03
6.016166998,6.000646801,5.997251303,5.94
5.948587229,5.953026809,6.00610104,5.94
5.910470897,6.002625619,5.891355903,5.85
6.1338512,6.185241121,6.138252453,6.09
5.908594156,5.899591984,5.906940262,5.85
5.902870136,5.892376614,5.911593231,5.87
6.002918296,5.987838098,5.955898812,6.05
6.042407255,6.05559102,6.050440203,5.96
6.263376551,6.315007291,6.335789714,6.06
5.812767796,5.836062346,5.835316803,5.8
5.884557971,5.840066082,5.830277655,5.83
5.713304868,5.688156131,5.707532245,5.58
5.54187647,5.546544424,5.528279539,5.2
5.522804472,5.540909739,5.546180577,5.45
5.929742904,5.934738559,5.966903801,5.8
5.610671178,5.611077165,5.635637326,5.31
6.294498609,6.285335628,6.289794445,5.98
5.817620847,5.882328736,5.871069859,5.46
5.765749531,5.757429827,5.827139811,5.63
5.920983076,5.937022686,5.933198394,5.93
5.983309601,5.990021409,6.024969912,5.93
6.20598179,6.130091319,6.074641947,5.94
6.036851965,6.121039744,6.17319,5.94
6.025849119,6.028164583,6.013951218,6.04
5.937755149,5.858935266,5.848521808,5.68
6.038255684,6.018891803,6.030552464,5.94
6.594503415,6.561149936,6.573153924,6.37
6.087712242,6.107706534,6.01004051,6.06
6.047374322,6.030536257,6.069594969,5.84
6.39144752,6.39662848,6.286965786,6.07
6.049009081,6.018966424,6.028034725,5.85
6.009413154,5.992247634,6.073728659,5.88
5.812511812,5.844128296,5.840695982,5.74
5.856389086,5.901433996,5.926652088,5.76
6.060211506,6.036763524,6.022961089,5.92
6.506458639,6.43741895,6.465369596,5.96
5.824177412,5.955920002,5.817501882,5.84
6.075205071,6.057676284,6.046277452,5.94
6.080077957,6.141188846,6.093421463,6.05
5.992250843,6.026685572,5.99250845,5.97
6.168242255,6.158251017,6.117566587,6.08
6.290870825,6.329434189,6.298047634,6.43
5.967524467,6.051383898,6.00061991,5.54
5.857913793,5.87969081,5.855763142,5.83
6.068424308,6.013541654,6.172273769,5.82
6.139635919,6.122672838,6.100604331,5.78
6.203657793,6.166779459,6.187171445,5.97
6.051892217,6.024992169,6.018930893,5.94
6.183558577,6.174765891,6.153339166,6.02
5.959387159,5.94188864,5.983709056,5.74
