layer,side,wire_number,tension,tension_pass,zone,frequency,confidence,x,y,Gcode,time
X,A,49,6.018988558138414,True,5,78.15946276850433,0.7968642,6300.0,419.3,X6300.0 Y419.3,2025-01-09_13-31-04
X,A,50,6.178390466759354,True,5,79.1876550477534,0.7853268,6300.0,424.1,X6300.0 Y424.1,2025-01-09_13-31-08
X,A,51,6.237153370711719,True,5,79.56334224974134,0.7690127,6300.0,428.9,X6300.0 Y428.9,2025-01-09_13-31-11
X,A,52,5.941352097638033,True,5,77.65375334208538,0.8171947,6300.0,433.7,X6300.0 Y433.7,2025-01-09_13-31-14
X,A,53,5.977541469952222,True,5,77.88989270601924,0.81954813,6300.0,438.5,X6300.0 Y438.5,2025-01-09_13-31-18
X,A,54,5.783239048780123,True,5,76.61351336066626,0.740844,6300.0,443.3,X6300.0 Y443.3,2025-01-09_13-31-31
X,A,55,6.0512368392973155,True,5,78.36856279021637,0.8116474,6300.0,448.0,X6300.0 Y448.0,2025-01-09_13-31-34
X,A,56,5.892221399506106,True,5,77.33201655262215,0.8191355,6300.0,452.8,X6300.0 Y452.8,2025-01-09_13-31-40
X,A,57,5.854027826132633,True,5,77.08097473546061,0.7992633,6300.0,457.6,X6300.0 Y457.6,2025-01-09_13-31-53
X,A,58,6.013233008926361,True,5,78.12208454275749,0.7999517,6300.0,462.4,X6300.0 Y462.4,2025-01-09_13-31-55
X,A,59,6.017485853713762,True,5,78.14970548943602,0.8401983,6300.0,467.2,X6300.0 Y467.2,2025-01-09_13-32-01
X,A,60,6.115442953842732,True,5,78.78322711301261,0.7656994,6300.0,472.0,X6300.0 Y472.0,2025-01-09_13-32-04
X,A,61,6.0014181282603944,True,5,78.04529914852408,0.80201787,6300.0,476.8,X6300.0 Y476.8,2025-01-09_13-32-08
X,A,62,6.192080288747194,True,5,79.27533686916762,0.76650465,6300.0,481.6,X6300.0 Y481.6,2025-01-09_13-32-10
X,A,63,5.775619587964604,True,5,76.56302728705,0.7946,6300.0,486.4,X6300.0 Y486.4,2025-01-09_13-32-13
X,A,64,6.0215766903804235,True,5,78.17626503376454,0.7757686,6300.0,491.2,X6300.0 Y491.2,2025-01-09_13-32-16
X,A,65,5.951714865144467,True,5,77.72144476957594,0.8300866,6300.0,496.0,X6300.0 Y496.0,2025-01-09_13-32-19
X,A,66,5.756176177435117,True,5,76.43404533716266,0.8068752,6300.0,500.8,X6300.0 Y500.8,2025-01-09_13-32-21
X,A,67,5.6883717839905374,True,5,75.98253756774702,0.772386,6300.0,505.6,X6300.0 Y505.6,2025-01-09_13-32-29
X,A,68,6.13099457168896,True,5,78.88333668082208,0.8027491,6300.0,510.3,X6300.0 Y510.3,2025-01-09_13-32-34
X,A,69,5.844942635741143,True,5,77.02113839118002,0.76582783,6300.0,515.1,X6300.0 Y515.1,2025-01-09_13-32-36
X,A,70,6.015575830777334,True,5,78.13730167326463,0.8273894,6300.0,519.9,X6300.0 Y519.9,2025-01-09_13-32-39
X,A,71,5.983657109024964,True,5,77.92972720135815,0.80345905,6300.0,524.7,X6300.0 Y524.7,2025-01-09_13-32-41
X,A,72,5.80965680012637,True,5,76.78829868784698,0.8118799,6300.0,529.5,X6300.0 Y529.5,2025-01-09_13-32-44
