,1,2,3,4,5
1,,,,,
2,,,,,
3,,,,,
4,6.6,,,,
5,16.7,,,,
6,26.8,,,,
7,36.9,,,,
8,63,,,,
9,73.1,,,,
10,83.2,,,,
11,93.3,,,,
12,103.4,,,,
13,113.5,,,,
14,123.6,,,,
15,133.7,,,,
16,143.8,,,,
17,153.8,,,,
18,163.9,,,,
19,174,,,,
20,184.1,,,,
21,194.2,,,,
22,204.3,,,,
23,214.4,,,,
24,224.5,,,,
25,234.6,,,,
26,244.7,,,,
27,254.8,,,,
28,264.9,,,,
29,275,,,,
30,285.1,,,,
31,295.2,,,,
32,305.3,,,,
33,315.3,,,,
34,325.4,,,,
35,335.5,,,,
36,345.6,,,,
37,355.7,,,,
38,365.8,,,,
39,375.9,,,,
40,386,,,,
41,390.4,,,,
42,400.2,,,,
43,410.1,,,,
44,419.9,,,,
45,429.8,,,,
46,439.6,,,,
47,449.5,,,,
48,459.3,,,,
49,469.2,,,,
50,479,,,,
51,488.9,,,,
52,498.7,,,,
53,508.6,,,,
54,518.5,,,,
55,528.3,,,,
56,538.2,,,,
57,548,,,,
58,557.9,,,,
59,567.7,,,,
60,577.6,,,,
61,587.4,,,,
62,597.3,,,,
63,607.1,,,,
64,617,,,,
65,626.8,,,,
66,636.7,,,,
67,646.5,,,,
68,656.4,,,,
69,666.2,,,,
70,676.1,,,,
71,685.9,,,,
72,695.8,,,,
73,705.6,,,,
74,715.5,,,,
75,725.3,,,,
76,735.2,,,,
77,745.1,,,,
78,754.9,,,,
79,764.8,,,,
80,774.6,,,,
81,784.5,,,,
82,794.3,,,,
83,804.2,,,,
84,814,,,,
85,823.9,,,,
86,833.7,,,,
87,843.6,,,,
88,853.4,,,,
89,863.3,,,,
90,873.1,,,,
91,883,,,,
92,892.8,,,,
93,902.7,,,,
94,912.5,,,,
95,922.4,,,,
96,932.2,,,,
97,942.1,,,,
98,951.9,,,,
99,961.8,,,,
100,971.6,,,,
101,981.5,,,,
102,991.4,,,,
103,1001.2,,,,
104,1011.1,,,,
105,1020.9,,,,
106,1030.8,,,,
107,1040.6,,,,
108,1050.5,,,,
109,1060.3,,,,
110,1070.2,,,,
111,1080,,,,
112,1089.9,,,,
113,1099.7,,,,
114,1109.6,,,,
115,1119.4,,,,
116,1129.3,,,,
117,1139.1,,,,
118,1149,,,,
119,1158.8,,,,
120,1168.7,,,,
121,1178.5,,,,
122,1188.4,,,,
123,1198.2,,,,
124,1208.1,,,,
125,1217.9,,,,
126,1227.8,,,,
127,1237.7,,,,
128,1247.5,,,,
129,1257.4,,,,
130,1267.2,,,,
131,1277.1,,,,
132,1286.9,,,,
133,1296.8,,,,
134,1306.6,,,,
135,1316.5,,,,
136,1326.3,,,,
137,1336.2,,,,
138,1346,,,,
139,1355.9,,,,
140,1365.7,,,,
141,1375.6,,,,
142,1385.4,,,,
143,1395.3,,,,
144,1405.1,,,,
145,1415,,,,
146,1424.8,,,,
147,1434.7,,,,
148,1444.5,,,,
149,1447.7,6.8,,,
150,1447.7,16.6,,,
151,1447.7,26.5,,,
152,1447.7,36.3,,,
153,1447.7,46.2,,,
154,1447.7,56,,,
155,1447.7,65.9,,,
156,1447.7,75.7,,,
157,1447.7,85.6,,,
158,1447.7,95.4,,,
159,1447.7,105.3,,,
160,1447.7,115.1,,,
161,1447.7,125,,,
162,1447.7,134.8,,,
163,1447.7,144.7,,,
164,1447.7,154.5,,,
165,1447.7,164.4,,,
166,1447.7,174.2,,,
167,1447.7,184.1,,,
168,1447.7,193.9,,,
169,1447.7,203.8,,,
170,1447.7,213.6,,,
