To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
tension: 6.3N, frequency: 91.7Hz, confidence: 38.2%
tension: 5.7N, frequency: 87.0Hz, confidence: 12.2%
tension: 5.3N, frequency: 84.3Hz, confidence: 80.3%
tension: 4.5N, frequency: 77.9Hz, confidence: 75.7%
tension: 1.1N, frequency: 38.0Hz, confidence: 42.2%
tension: 1.0N, frequency: 36.9Hz, confidence: 28.7%
tension: 5.4N, frequency: 84.9Hz, confidence: 64.9%
tension: 4.9N, frequency: 80.9Hz, confidence: 66.7%
tension: 4.4N, frequency: 76.4Hz, confidence: 66.8%
tension: 0.9N, frequency: 34.2Hz, confidence: 22.0%
tension: 5.1N, frequency: 82.5Hz, confidence: 31.3%
tension: 5.6N, frequency: 86.5Hz, confidence: 72.2%
tension: 5.1N, frequency: 82.2Hz, confidence: 81.8%
tension: 4.5N, frequency: 77.2Hz, confidence: 41.9%
tension: 1.1N, frequency: 37.9Hz, confidence: 60.9%
tension: 5.1N, frequency: 82.2Hz, confidence: 15.5%
tension: 5.2N, frequency: 83.6Hz, confidence: 23.1%
tension: 5.3N, frequency: 84.0Hz, confidence: 82.0%
tension: 4.9N, frequency: 80.5Hz, confidence: 66.4%
tension: 1.7N, frequency: 47.8Hz, confidence: 33.6%
tension: 5.1N, frequency: 82.9Hz, confidence: 16.0%
tension: 5.2N, frequency: 83.0Hz, confidence: 40.8%
tension: 5.2N, frequency: 83.6Hz, confidence: 87.6%
tension: 5.1N, frequency: 82.7Hz, confidence: 13.5%
tension: 4.5N, frequency: 77.7Hz, confidence: 80.1%
tension: 1.1N, frequency: 37.7Hz, confidence: 44.1%
tension: 6.3N, frequency: 91.4Hz, confidence: 36.6%
tension: 5.2N, frequency: 83.0Hz, confidence: 77.7%
tension: 4.7N, frequency: 79.4Hz, confidence: 52.6%
tension: 4.7N, frequency: 78.8Hz, confidence: 58.0%
tension: 1.1N, frequency: 37.6Hz, confidence: 59.9%
tension: 1.1N, frequency: 37.6Hz, confidence: 65.2%
tension: 5.3N, frequency: 83.7Hz, confidence: 71.6%
tension: 4.5N, frequency: 77.9Hz, confidence: 77.4%
tension: 4.7N, frequency: 79.3Hz, confidence: 61.8%
tension: 4.4N, frequency: 77.0Hz, confidence: 31.9%
tension: 6.3N, frequency: 91.7Hz, confidence: 28.8%
tension: 5.3N, frequency: 84.4Hz, confidence: 50.6%
tension: 5.1N, frequency: 82.2Hz, confidence: 82.3%
tension: 1.1N, frequency: 38.7Hz, confidence: 34.8%
tension: 4.5N, frequency: 77.5Hz, confidence: 79.9%
tension: 1.1N, frequency: 37.5Hz, confidence: 70.0%
tension: 1.1N, frequency: 37.7Hz, confidence: 72.2%
tension: 5.2N, frequency: 83.5Hz, confidence: 75.3%
tension: 4.4N, frequency: 76.7Hz, confidence: 73.1%
tension: 4.6N, frequency: 78.2Hz, confidence: 52.7%
tension: 0.8N, frequency: 32.8Hz, confidence: 36.0%
tension: 5.2N, frequency: 83.6Hz, confidence: 76.0%
tension: 4.8N, frequency: 80.4Hz, confidence: 70.8%
tension: 1.1N, frequency: 37.7Hz, confidence: 63.5%
tension: 1.1N, frequency: 37.8Hz, confidence: 71.4%
tension: 1.1N, frequency: 37.9Hz, confidence: 72.1%
tension: 5.6N, frequency: 86.1Hz, confidence: 59.4%
tension: 5.0N, frequency: 82.0Hz, confidence: 70.5%
tension: 1.2N, frequency: 39.3Hz, confidence: 24.6%
tension: 4.0N, frequency: 73.0Hz, confidence: 21.4%
tension: 6.0N, frequency: 89.6Hz, confidence: 38.5%
tension: 5.2N, frequency: 83.3Hz, confidence: 88.3%
tension: 0.8N, frequency: 32.9Hz, confidence: 26.0%
tension: 4.3N, frequency: 76.1Hz, confidence: 66.1%
tension: 0.9N, frequency: 34.3Hz, confidence: 26.4%
tension: 5.5N, frequency: 85.7Hz, confidence: 80.1%
tension: 5.1N, frequency: 82.4Hz, confidence: 86.6%
tension: 1.1N, frequency: 38.3Hz, confidence: 73.9%
tension: 1.1N, frequency: 37.5Hz, confidence: 58.1%
tension: 1.1N, frequency: 37.6Hz, confidence: 43.1%
tension: 5.4N, frequency: 85.3Hz, confidence: 54.8%
tension: 5.0N, frequency: 81.3Hz, confidence: 77.5%
tension: 1.1N, frequency: 38.7Hz, confidence: 46.4%
tension: 0.8N, frequency: 32.8Hz, confidence: 45.8%
tension: 6.0N, frequency: 89.1Hz, confidence: 43.4%
tension: 6.6N, frequency: 93.7Hz, confidence: 34.4%
tension: 5.0N, frequency: 82.0Hz, confidence: 69.2%
tension: 4.8N, frequency: 80.4Hz, confidence: 58.2%
tension: 1.2N, frequency: 39.3Hz, confidence: 30.8%
tension: 6.6N, frequency: 93.8Hz, confidence: 23.1%
tension: 3.2N, frequency: 65.7Hz, confidence: 25.0%
tension: 5.4N, frequency: 84.6Hz, confidence: 68.8%
tension: 4.6N, frequency: 78.4Hz, confidence: 69.5%
tension: 1.1N, frequency: 37.7Hz, confidence: 67.1%
tension: 4.4N, frequency: 77.0Hz, confidence: 29.4%
tension: 4.5N, frequency: 77.8Hz, confidence: 35.8%
tension: 5.3N, frequency: 84.2Hz, confidence: 69.5%
tension: 5.0N, frequency: 82.0Hz, confidence: 72.4%
tension: 4.3N, frequency: 75.4Hz, confidence: 77.3%
tension: 4.2N, frequency: 75.1Hz, confidence: 50.5%
tension: 4.3N, frequency: 75.4Hz, confidence: 61.1%
tension: 5.2N, frequency: 83.4Hz, confidence: 78.1%
tension: 4.8N, frequency: 79.7Hz, confidence: 49.0%
tension: 6.2N, frequency: 90.8Hz, confidence: 28.8%
tension: 6.1N, frequency: 90.0Hz, confidence: 42.3%
tension: 5.6N, frequency: 86.5Hz, confidence: 68.6%
tension: 4.7N, frequency: 79.5Hz, confidence: 59.3%
tension: 0.8N, frequency: 33.0Hz, confidence: 23.7%
tension: 8.9N, frequency: 108.9Hz, confidence: 18.5%
tension: 4.9N, frequency: 80.9Hz, confidence: 17.0%
tension: 5.5N, frequency: 85.3Hz, confidence: 67.4%
tension: 5.2N, frequency: 83.1Hz, confidence: 79.8%
tension: 3.7N, frequency: 69.9Hz, confidence: 28.6%
tension: 6.2N, frequency: 91.1Hz, confidence: 17.3%
tension: 7.6N, frequency: 100.6Hz, confidence: 24.7%
tension: 5.4N, frequency: 85.1Hz, confidence: 37.6%
tension: 5.2N, frequency: 83.6Hz, confidence: 84.8%
tension: 6.6N, frequency: 93.8Hz, confidence: 28.7%
tension: 6.3N, frequency: 91.9Hz, confidence: 20.5%
tension: 5.2N, frequency: 83.7Hz, confidence: 80.5%
tension: 4.8N, frequency: 79.8Hz, confidence: 72.2%
tension: 7.6N, frequency: 100.5Hz, confidence: 26.2%
tension: 1.1N, frequency: 37.8Hz, confidence: 27.8%
tension: 6.5N, frequency: 93.0Hz, confidence: 21.1%
tension: 5.8N, frequency: 87.6Hz, confidence: 41.5%
tension: 5.0N, frequency: 81.8Hz, confidence: 46.0%
tension: 4.1N, frequency: 73.8Hz, confidence: 27.8%
tension: 3.1N, frequency: 64.2Hz, confidence: 26.9%
tension: 5.9N, frequency: 88.7Hz, confidence: 26.0%
tension: 4.4N, frequency: 76.5Hz, confidence: 22.6%
tension: 5.8N, frequency: 88.1Hz, confidence: 61.3%
tension: 6.9N, frequency: 96.0Hz, confidence: 42.5%
tension: 1.2N, frequency: 39.5Hz, confidence: 22.5%
tension: 1.1N, frequency: 38.4Hz, confidence: 56.7%
tension: 1.1N, frequency: 38.4Hz, confidence: 66.1%
tension: 5.4N, frequency: 84.7Hz, confidence: 56.6%
tension: 4.7N, frequency: 79.4Hz, confidence: 29.3%
tension: 4.4N, frequency: 76.4Hz, confidence: 36.8%
tension: 4.3N, frequency: 76.0Hz, confidence: 44.3%
tension: 4.4N, frequency: 76.8Hz, confidence: 48.6%
tension: 5.6N, frequency: 86.5Hz, confidence: 55.2%
tension: 4.6N, frequency: 78.3Hz, confidence: 66.7%
tension: 2.6N, frequency: 58.4Hz, confidence: 41.1%
tension: 4.3N, frequency: 76.1Hz, confidence: 45.5%
tension: 4.2N, frequency: 75.0Hz, confidence: 52.5%
tension: 5.9N, frequency: 88.4Hz, confidence: 32.7%
tension: 4.6N, frequency: 78.0Hz, confidence: 65.4%
tension: 4.3N, frequency: 75.5Hz, confidence: 80.8%
tension: 4.2N, frequency: 75.2Hz, confidence: 79.3%
tension: 4.2N, frequency: 75.1Hz, confidence: 80.8%
tension: 4.3N, frequency: 75.4Hz, confidence: 78.0%
tension: 5.3N, frequency: 83.9Hz, confidence: 81.8%
tension: 4.6N, frequency: 78.5Hz, confidence: 64.1%
tension: 4.3N, frequency: 75.8Hz, confidence: 74.6%
tension: 1.1N, frequency: 37.7Hz, confidence: 36.9%
tension: 4.3N, frequency: 75.5Hz, confidence: 50.5%
tension: 5.7N, frequency: 87.1Hz, confidence: 65.2%
tension: 4.7N, frequency: 79.3Hz, confidence: 62.2%
tension: 4.3N, frequency: 75.4Hz, confidence: 61.9%
tension: 4.3N, frequency: 75.5Hz, confidence: 67.2%
tension: 4.3N, frequency: 75.6Hz, confidence: 70.8%
tension: 4.2N, frequency: 74.8Hz, confidence: 69.5%
tension: 5.4N, frequency: 85.0Hz, confidence: 44.1%
tension: 4.6N, frequency: 78.1Hz, confidence: 41.6%
tension: 4.3N, frequency: 76.1Hz, confidence: 27.1%
tension: 4.3N, frequency: 75.7Hz, confidence: 48.4%
tension: 4.4N, frequency: 76.2Hz, confidence: 26.8%
tension: 5.3N, frequency: 84.1Hz, confidence: 81.3%
tension: 4.5N, frequency: 77.3Hz, confidence: 32.0%
tension: 1.1N, frequency: 37.9Hz, confidence: 50.7%
tension: 8.7N, frequency: 107.8Hz, confidence: 25.2%
tension: 1.1N, frequency: 37.8Hz, confidence: 46.6%
tension: 5.3N, frequency: 83.7Hz, confidence: 83.9%
tension: 4.5N, frequency: 77.1Hz, confidence: 40.4%
tension: 1.1N, frequency: 38.1Hz, confidence: 65.0%
tension: 1.1N, frequency: 38.1Hz, confidence: 51.2%
tension: 1.1N, frequency: 38.3Hz, confidence: 56.6%
tension: 5.4N, frequency: 85.2Hz, confidence: 54.1%
tension: 1.2N, frequency: 39.5Hz, confidence: 29.8%
tension: 6.4N, frequency: 92.6Hz, confidence: 16.4%
tension: 1.1N, frequency: 38.4Hz, confidence: 65.1%
tension: 1.1N, frequency: 37.8Hz, confidence: 48.6%
tension: 5.5N, frequency: 86.0Hz, confidence: 45.9%
tension: 4.7N, frequency: 79.2Hz, confidence: 35.5%
tension: 1.1N, frequency: 37.8Hz, confidence: 26.1%
tension: 1.1N, frequency: 38.2Hz, confidence: 47.1%
tension: 1.1N, frequency: 38.1Hz, confidence: 63.7%
tension: 1.1N, frequency: 38.1Hz, confidence: 53.2%
tension: 5.4N, frequency: 84.9Hz, confidence: 77.5%
tension: 6.5N, frequency: 92.9Hz, confidence: 53.4%
tension: 6.6N, frequency: 94.0Hz, confidence: 48.2%
tension: 2.5N, frequency: 57.2Hz, confidence: 29.2%
tension: 6.7N, frequency: 94.9Hz, confidence: 56.6%
tension: 5.6N, frequency: 86.1Hz, confidence: 56.5%
tension: 4.7N, frequency: 79.0Hz, confidence: 69.5%
tension: 1.1N, frequency: 38.1Hz, confidence: 68.4%
tension: 1.1N, frequency: 38.0Hz, confidence: 40.9%
tension: 1.1N, frequency: 38.0Hz, confidence: 51.5%
tension: 5.7N, frequency: 87.6Hz, confidence: 40.8%
tension: 5.1N, frequency: 82.6Hz, confidence: 69.0%
tension: 4.4N, frequency: 76.8Hz, confidence: 44.8%
tension: 4.5N, frequency: 77.8Hz, confidence: 25.5%
tension: 4.2N, frequency: 75.3Hz, confidence: 41.0%
tension: 4.3N, frequency: 76.0Hz, confidence: 33.4%
tension: 5.2N, frequency: 83.3Hz, confidence: 83.0%
tension: 1.1N, frequency: 38.0Hz, confidence: 32.9%
tension: 6.6N, frequency: 94.2Hz, confidence: 49.1%
tension: 1.1N, frequency: 38.4Hz, confidence: 37.0%
tension: 1.0N, frequency: 37.3Hz, confidence: 65.4%
tension: 5.3N, frequency: 83.9Hz, confidence: 81.1%
tension: 4.6N, frequency: 78.5Hz, confidence: 69.8%
tension: 1.1N, frequency: 38.1Hz, confidence: 58.7%
tension: 1.1N, frequency: 37.8Hz, confidence: 32.1%
tension: 5.6N, frequency: 86.5Hz, confidence: 56.9%
tension: 4.9N, frequency: 80.6Hz, confidence: 54.0%
tension: 4.4N, frequency: 76.3Hz, confidence: 73.6%
tension: 4.7N, frequency: 79.0Hz, confidence: 66.2%
tension: 4.3N, frequency: 76.1Hz, confidence: 24.6%
tension: 4.5N, frequency: 77.3Hz, confidence: 53.3%
tension: 4.4N, frequency: 76.7Hz, confidence: 46.5%
tension: 5.5N, frequency: 85.7Hz, confidence: 59.0%
tension: 5.2N, frequency: 83.7Hz, confidence: 54.8%
tension: 4.4N, frequency: 76.8Hz, confidence: 72.4%
tension: 4.3N, frequency: 75.7Hz, confidence: 28.9%
tension: 1.1N, frequency: 38.0Hz, confidence: 32.0%
tension: 2.5N, frequency: 57.2Hz, confidence: 34.1%
tension: 5.1N, frequency: 82.5Hz, confidence: 86.7%
tension: 1.1N, frequency: 37.7Hz, confidence: 38.8%
tension: 1.1N, frequency: 37.8Hz, confidence: 33.1%
tension: 1.1N, frequency: 37.9Hz, confidence: 24.5%
tension: 5.3N, frequency: 83.9Hz, confidence: 75.2%
tension: 1.1N, frequency: 38.2Hz, confidence: 61.3%
tension: 1.0N, frequency: 37.4Hz, confidence: 50.9%
tension: 5.6N, frequency: 86.2Hz, confidence: 57.0%
tension: 4.8N, frequency: 80.4Hz, confidence: 63.7%
tension: 4.3N, frequency: 76.1Hz, confidence: 69.7%
tension: 4.3N, frequency: 75.6Hz, confidence: 66.5%
tension: 4.2N, frequency: 75.3Hz, confidence: 60.6%
tension: 4.2N, frequency: 75.2Hz, confidence: 47.9%
tension: 5.2N, frequency: 83.7Hz, confidence: 72.2%
tension: 4.3N, frequency: 75.9Hz, confidence: 47.9%
tension: 4.4N, frequency: 76.2Hz, confidence: 37.8%
tension: 1.1N, frequency: 38.2Hz, confidence: 27.5%
tension: 5.2N, frequency: 82.9Hz, confidence: 86.9%
tension: 4.5N, frequency: 77.6Hz, confidence: 76.8%
tension: 4.3N, frequency: 75.7Hz, confidence: 72.7%
tension: 4.3N, frequency: 75.4Hz, confidence: 77.7%
tension: 4.2N, frequency: 75.2Hz, confidence: 75.9%
tension: 5.3N, frequency: 84.0Hz, confidence: 80.7%
tension: 4.9N, frequency: 80.7Hz, confidence: 41.5%
tension: 5.0N, frequency: 81.9Hz, confidence: 34.5%
tension: 1.1N, frequency: 38.4Hz, confidence: 53.6%
tension: 1.1N, frequency: 38.4Hz, confidence: 63.5%
tension: 5.5N, frequency: 85.7Hz, confidence: 51.4%
tension: 4.8N, frequency: 80.2Hz, confidence: 60.0%
tension: 4.6N, frequency: 78.1Hz, confidence: 38.8%
tension: 6.7N, frequency: 94.7Hz, confidence: 55.9%
tension: 6.6N, frequency: 93.8Hz, confidence: 46.8%
tension: 5.1N, frequency: 82.7Hz, confidence: 80.5%
tension: 4.3N, frequency: 75.5Hz, confidence: 28.0%
tension: 4.2N, frequency: 74.9Hz, confidence: 70.1%
tension: 4.3N, frequency: 75.6Hz, confidence: 76.0%
tension: 4.3N, frequency: 76.1Hz, confidence: 70.8%
tension: 5.4N, frequency: 84.8Hz, confidence: 59.3%
tension: 4.7N, frequency: 79.0Hz, confidence: 45.8%
tension: 4.4N, frequency: 76.5Hz, confidence: 43.0%
tension: 1.1N, frequency: 38.0Hz, confidence: 28.3%
tension: 6.7N, frequency: 94.3Hz, confidence: 39.1%
tension: 5.3N, frequency: 83.8Hz, confidence: 79.8%
tension: 5.3N, frequency: 84.1Hz, confidence: 46.0%
tension: 2.5N, frequency: 57.3Hz, confidence: 33.9%
tension: 5.7N, frequency: 86.9Hz, confidence: 22.9%
tension: 5.2N, frequency: 83.0Hz, confidence: 63.8%
tension: 4.5N, frequency: 77.8Hz, confidence: 63.5%
tension: 1.1N, frequency: 38.7Hz, confidence: 64.0%
tension: 1.1N, frequency: 37.7Hz, confidence: 36.1%
tension: 5.3N, frequency: 84.4Hz, confidence: 78.9%
tension: 2.8N, frequency: 61.5Hz, confidence: 15.2%
tension: 4.2N, frequency: 75.2Hz, confidence: 59.2%
tension: 8.2N, frequency: 104.3Hz, confidence: 32.6%
tension: 5.5N, frequency: 85.7Hz, confidence: 59.8%
tension: 4.9N, frequency: 80.5Hz, confidence: 46.7%
tension: 4.6N, frequency: 78.7Hz, confidence: 21.1%
tension: 1.1N, frequency: 38.1Hz, confidence: 34.3%
tension: 1.1N, frequency: 38.6Hz, confidence: 53.0%
tension: 1.1N, frequency: 38.3Hz, confidence: 32.8%
tension: 5.4N, frequency: 84.6Hz, confidence: 73.9%
tension: 4.6N, frequency: 78.2Hz, confidence: 21.2%
tension: 4.2N, frequency: 74.6Hz, confidence: 29.7%
tension: 1.1N, frequency: 38.1Hz, confidence: 39.3%
tension: 1.1N, frequency: 38.0Hz, confidence: 37.3%
tension: 5.6N, frequency: 86.5Hz, confidence: 67.5%
tension: 5.0N, frequency: 81.5Hz, confidence: 73.5%
tension: 4.3N, frequency: 76.1Hz, confidence: 75.6%
tension: 1.7N, frequency: 47.2Hz, confidence: 30.2%
tension: 5.5N, frequency: 86.0Hz, confidence: 71.2%
tension: 4.9N, frequency: 80.9Hz, confidence: 68.5%
tension: 5.0N, frequency: 81.5Hz, confidence: 82.0%
tension: 4.5N, frequency: 77.2Hz, confidence: 63.8%
tension: 4.2N, frequency: 74.9Hz, confidence: 73.4%
tension: 5.6N, frequency: 86.1Hz, confidence: 70.2%
tension: 5.3N, frequency: 84.3Hz, confidence: 56.8%
tension: 4.2N, frequency: 74.8Hz, confidence: 77.2%
tension: 4.2N, frequency: 75.2Hz, confidence: 75.5%
tension: 4.3N, frequency: 75.3Hz, confidence: 69.9%
tension: 4.3N, frequency: 75.8Hz, confidence: 64.0%
tension: 5.1N, frequency: 82.7Hz, confidence: 68.7%
tension: 4.8N, frequency: 80.1Hz, confidence: 31.1%
tension: 1.0N, frequency: 37.0Hz, confidence: 52.0%
tension: 1.1N, frequency: 37.7Hz, confidence: 60.3%
tension: 1.1N, frequency: 37.8Hz, confidence: 54.4%
tension: 5.4N, frequency: 84.6Hz, confidence: 68.5%
tension: 4.6N, frequency: 78.6Hz, confidence: 63.1%
tension: 1.6N, frequency: 46.1Hz, confidence: 31.4%
