layer,side,wire_number,tension
U,A,8,0.0
U,A,9,0.0
U,A,10,0.0
U,A,11,0.0
U,A,12,0.0
U,A,13,0.0
U,A,14,0.0
U,A,15,0.0
U,A,16,0.0
U,A,17,0.0
U,A,18,0.0
U,A,19,0.0
U,A,20,0.0
U,A,21,0.0
U,A,22,0.0
U,A,23,0.0
U,A,24,0.0
U,A,25,1.400558516335754
U,A,26,5.595727719138679
U,A,27,5.4945408162195415
U,A,28,5.711935022841451
U,A,29,5.629591748684152
U,A,30,5.572616798921498
U,A,31,5.663979372254064
U,A,32,5.995434948832246
U,A,33,3.513991309098158
U,A,34,6.014803796588339
U,A,35,5.81447602335154
U,A,36,5.915560878480351
U,A,37,5.682548127950844
U,A,38,6.043542120385919
U,A,39,5.782749365646781
U,A,40,6.076843061161765
U,A,41,6.068358020128164
U,A,42,5.855447977819379
U,A,43,5.828239026989253
U,A,44,6.226138661982836
U,A,45,5.878718738137124
U,A,46,5.867432104490709
U,A,47,5.983741445876739
U,A,48,5.5523501123557
U,A,49,5.760080293529265
U,A,50,5.9603185279666056
U,A,51,5.916160695764334
U,A,52,5.78640565614759
U,A,53,5.586548154387006
U,A,54,5.669546090241119
U,A,55,5.904207308225034
U,A,56,5.783814646031953
U,A,57,5.396195104131482
U,A,58,5.49204425480865
U,A,59,5.160436065103779
U,A,60,5.635572117362309
U,A,61,5.6520882266771855
U,A,62,5.985505751754438
U,A,63,5.848527042770375
U,A,64,5.827765163874743
U,A,65,5.64491804415373
U,A,66,5.513026549556543
U,A,67,5.628666243327781
U,A,68,5.085502959315188
U,A,69,5.296553223196916
U,A,70,5.504468790320774
U,A,71,5.59805589769335
U,A,72,5.330306608860316
U,A,73,5.209924453020185
U,A,74,5.225823928729037
U,A,75,5.576977527293081
U,A,76,5.435050337915079
U,A,77,5.1663231510158525
U,A,78,5.8516050192369145
U,A,79,5.297947872439152
U,A,80,5.427025670533345
U,A,81,5.544173285096248
U,A,82,5.697577232407899
U,A,83,5.487488380437749
U,A,84,5.564854456961438
U,A,85,5.441993889842465
U,A,86,5.342665730173565
U,A,87,5.456821242145351
U,A,88,5.224252147875607
U,A,89,5.930758533463413
U,A,90,5.547094891158732
U,A,91,5.689888561443863
U,A,92,5.664444293129305
U,A,93,5.838290674590657
U,A,94,5.685096757031753
U,A,95,5.533919762146142
U,A,96,5.7405072867979845
U,A,97,5.327681807188928
U,A,98,5.266153780676785
U,A,99,5.537132729581194
U,A,100,5.463180092166053
U,A,101,5.895629475297048
U,A,102,5.519478985520111
U,A,103,5.23264360699159
U,A,104,5.351318502731073
U,A,105,5.569489448038501
U,A,106,5.645631055596057
U,A,107,5.336749682086994
U,A,108,6.226303134183412
