layer,side,wire_number,tension,tension_pass,zone,frequency,confidence,x,y,Gcode,f_sigma,time
V,B,1146,4.053446761064802,True,5,1564.1915808286817,0.8812415,6983.5,202.3,X6983.5 Y202.3,2.193637799165241,2025-01-22_13-50-58
V,B,1145,4.443678989713414,True,5,1376.6639795123124,0.81382936,6975.5,202.3,X6975.5 Y202.3,8.443871766124401,2025-01-22_13-51-00
V,B,1144,4.884668156535833,True,5,1246.6279290382079,0.9272632,6967.5,202.3,X6967.5 Y202.3,2.69609458786531,2025-01-22_13-51-03
V,B,1143,4.60699037354255,True,5,1064.1517390090269,0.89566463,6959.5,202.3,X6959.5 Y202.3,1.2800272536411157,2025-01-22_13-51-06
V,B,1142,4.6080363409884635,True,5,950.4093155087113,0.7682472,6951.5,202.3,X6951.5 Y202.3,6.173632686411011,2025-01-22_13-51-08
V,B,1141,4.48736311131452,True,5,846.4041320067864,0.8055055,6943.5,202.3,X6943.5 Y202.3,2.1326800958528325,2025-01-22_13-51-11
V,B,1140,4.708125024673389,True,5,790.6368272083473,0.87251264,6935.5,202.3,X6935.5 Y202.3,0.6029624394132975,2025-01-22_13-51-13
V,B,1139,4.607988447670404,True,5,718.2924165536324,0.8648631,6927.5,202.3,X6927.5 Y202.3,0.8726165667869303,2025-01-22_13-51-15
V,B,1138,5.085257186158661,True,5,698.1252979424801,0.89356154,6919.5,202.3,X6919.5 Y202.3,1.1241788238184165,2025-01-22_13-51-18
V,B,1137,5.194501636985282,True,5,656.0080383227854,0.87314826,6911.5,202.3,X6911.5 Y202.3,0.9278665696317636,2025-01-22_13-51-22
V,B,1136,4.792075327095751,True,5,589.1105172006444,0.79475415,6903.5,202.3,X6903.5 Y202.3,144.27642547606072,2025-01-22_13-51-24
V,B,1135,5.109587908443829,True,5,570.815302369981,0.9148363,6895.5,202.3,X6895.5 Y202.3,138.7723979020256,2025-01-22_13-51-27
V,B,1134,5.4408889285295885,True,5,555.1540980407295,0.90521055,6887.5,202.3,X6887.5 Y202.3,1.216478083503567,2025-01-22_13-51-29
V,B,1133,5.44285175796974,True,5,524.7660575615214,0.91856825,6879.5,202.3,X6879.5 Y202.3,0.6075271592365832,2025-01-22_13-51-32
V,B,1132,5.569176607261554,True,5,503.45607841956263,0.88068044,6871.5,202.3,X6871.5 Y202.3,0.5809102723035537,2025-01-22_13-51-34
V,B,1131,5.330834125703369,True,5,468.18317157113654,0.89611834,6863.5,202.3,X6863.5 Y202.3,0.5032982999508319,2025-01-22_13-51-40
V,B,1130,5.657983476143949,True,5,459.8048669659466,0.88163656,6855.5,202.3,X6855.5 Y202.3,1.8367035753019079,2025-01-22_13-51-42
V,B,1129,5.625746916774477,True,5,437.8327551191812,0.8800785,6847.5,202.3,X6847.5 Y202.3,0.7699043475515397,2025-01-22_13-51-45
V,B,1128,5.543427327431503,True,5,416.05878808869187,0.8277135,6839.5,202.3,X6839.5 Y202.3,0.6634739169015594,2025-01-22_13-51-47
V,B,1127,5.037612927336956,True,5,380.22131688409326,0.827224,6831.5,202.3,X6831.5 Y202.3,1.5359457123754403,2025-01-22_13-51-49
