layer,side,wire_number,tension,tension_pass,frequency,zone,confidence,t_sigma,x,y,Gcode,wires,ttf,time
U,B,8,5.631770689918973,True,1376.8718351381162,1,0.6253453,0.019459308345341746,1068.0,195.9,X1068.0 Y195.9,"[5.628509946387793, 5.597345198000587, 5.644161526622464]",19.313944578170776,2025-05-08_16-39-14
U,B,10,5.895466909420185,True,1099.004077494487,1,0.7517253,0.015352065429782513,1084.0,196.6,X1084.0 Y196.6,"[5.9108443366168695, 5.8801402057573045]",12.971999168395996,2025-05-08_16-43-08
U,B,11,5.230448656916055,True,933.1066781347774,1,0.9035958,0.027849872914393448,1092.0,196.6,X1092.0 Y196.6,"[5.258363479473083, 5.202663733644296]",1.2787060737609863,2025-05-08_16-43-09
U,B,12,5.472592816070232,True,868.009775904677,1,0.7529988,0.05617368442511772,1100.0,196.6,X1100.0 Y196.6,"[5.528966878135667, 5.4166195092854315]",2.8962771892547607,2025-05-08_16-43-12
U,B,13,5.754132739056433,True,816.8200450927907,1,0.63477415,0.004852194540754695,1108.0,196.6,X1108.0 Y196.6,"[5.749286424473304, 5.758990813554814]",1.4942193031311035,2025-05-08_16-43-14
U,B,14,5.632344461172805,True,746.1104173818318,1,0.8317721,0.005367293757585934,1116.0,196.6,X1116.0 Y196.6,"[5.6377184062733114, 5.62698381875814]",1.4758367538452148,2025-05-08_16-43-15
U,B,15,5.772106416798365,True,701.9818911733288,1,0.7798426,0.006765393706102962,1124.0,196.6,X1124.0 Y196.6,"[5.765349777656288, 5.778880565068494]",1.3836803436279297,2025-05-08_16-43-17
U,B,16,5.345744616347574,True,630.5816745274196,1,0.8199315,0.015908818802676805,1132.0,196.6,X1132.0 Y196.6,"[5.36168119592069, 5.329863558315337]",1.3303961753845215,2025-05-08_16-43-18
U,B,17,5.316869750924154,True,589.9931297930822,1,0.7667252,0.05423410604574519,1140.0,196.6,X1140.0 Y196.6,"[5.262828233880949, 5.3712964459724395]",2.766371488571167,2025-05-08_16-43-21
U,B,18,5.352070623792201,True,557.1434651910093,1,0.8644757,0.0061720018938768995,1108.0,225.3,X1108.0 Y225.3,"[5.34590657946099, 5.3582505832487435]",2.0621774196624756,2025-05-08_16-43-23
U,B,19,5.44189986500544,True,530.9037387432153,1,0.7253251,0.013889148035514332,1108.0,231.0,X1108.0 Y231.0,"[5.428033482171724, 5.455811778242753]",1.7659962177276611,2025-05-08_16-43-25
U,B,20,5.527543252293817,True,506.9037330887901,1,0.89645505,0.005286456693159636,1108.0,236.8,X1108.0 Y236.8,"[5.532836264704252, 5.522263351317933]",1.3859777450561523,2025-05-08_16-43-26
U,B,21,5.529714258889823,True,481.89648806177775,1,0.8837302,0.06692393657930884,1108.0,242.6,X1108.0 Y242.6,"[5.463059799041587, 5.596907672200205]",1.149078130722046,2025-05-08_16-43-27
U,B,22,5.4568457179680285,True,455.904107148909,1,0.86469734,0.007904582341634825,1108.0,248.3,X1108.0 Y248.3,"[5.4489519106846975, 5.464761075367967]",1.2185399532318115,2025-05-08_16-43-28
U,B,23,5.549783590150732,True,439.0635085951055,1,0.86388403,0.05013038636676859,1108.0,254.0,X1108.0 Y254.0,"[5.60007736106599, 5.499816588332453]",1.4393689632415771,2025-05-08_16-43-30
U,B,24,5.4570365832717584,True,416.4331000763958,1,0.8448445,0.024301954852013363,1108.0,259.7,X1108.0 Y259.7,"[5.481389920380075, 5.432786010676049]",1.2943847179412842,2025-05-08_16-43-31
U,B,25,5.29241396639243,True,393.16728685904496,1,0.87070966,0.03236185719655005,1108.0,265.5,X1108.0 Y265.5,"[5.324857688759945, 5.260133974366845]",1.3692398071289062,2025-05-08_16-43-32
