layer,side,wire_number,tension,tension_pass,frequency,zone,confidence,t_sigma,x,y,Gcode,wires,ttf,time
X,B,1,5.914590977593257,True,77.47867141467889,5,0.65607905,0.09927372356686046,6310.0,198.2,X6310.0 Y198.2,"[6.053807646924002, 5.8108801969591966, 5.922940975651739]",37.015257120132446,2025-04-18_10-49-14
X,B,2,5.647277516388639,True,75.7075813365409,5,0.6357298,0.056978419134634535,6310.0,203.0,X6310.0 Y203.0,"[5.643753420548028, 5.7605524556809025, 5.635987084716421]",11.84382700920105,2025-04-18_10-49-26
X,B,3,5.7529477351772895,True,76.41260771049704,5,0.6838487,0.005613408902639713,6310.0,208.0,X6310.0 Y208.0,"[5.753547482270137, 5.750461613500707, 5.76360862812646]",2.4178106784820557,2025-04-18_10-49-28
X,B,4,5.914723635576694,True,77.4795402918943,5,0.5562088,0.09161854988187641,6310.0,212.8,X6310.0 Y212.8,"[5.7380659327315175, 5.907970417931093, 5.949991257135524]",2.4469146728515625,2025-04-18_10-49-31
X,B,5,5.678565831208711,True,75.91701771560037,5,0.7166848,0.047993431446044676,6310.0,217.6,X6310.0 Y217.6,"[5.594575699529274, 5.710310795628578, 5.6703095070366745]",5.703546047210693,2025-04-18_10-49-36
X,B,6,5.8282635518158585,True,76.91116641348147,5,0.6796718,0.027601650510149657,6310.0,222.4,X6310.0 Y222.4,"[5.848952335569678, 5.781981496486678, 5.823498729856269]",2.3561878204345703,2025-04-18_10-49-39
X,B,7,5.701588493075278,True,76.07075757883281,5,0.7285363,0.022908838623520226,6310.0,227.2,X6310.0 Y227.2,"[5.680166130306547, 5.736127834801461, 5.704557732719962]",12.309852600097656,2025-04-18_10-49-51
X,B,8,5.572339549671542,True,75.20359342609373,5,0.7743769,0.05730121019810858,6310.0,231.9,X6310.0 Y231.9,"[5.509646063082518, 5.649933304969774, 5.575910711416661]",7.502319574356079,2025-04-18_10-49-59
X,B,9,5.71464893793909,True,76.15783415689104,5,0.6450532,0.052082762289422074,6310.0,236.7,X6310.0 Y236.7,"[5.710203550925216, 5.735566822734786, 5.614606417410648]",2.3953640460968018,2025-04-18_10-50-01
X,B,10,5.522258324463091,True,74.86488572024918,5,0.6285227,0.03977480999144735,6310.0,241.5,X6310.0 Y241.5,"[5.548144805020224, 5.452313793637424, 5.515443527451315]",2.4202282428741455,2025-04-18_10-50-03
X,B,11,5.1375180541748104,True,72.20985738294206,5,0.6210079,0.09588239095117489,6310.0,246.3,X6310.0 Y246.3,"[5.325122963768164, 5.141054054729231, 5.106757889170961]",6.816067934036255,2025-04-18_10-50-10
X,B,12,5.592545364282248,True,75.33981761328766,5,0.6395382,0.05414980459254973,6310.0,251.2,X6310.0 Y251.2,"[5.6037734376823165, 5.595567330377425, 5.48502135058202]",3.740448236465454,2025-04-18_10-50-14
X,B,13,5.5932129394810115,True,75.344314089366,5,0.74919766,0.08710828564271675,6310.0,255.9,X6310.0 Y255.9,"[5.5937294093414485, 5.5686748689469585, 5.764708386799358]",1.9751887321472168,2025-04-18_10-50-16
X,B,14,5.280872063668876,True,73.21037473308981,5,0.54521173,0.04713750691745524,6310.0,260.7,X6310.0 Y260.7,"[5.341700298848605, 5.226252069404363, 5.282385507725904]",2.0745365619659424,2025-04-18_10-50-18
X,B,15,5.568462011111565,True,75.17742348642446,5,0.63639945,0.09519385006000723,6310.0,265.5,X6310.0 Y265.5,"[5.550557436437487, 5.561813199987004, 5.757886561990761]",4.08036994934082,2025-04-18_10-50-22
X,B,16,5.7265491204968555,True,76.23708843957193,5,0.6418771,0.06281821382249327,6310.0,270.3,X6310.0 Y270.3,"[5.687297444915676, 5.737019815986794, 5.838267077062149]",2.210047483444214,2025-04-18_10-50-24
X,B,17,5.455288779329126,True,74.409550206993,5,0.7761407,0.08138822485109812,6310.0,275.1,X6310.0 Y275.1,"[5.513663649372998, 5.316573891391085, 5.441097889378485]",3.9516844749450684,2025-04-18_10-50-28
X,B,18,5.460329379995779,True,74.44391889434691,5,0.65039235,0.037278481940054974,6310.0,279.9,X6310.0 Y279.9,"[5.461455052333362, 5.533362447821273, 5.44866884520968]",3.079293727874756,2025-04-18_10-50-31
X,B,19,5.4397900153587635,True,74.30377429085995,5,0.6098626,0.03464452906492472,6310.0,284.6,X6310.0 Y284.6,"[5.451305280818803, 5.372216093554634, 5.43840220773279]",2.6851656436920166,2025-04-18_10-50-34
X,B,20,5.262860250193162,True,73.08541640020587,5,0.6285806,0.07337288752944575,6310.0,289.4,X6310.0 Y289.4,"[5.286612731141833, 5.1194767254183535, 5.260274785967814]",2.381112575531006,2025-04-18_10-50-36
X,B,21,5.753743052617038,True,76.41788936627616,5,0.5611243,0.08170586170948053,6310.0,294.2,X6310.0 Y294.2,"[5.78621783063932, 5.7471385381792714, 5.596690179111228]",1.9790148735046387,2025-04-18_10-50-38
