wire_number,mu_A,mu_B,n_A,n_B
1,5.461231231689453,5.699999809265137,8,7
2,5.65853214263916,5.896430015563965,8,8
3,5.968080759048462,6.022205829620361,8,8
4,5.719873666763306,5.5599000453948975,8,8
5,5.772768020629883,5.823471546173096,8,8
6,5.931262731552124,5.703474044799805,8,8
7,5.6975297927856445,5.6071038246154785,8,8
8,5.757904052734375,5.808284759521484,8,8
9,5.771594524383545,5.7130796909332275,8,8
10,5.84199070930481,5.8550591468811035,8,8
11,5.916504859924316,5.983921527862549,8,8
12,5.794009447097778,5.818878412246704,8,8
13,5.903396844863892,5.704999923706055,8,8
14,5.903396368026733,5.55959153175354,8,8
15,5.79825234413147,5.795123338699341,8,8
16,6.015460729598999,5.418095827102661,8,8
17,5.939622402191162,5.461888313293457,8,8
18,5.879154443740845,6.046656608581543,8,8
19,5.944849491119385,5.710536241531372,8,8
20,5.888494968414307,5.691637277603149,8,8
21,5.940423011779785,5.651471376419067,8,8
22,5.916048049926758,5.7730536460876465,8,8
23,5.741570234298706,5.759162664413452,8,8
24,5.82859468460083,5.683842897415161,8,8
25,5.821218490600586,5.728809833526611,8,8
26,5.799195051193237,5.775410890579224,8,8
27,5.641015529632568,5.86975359916687,8,8
28,5.893020153045654,5.77923059463501,8,8
29,6.0173704624176025,5.631755352020264,8,8
30,6.033100843429565,6.0113818645477295,8,8
31,5.83607292175293,5.937262058258057,8,8
32,5.989657878875732,5.651108741760254,8,8
33,5.843134880065918,5.5958170890808105,8,8
34,5.733454942703247,5.712905168533325,8,8
35,5.865173816680908,5.775445461273193,8,8
36,5.806788682937622,5.8371381759643555,8,8
37,5.867024183273315,5.904672861099243,8,8
38,5.972123622894287,5.75214695930481,8,8
39,5.885869741439819,5.755656957626343,8,8
40,6.001518487930298,5.847872018814087,8,8
41,6.04849100112915,5.91655421257019,8,8
42,6.049233436584473,5.772730112075806,8,8
43,6.035218954086304,6.073020696640015,8,8
44,5.9510040283203125,5.833841562271118,8,8
45,5.915746212005615,6.031823396682739,8,8
46,6.014855623245239,5.8775248527526855,8,8
47,5.950744152069092,5.85559606552124,8,8
48,5.880792140960693,5.538056373596191,8,8
49,6.085938453674316,5.94287896156311,8,8
50,6.096706390380859,5.965486288070679,8,8
51,5.958763122558594,5.960896015167236,8,8
52,6.044222354888916,5.874671936035156,8,8
53,6.0677103996276855,5.923607110977173,8,8
54,6.045713901519775,6.1357433795928955,8,8
55,6.192457675933838,5.941563367843628,8,8
56,5.866274356842041,5.8765037059783936,8,8
57,5.830937385559082,5.8410327434539795,8,8
58,5.997426748275757,5.972910165786743,8,8
59,5.952374696731567,6.0184266567230225,8,8
60,5.994822025299072,6.057435750961304,8,8
61,5.877489805221558,6.014482259750366,8,8
62,5.93999171257019,5.733544111251831,8,8
63,5.980262756347656,5.73182225227356,8,8
64,5.921153783798218,5.914680242538452,8,8
65,5.860318183898926,5.957566499710083,8,8
66,5.815000057220459,5.840622901916504,8,8
67,5.825502872467041,5.853547811508179,8,8
68,5.85524582862854,5.998928546905518,8,8
69,5.7588934898376465,5.879579782485962,8,8
70,5.986202001571655,5.847332000732422,8,8
71,5.827652215957642,5.889323949813843,8,8
72,5.862021446228027,5.844230890274048,8,8
73,5.789999961853027,6.035851001739502,8,8
74,5.775722026824951,5.911538600921631,8,8
75,5.971087217330933,5.981430768966675,8,8
76,5.794999837875366,5.848935604095459,8,8
77,5.957016229629517,5.806826829910278,8,8
78,5.9401774406433105,5.9021008014678955,8,8
79,5.856993198394775,5.878222703933716,8,8
80,5.782707691192627,5.7175681591033936,8,8
81,5.8020946979522705,5.916774749755859,8,8
82,5.831130504608154,5.866797924041748,8,8
83,6.0081703662872314,5.841784477233887,8,8
84,5.870167255401611,6.015104293823242,8,8
85,5.88124942779541,5.615296363830566,8,8
86,5.699215412139893,5.884469270706177,8,8
87,5.986685276031494,5.74791955947876,8,8
88,6.007240533828735,5.766329765319824,8,8
89,5.889694690704346,5.734149932861328,8,8
90,5.963249921798706,5.624275207519531,8,8
91,6.0786168575286865,5.920300722122192,8,8
92,5.982581853866577,6.019658327102661,8,8
93,5.871797800064087,5.8435986042022705,8,8
94,5.953080177307129,5.79321026802063,8,8
95,5.969585657119751,5.760069131851196,8,8
96,6.06850266456604,5.737008094787598,8,8
97,5.96418571472168,5.894574403762817,8,8
98,5.960354328155518,5.872283458709717,8,8
99,5.956063508987427,5.5929083824157715,8,8
100,6.051800966262817,5.9176061153411865,8,8
101,5.968001365661621,5.8247458934783936,8,8
102,5.800000190734863,5.706691026687622,8,8
103,5.900000095367432,5.8565990924835205,8,8
104,5.92233419418335,5.8003880977630615,8,8
105,5.753175735473633,5.74553108215332,8,8
106,5.725578308105469,5.836571931838989,8,8
107,5.827934741973877,5.916770696640015,8,8
108,5.784149646759033,5.808201313018799,8,8
109,5.58658766746521,5.872590780258179,8,8
110,5.759012222290039,5.774024486541748,8,8
111,5.86643123626709,5.774837017059326,8,8
112,5.808758020401001,5.893132448196411,8,8
113,5.792883396148682,5.7767860889434814,8,8
114,5.705362319946289,5.810411214828491,8,8
115,5.726646423339844,5.7784106731414795,8,8
116,5.731485605239868,5.8547141551971436,8,8
117,5.629087209701538,5.736780166625977,8,8
118,5.816521406173706,5.758411407470703,8,8
119,5.814518451690674,5.839772701263428,8,8
