wire_number,mu_A,mu_B,n_A,n_B
1,6.105000019073486,6.430000066757202,42,42
2,6.315000057220459,6.3450000286102295,42,42
3,6.4049999713897705,6.429999828338623,42,42
4,6.460000038146973,6.440000057220459,42,42
5,6.434999942779541,6.375,42,42
6,6.629999876022339,6.300000190734863,42,42
7,6.474999904632568,6.3399999141693115,42,42
8,6.570000171661377,6.259999990463257,42,42
9,6.460000038146973,6.315000057220459,42,42
10,6.509999990463257,6.275000095367432,42,42
11,6.4700000286102295,6.244999885559082,42,42
12,6.519999980926514,6.210000038146973,42,42
13,6.360000133514404,6.130000114440918,42,42
14,6.424999952316284,6.210000038146973,42,42
15,6.4649999141693115,6.130000114440918,42,42
16,6.5299999713897705,6.170000076293945,42,42
17,6.460000038146973,6.115000009536743,42,42
18,6.634999990463257,6.140000104904175,42,42
19,6.495000123977661,6.164999961853027,42,42
20,6.549999952316284,6.210000038146973,42,42
21,6.525000095367432,6.120000123977661,42,42
22,6.549999952316284,6.130000114440918,42,42
23,6.570000171661377,6.170000076293945,42,42
24,6.7799999713897705,6.105000019073486,42,42
25,6.694999933242798,6.190000057220459,42,42
26,6.619999885559082,6.130000114440918,42,42
27,6.6000001430511475,6.1600000858306885,42,42
28,6.7099997997283936,6.194999933242798,42,42
29,6.699999809265137,6.190000057220459,42,42
30,6.670000076293945,6.229999780654907,42,42
31,6.610000133514404,6.210000038146973,42,42
32,6.639999866485596,6.229999780654907,42,42
33,6.674999952316284,6.300000190734863,42,42
34,6.680000066757202,6.25,42,42
35,6.615000009536743,6.239999771118164,42,42
36,6.6600000858306885,6.335000038146973,42,42
37,6.71999979019165,6.300000190734863,42,42
38,6.704999923706055,6.370000123977661,42,42
39,6.670000076293945,6.419999837875366,42,42
40,6.680000066757202,6.21999979019165,42,42
41,6.6549999713897705,6.380000114440918,42,42
42,6.670000076293945,6.434999942779541,42,42
43,6.7099997997283936,6.380000114440918,42,42
44,6.615000009536743,6.355000019073486,42,42
45,6.6000001430511475,6.360000133514404,42,42
46,6.71999979019165,6.335000038146973,42,42
47,6.729999780654907,6.295000076293945,42,42
48,6.744999885559082,6.244999885559082,42,42
49,6.605000019073486,6.360000133514404,42,42
50,6.559999942779541,6.390000104904175,42,42
51,6.704999923706055,6.320000171661377,42,42
52,6.615000009536743,6.400000095367432,42,42
53,6.570000171661377,6.440000057220459,42,42
54,6.699999809265137,6.424999952316284,42,42
55,6.629999876022339,6.444999933242798,42,42
56,6.670000076293945,6.414999961853027,42,42
57,6.565000057220459,6.419999837875366,42,42
58,6.669999837875366,6.419999837875366,42,42
59,6.5299999713897705,6.390000104904175,42,42
60,6.5899999141693115,6.370000123977661,42,42
61,6.559999942779541,6.355000019073486,42,42
62,6.699999809265137,6.4049999713897705,42,42
63,6.694999933242798,6.349999904632568,42,42
64,6.579999923706055,6.4049999713897705,42,42
65,6.519999980926514,6.414999961853027,42,42
66,6.539999961853027,6.434999942779541,42,42
67,6.5299999713897705,6.409999847412109,42,42
68,6.565000057220459,6.380000114440918,42,42
69,6.580000162124634,6.360000133514404,42,42
70,6.504999876022339,6.390000104904175,42,42
71,6.5299999713897705,6.424999952316284,42,42
72,6.565000057220459,6.370000123977661,42,42
73,6.590000152587891,6.3399999141693115,42,42
74,6.539999961853027,6.4049999713897705,42,42
75,6.619999885559082,6.4049999713897705,42,42
76,6.5299999713897705,6.525000095367432,42,42
77,6.515000104904175,6.349999904632568,42,42
78,6.5,6.420000076293945,42,42
79,6.409999847412109,6.474999904632568,42,42
80,6.444999933242798,6.355000019073486,42,42
81,6.5,6.400000095367432,42,42
82,6.525000095367432,6.320000171661377,42,42
83,6.434999942779541,6.4049999713897705,42,42
84,6.625,6.434999942779541,42,42
