wire_number,mu_A,mu_B,n_A,n_B
8,5.1548309326171875,5.4734132289886475,8,8
9,5.280212640762329,5.438406705856323,8,8
10,5.170000076293945,5.346817493438721,8,8
11,5.032742261886597,5.367535352706909,8,8
12,5.240000009536743,5.429906606674194,8,8
13,5.22160005569458,5.531006813049316,8,8
14,5.001136541366577,5.494287729263306,8,8
15,5.322141408920288,5.530460834503174,8,8
16,5.1826887130737305,5.507764577865601,8,8
17,5.474477767944336,5.480000019073486,8,8
18,5.405796051025391,5.350673675537109,8,8
19,5.542171239852905,5.355419397354126,8,8
20,5.4966816902160645,5.350387334823608,8,8
21,5.503456115722656,5.409245014190674,8,8
22,5.620898723602295,5.4818902015686035,8,8
23,5.580306529998779,5.441655158996582,8,8
24,5.6065592765808105,5.439748764038086,8,8
25,5.72095513343811,5.245877742767334,8,8
26,5.811196804046631,5.2772321701049805,8,8
27,5.866071701049805,5.346165418624878,8,8
28,5.658830642700195,5.244733095169067,8,8
29,5.7496864795684814,5.266340732574463,8,8
30,5.840000152587891,5.026847839355469,8,8
31,5.700330018997192,5.08737587928772,8,8
32,5.713346481323242,4.975709676742554,8,8
33,5.719339370727539,4.763514995574951,8,8
34,5.804584980010986,5.059183835983276,8,8
35,5.736698627471924,4.9969987869262695,8,8
36,5.760020732879639,5.221918821334839,8,8
37,5.71585750579834,5.2060112953186035,8,8
38,5.807828903198242,5.2146995067596436,8,8
39,5.886322021484375,5.193995237350464,8,8
40,5.833794832229614,5.272538661956787,8,8
41,5.807421684265137,5.243149757385254,8,8
42,5.858926773071289,5.377345085144043,8,8
43,5.7372963428497314,5.523154020309448,8,8
44,5.675629615783691,5.382628440856934,8,8
45,5.87851357460022,5.378180742263794,8,8
46,5.679251432418823,5.58548903465271,8,8
47,5.698698997497559,5.4022746086120605,8,8
48,5.6649816036224365,5.478322505950928,8,8
49,5.611707925796509,5.477628707885742,8,8
50,5.627536058425903,5.348499059677124,8,8
51,5.748936653137207,5.400776624679565,8,8
52,5.731351613998413,5.444999933242798,8,8
53,5.607049226760864,5.514372825622559,8,8
54,5.543378591537476,5.532408237457275,8,8
55,5.579248905181885,5.446202754974365,8,8
56,5.554943799972534,5.450265645980835,8,8
57,5.467525959014893,5.645582675933838,8,8
58,5.633454322814941,5.5811662673950195,8,8
59,5.5534303188323975,5.516216278076172,8,8
60,5.485882997512817,5.612985610961914,8,8
61,5.338834524154663,5.555891990661621,8,8
62,5.501799583435059,5.630693197250366,8,8
63,5.576875686645508,5.793251991271973,8,8
64,5.45641303062439,5.557898998260498,8,8
65,5.607982873916626,5.624287843704224,8,8
66,5.626463890075684,5.614283561706543,8,8
67,5.622890949249268,5.458564758300781,8,8
68,5.438833236694336,5.439471006393433,8,8
69,5.4662957191467285,5.562571048736572,8,8
70,5.348286151885986,5.402984380722046,8,8
71,5.318942070007324,5.40780234336853,8,8
72,5.28000020980835,5.494986534118652,8,8
73,5.434734106063843,5.555000066757202,8,8
74,5.490000009536743,5.605055809020996,8,8
75,5.65282940864563,5.506001949310303,8,8
76,5.5442728996276855,5.44024658203125,8,8
77,5.632178544998169,5.507280111312866,8,8
78,5.5553905963897705,5.598669767379761,8,8
79,5.396410942077637,5.567660808563232,8,8
80,5.53718638420105,5.516982316970825,8,8
81,5.433850049972534,5.512296199798584,8,8
82,5.704242467880249,5.610208034515381,8,8
83,5.59077262878418,5.745270013809204,8,8
84,5.652876377105713,5.635326385498047,8,8
85,5.667979955673218,5.557652235031128,8,8
86,5.4961206912994385,5.611523628234863,8,8
87,5.5757505893707275,5.570366144180298,8,8
88,5.541908025741577,5.492144584655762,8,8
89,5.508111476898193,5.640151262283325,8,8
90,5.389743804931641,5.66466760635376,8,8
91,5.254999876022339,5.716814041137695,8,8
92,5.370071172714233,5.651987314224243,8,8
93,5.4281907081604,5.775134086608887,8,8
94,5.409744501113892,5.625323057174683,8,8
95,5.437792778015137,5.712586879730225,8,8
96,5.318304777145386,5.641095161437988,8,8
97,5.397444248199463,5.631825685501099,8,8
98,5.43675684928894,5.674253225326538,8,8
99,5.531549453735352,5.760472536087036,8,8
100,5.4435341358184814,5.709354400634766,8,8
101,5.567377090454102,5.634728193283081,8,8
102,5.639791488647461,5.721882343292236,8,8
