wire_number,mu_A,mu_B,n_A,n_B
8,6.269999980926514,5.6549999713897705,42,42
9,6.129999876022339,5.570000171661377,42,42
10,6.0899999141693115,5.440000057220459,42,42
11,6.009999990463257,5.4700000286102295,42,42
12,5.890000104904175,5.330000162124634,42,42
13,5.795000076293945,5.56000018119812,42,42
14,5.859999895095825,5.21999979019165,42,42
15,5.81000018119812,5.115000009536743,42,42
16,5.800000190734863,5.039999961853027,42,42
17,5.550000190734863,5.119999885559082,42,42
18,5.670000076293945,5.180000066757202,42,42
19,5.694999933242798,5.2099997997283936,42,42
20,5.739999771118164,5.105000019073486,42,42
21,5.7149999141693115,5.210000038146973,42,42
22,5.71999979019165,5.190000057220459,42,42
23,5.609999895095825,5.254999876022339,42,42
24,5.590000152587891,5.31000018119812,42,42
25,5.840000152587891,5.1499998569488525,42,42
26,5.7850000858306885,5.224999904632568,42,42
27,5.765000104904175,5.159999847412109,42,42
28,5.724999904632568,5.150000095367432,42,42
29,5.724999904632568,5.255000114440918,42,42
30,5.6499998569488525,5.215000152587891,42,42
31,5.710000038146973,5.229999780654907,42,42
32,5.670000076293945,5.115000009536743,42,42
33,5.684999942779541,5.0350000858306885,42,42
34,5.740000009536743,5.319999933242798,42,42
35,5.744999885559082,5.264999866485596,42,42
36,5.699999809265137,5.25,42,42
37,5.699999809265137,5.159999847412109,42,42
38,5.694999933242798,5.255000114440918,42,42
39,5.625,5.2149999141693115,42,42
40,5.6000001430511475,5.305000066757202,42,42
41,5.56000018119812,5.259999990463257,42,42
42,5.6549999713897705,5.264999866485596,42,42
43,5.684999942779541,5.300000190734863,42,42
44,5.420000076293945,5.230000019073486,42,42
45,5.5950000286102295,5.259999990463257,42,42
46,5.46999979019165,5.2799999713897705,42,42
47,5.4100000858306885,5.289999961853027,42,42
48,5.409999847412109,5.1600000858306885,42,42
49,5.365000009536743,5.275000095367432,42,42
50,5.460000038146973,5.329999923706055,42,42
51,5.424999952316284,5.3500001430511475,42,42
52,5.319999933242798,5.3999998569488525,42,42
53,5.390000104904175,5.365000009536743,42,42
54,5.305000066757202,5.340000152587891,42,42
55,5.369999885559082,5.394999980926514,42,42
56,5.4700000286102295,5.365000009536743,42,42
57,5.400000095367432,5.360000133514404,42,42
58,5.434999942779541,5.4649999141693115,42,42
59,5.430000066757202,5.349999904632568,42,42
60,5.489999771118164,5.355000019073486,42,42
