wire_number,A_baseline_json_value,B_reversed_shift_-1_json_value,A_baseline_mapped_wire,B_reversed_shift_-1_mapped_wire,A_baseline_residual,B_reversed_shift_-1_residual,A_baseline_summary_value,B_reversed_shift_-1_summary_value
1,5.4,6.25,1.0,480.0,-0.11760392886180782,-0.09539902808082257,5.2823960711381925,6.154600971919177
2,5.94,6.0,2.0,479.0,-0.45383689073644273,0.007195774242234165,5.486163109263558,6.007195774242234
3,6.03,6.3,3.0,478.0,-0.5413901333671571,-0.08948118050553511,5.488609866632843,6.210518819494465
4,6.33,6.62,4.0,477.0,-0.410848967595439,0.07162732022228191,5.919151032404561,6.691627320222282
5,6.17,6.62,5.0,476.0,0.3640101366355655,-0.0226298514403096,6.534010136635565,6.5973701485596905
6,6.41,6.27,6.0,475.0,-0.49477141921374823,-0.2981093985119898,5.915228580786252,5.97189060148801
7,5.99,6.61,7.0,474.0,-0.4948703865617752,-0.29760118544595393,5.495129613438225,6.312398814554046
8,6.13,6.11,8.0,473.0,-0.43221088335006463,-0.32139054882928964,5.697789116649935,5.788609451170711
9,6.03,6.16,9.0,472.0,-0.5423410815096252,-0.3728823364011271,5.487658918490375,5.787117663598873
10,6.13,6.36,10.0,471.0,-0.7055948721331164,-0.6606167814280042,5.4244051278668834,5.699383218571996
11,6.51,6.27,11.0,470.0,-0.5960604651634478,-0.572624476862222,5.913939534836552,5.697375523137778
12,6.57,6.25,12.0,469.0,-0.6559421013283391,0.298717886369098,5.914057898671661,6.548717886369098
13,6.52,6.3,13.0,468.0,-0.3295828518624653,0.05939720646479607,6.190417148137534,6.359397206464796
14,6.36,6.21,14.0,467.0,-0.6937877396321479,0.36191159825373465,5.666212260367852,6.571911598253735
15,6.17,6.21,15.0,466.0,-0.6842187910561401,0.11556850787197082,5.48578120894386,6.325568507871971
16,6.35,6.52,16.0,465.0,-0.653463235586929,-0.6332326061370468,5.696536764413071,5.886767393862953
17,6.57,6.49,17.0,464.0,-0.7853994383145873,-0.5659040930220876,5.784600561685413,5.924095906977913
18,6.44,6.57,18.0,463.0,0.22622990912801821,-0.5474915969603309,6.666229909128019,6.022508403039669
19,6.43,6.49,19.0,462.0,-0.23796366050725482,-0.555043001940061,6.192036339492745,5.934956998059939
20,6.08,6.85,20.0,461.0,-0.4302808056071381,-0.5715093707905421,5.649719194392862,6.2784906292094576
21,6.17,6.19,21.0,460.0,-0.08953439382080752,-0.33574999302318,6.080465606179192,5.85425000697682
22,6.35,6.19,22.0,459.0,-0.4207047157111372,-0.07030219906926405,5.929295284288862,6.119697800930736
23,6.32,6.3,23.0,458.0,-0.3788079625851566,-0.26156387038081785,5.941192037414844,6.038436129619182
24,6.69,6.4,24.0,457.0,-0.350466241357533,-0.4614627317788651,6.339533758642467,5.938537268221135
25,6.49,6.22,25.0,456.0,-0.44941681272641176,-0.3839751377963809,6.0405831872735885,5.836024862203619
26,6.43,6.36,26.0,455.0,-0.40866568177914253,-0.6476418969069497,6.021334318220857,5.712358103093051
27,6.4,6.22,27.0,454.0,-0.41277987574478914,-0.16210322398390353,5.987220124255211,6.057896776016096
