wire_number,baseline_json_B,reversed_json_B,reversed_shift_-1_json_B,baseline_mapped_wire,reversed_mapped_wire,reversed_shift_-1_mapped_wire,baseline_residual_B,reversed_residual_B,reversed_shift_-1_residual_B
1,6.54,5.96,6.25,1.0,481.0,480.0,-0.3853990280808226,0.19460097191917747,-0.09539902808082257
2,6.36,6.25,6.0,2.0,480.0,479.0,-0.35280422575776615,-0.24280422575776583,0.007195774242234165
3,6.51,6.0,6.3,3.0,479.0,478.0,-0.29948118050553507,0.21051881949446472,-0.08948118050553511
4,6.7,6.3,6.62,4.0,478.0,477.0,-0.008372679777718162,0.3916273202222822,0.07162732022228191
5,6.56,6.62,6.62,5.0,477.0,476.0,0.0373701485596909,-0.0226298514403096,-0.0226298514403096
6,6.61,6.62,6.27,6.0,476.0,475.0,-0.6381093985119906,-0.6481093985119903,-0.2981093985119898
7,6.27,6.27,6.61,7.0,475.0,474.0,0.042398814554046815,0.042398814554046815,-0.29760118544595393
8,6.41,6.61,6.11,8.0,474.0,473.0,-0.6213905488292895,-0.8213905488292896,-0.32139054882928964
9,6.4,6.11,6.16,9.0,473.0,472.0,-0.6128823364011273,-0.3228823364011273,-0.3728823364011271
10,6.1,6.16,6.36,10.0,472.0,471.0,-0.4006167814280035,-0.460616781428004,-0.6606167814280042
11,6.7,6.36,6.27,11.0,471.0,470.0,-1.0026244768622226,-0.6626244768622227,-0.572624476862222
12,6.1,6.27,6.25,12.0,470.0,469.0,0.4487178863690984,0.27871788636909844,0.298717886369098
13,6.17,6.25,6.3,13.0,469.0,468.0,0.18939720646479596,0.10939720646479589,0.05939720646479607
14,6.33,6.3,6.21,14.0,468.0,467.0,0.24191159825373454,0.2719115982537348,0.36191159825373465
15,6.43,6.21,6.21,15.0,467.0,466.0,-0.10443149212802894,0.11556850787197082,0.11556850787197082
16,5.94,6.21,6.52,16.0,466.0,465.0,-0.05323260613704761,-0.3232326061370472,-0.6332326061370468
17,6.27,6.52,6.49,17.0,465.0,464.0,-0.3459040930220869,-0.5959040930220869,-0.5659040930220876
18,6.21,6.49,6.57,18.0,464.0,463.0,-0.18749159696033058,-0.4674915969603308,-0.5474915969603309
19,6.08,6.57,6.49,19.0,463.0,462.0,-0.1450430019400608,-0.635043001940061,-0.555043001940061
20,6.4,6.49,6.85,20.0,462.0,461.0,-0.1215093707905428,-0.21150937079054266,-0.5715093707905421
21,6.1,6.85,6.19,21.0,461.0,460.0,-0.24574999302317924,-0.9957499930231792,-0.33574999302318
22,6.7,6.19,6.19,22.0,460.0,459.0,-0.5803021990692638,-0.07030219906926405,-0.07030219906926405
23,6.48,6.19,6.3,23.0,459.0,458.0,-0.44156387038081846,-0.15156387038081842,-0.26156387038081785
24,6.27,6.3,6.4,24.0,458.0,457.0,-0.3314627317788643,-0.36146273177886457,-0.4614627317788651
25,6.59,6.4,6.22,25.0,457.0,456.0,-0.753975137796381,-0.5639751377963815,-0.3839751377963809
26,6.05,6.22,6.36,26.0,456.0,455.0,-0.33764189690694923,-0.5076418969069492,-0.6476418969069497
27,6.05,6.36,6.22,27.0,455.0,454.0,0.007896776016096396,-0.3021032239839041,-0.16210322398390353
28,6.02,6.22,6.24,28.0,454.0,453.0,-0.09691100133467323,-0.2969110013346734,-0.31691100133467387
29,6.36,6.24,6.21,29.0,453.0,452.0,-0.09947415433276685,0.020525845667233256,0.050525845667233504
30,6.21,6.21,6.43,30.0,452.0,451.0,-0.40511947221026556,-0.40511947221026556,-0.6251194722102653
31,5.94,6.43,6.24,31.0,451.0,450.0,0.21534600691427297,-0.27465399308572636,-0.08465399308572685
32,6.03,6.24,6.21,32.0,450.0,449.0,-0.3907931926270436,-0.6007931926270436,-0.5707931926270433
33,6.38,6.21,6.27,33.0,449.0,448.0,-0.1648626272765492,0.005137372723450717,-0.05486262727654889
34,6.11,6.27,6.43,34.0,448.0,447.0,-0.15431253269872958,-0.31431253269872883,-0.474312532698729
35,6.62,6.43,6.67,35.0,447.0,446.0,-0.5639838623521145,-0.3739838623521141,-0.6139838623521143
36,6.27,6.67,6.3,36.0,446.0,445.0,-0.08894747910051848,-0.48894747910051883,-0.11894747910051873
37,6.56,6.3,6.17,37.0,445.0,444.0,-0.3343635054764933,-0.07436350547649351,0.055636494523506386
38,6.38,6.17,6.05,38.0,444.0,443.0,-0.6806458304690528,-0.47064583046905284,-0.35064583046905273
39,6.0,6.05,5.85,39.0,443.0,442.0,-0.5663488087677617,-0.6163488087677615,-0.41634880876776137
40,6.64,5.85,6.38,40.0,442.0,441.0,-0.4843460643190536,0.30565393568094645,-0.2243460643190538
41,6.17,6.38,6.35,41.0,441.0,440.0,-0.07408426014997982,-0.2840842601499798,-0.25408426014997954
42,6.35,6.35,6.11,42.0,440.0,439.0,-0.4284827918097047,-0.4284827918097047,-0.1884827918097054
43,6.06,6.11,6.19,43.0,439.0,438.0,0.5600824749831403,0.5100824749831396,0.43008247498313956
44,6.69,6.19,6.06,44.0,438.0,437.0,-0.7502065945634637,-0.2502065945634637,-0.12020659456346294
45,6.08,6.06,6.1,45.0,437.0,436.0,-0.33744859401564664,-0.3174485940156462,-0.3574485940156462
46,6.35,6.1,5.96,46.0,436.0,435.0,0.013383201161136782,0.2633832011611368,0.40338320116113646
47,6.24,5.96,6.24,47.0,435.0,434.0,-0.7017459760699438,-0.4217459760699436,-0.7017459760699438
48,6.22,6.24,6.28,48.0,434.0,433.0,-0.19757759688457277,-0.21757759688457323,-0.25757759688457327
49,6.28,6.28,5.97,49.0,433.0,432.0,0.17277199111306185,0.17277199111306185,0.48277199111306235
50,6.95,5.97,6.02,50.0,432.0,431.0,-0.3055829540221975,0.6744170459778029,0.6244170459778031
51,6.44,6.02,6.1,51.0,431.0,430.0,-0.9544023264804036,-0.5344023264804028,-0.6144023264804028
52,6.43,6.1,6.27,52.0,430.0,429.0,-0.5069110013346734,-0.1769110013346733,-0.34691100133467323
53,6.43,6.27,5.99,53.0,429.0,428.0,0.12683257963892647,0.2868325796389266,0.566832579638926
54,6.46,5.99,6.08,54.0,428.0,427.0,-0.9759628235238802,-0.5059628235238804,-0.5959628235238803
55,6.35,6.08,6.33,55.0,427.0,426.0,-0.027575895982917764,0.2424241040170818,-0.0075758959829181904
56,6.92,6.33,6.35,56.0,426.0,425.0,-0.5925841423113534,-0.00258414231135351,-0.022584142311353084
57,6.75,6.35,6.43,57.0,425.0,424.0,-0.7987825835817759,-0.39878258358177554,-0.4787825835817756
58,6.05,6.43,5.86,58.0,424.0,423.0,0.09762132790680944,-0.28237867209319045,0.28762132790680894
59,6.85,5.86,5.96,59.0,423.0,422.0,-1.0067004901864776,-0.016700490186478234,-0.11670049018647788
60,6.27,5.96,6.35,60.0,422.0,421.0,-0.1365792162516959,0.17342078374830372,-0.21657921625169596
61,6.67,6.35,5.92,61.0,421.0,420.0,-0.6121571316956373,-0.29215713169563706,0.13784286830436265
62,6.14,5.92,6.19,62.0,420.0,419.0,0.07758504028467161,0.29758504028467136,0.027585040284670903
63,6.38,6.19,6.03,63.0,419.0,418.0,-0.6523728977634136,-0.46237289776341406,-0.3023728977634139
