wire_number,A,B
1,6.248736296170636,6.473017300444336
2,6.228370679644534,6.929317476031493
3,6.337122557780215,6.770484183129471
4,6.909327476431522,6.973951022418544
5,7.93857937729155,6.021542133646583
6,6.88904792713742,6.787598635765659
7,6.992830234152896,7.367168034182668
8,7.019640467874282,6.517659454292114
9,7.113114428247942,7.036484769263869
10,7.332550095227938,6.481957849249446
11,6.805139589271863,7.287342007737236
12,6.875625995494661,6.989603616819476
13,6.586250653547409,6.680976818692794
14,7.31510529360561,6.313074461056869
15,7.328752651352324,6.322129042635961
16,7.249847276792351,7.247212592262615
17,7.265578232526009,6.827471786492358
18,6.425886679258647,6.701025871185659
19,7.431118478237482,7.355163567717728
20,7.354245170781772,7.37128070147012
21,6.47290206949827,7.5923439788549825
22,6.986155166834661,7.33317794597507
23,7.1142220453493366,7.320678113112102
24,6.618935433721068,7.098824174516752
25,6.722790768193202,7.055192354148026
26,7.30003435569051,7.5935510312527414
27,7.223564282077626,6.599369744281757
28,7.051369675771378,7.486006916288915
29,6.809212335711457,6.727013149089705
30,7.131613738888207,6.991111483941849
31,7.265578615731727,6.993390379898319
32,6.988307398581203,6.689091890951986
33,7.683784124001011,6.721461147906065
34,6.927866170860335,6.353232062060166
35,6.731143555796247,6.7262921205175425
36,6.691332345897561,6.84030596849858
37,6.4382384254014235,6.1785852880619
38,6.542595992053947,6.062864889917348
39,6.710101019098298,6.270030156831997
40,6.968904789826357,6.576283234184916
41,7.480119145738805,7.103575372186969
42,6.690537024046763,6.897844598173705
43,7.069024045320682,6.951414854708914
44,7.363198434810662,6.784871765750939
45,7.069587532088126,6.9967256616639135
46,7.030636630203995,6.755653893013057
47,6.9280470788906525,6.991111483941849
48,6.948559258850996,7.382502736547829
49,7.1394543993837445,6.727011866803671
50,7.489157458337485,6.791975162949461
51,6.727011837221521,6.731051107080241
52,7.438229393814985,6.727029446104382
53,6.9457398491566265,6.9363256141089735
54,6.917501155021745,6.788165065931177
55,7.4663410676681865,6.1462366572559635
56,7.739346418272059,7.26559109161692
57,7.3835963354145004,6.47714467133981
58,6.913908015981931,6.811529391105413
59,6.7601190279467955,7.089034728187214
60,7.266706168647317,6.8821561067804415
61,7.0474454821096755,7.048436065798839
62,7.141782624387038,6.7233825820519195
63,7.6414205723221595,6.913070708407232
64,7.129752584622121,6.727029009341964
65,6.970364376504479,6.967192233938303
66,6.708650257475032,6.690410769819613
67,6.727199617300077,6.29928464065249
68,7.596047015824694,6.637077576169544
69,7.117748918559339,6.627543035978455
70,7.55051371952246,6.953432009367561
71,7.551861689720697,6.727014923035432
72,7.666969716747717,7.116796861373427
73,7.450500478265876,6.772625498235588
74,7.489611667467695,6.169630183683931
75,6.727011837221521,6.654218133427841
76,6.651768103429521,6.457158790481065
77,6.991110947725219,6.081037848911258
78,7.568542142977369,6.727012258014287
79,7.520686627861903,6.94561215133633
80,7.672149381280651,6.536363595184361
81,7.6143467278374555,7.368726234575649
82,7.546008921661664,6.752872371905071
83,6.902531207124145,7.0291837556660095
84,6.969162761344488,6.818576319532005
85,6.599327589881446,6.877284172462206
86,7.018970252429783,6.766769169912808
87,6.4945882355745645,7.400583018416267
88,7.4419319485311615,7.39015659728644
89,7.174948460950515,6.727012847124179
90,7.092971981159843,7.717273259223199
91,7.592131509244827,7.5506407746212245
92,7.663506653691371,7.443119954306887
93,6.842937718295516,7.774085240310928
94,7.077409836367522,7.610625645836049
95,7.520543724881063,7.5030014155214735
96,6.744350188692491,7.634887859710584
97,7.365058705529885,6.822033796284678
98,7.029994807615959,6.991585979241951
99,7.052948722646002,6.751246248167769
100,6.991107623559636,6.624104333334868
101,6.643631582195601,6.917196294946376
102,7.032250410510662,6.770364811752693
103,7.429762826401621,6.780467612495045
104,6.58191363472564,6.751026841909844
105,6.657252825179944,6.990919182656464
106,6.690410227784304,6.717816150536839
107,6.862579394231345,7.06348373389469
108,7.813366069149297,6.876411289122018
109,6.727452312296364,7.179402166647809
110,6.6360404528031465,7.559293199459574
111,6.683700043613745,6.722196750927483
112,7.223918822062817,6.825316180481076
113,7.733350150934307,6.761150825925681
114,7.0382468088051,6.934098053481166
115,6.991105371409836,6.727011837221521
116,7.265575268302916,6.781711892711905
117,7.325474619037938,6.723477642371835
118,6.643427142428138,7.1616542215908545
119,7.210026879255193,6.799477218699437
120,7.550817760978439,6.991110988972651
121,7.6485784865731095,6.888080144701115
122,7.155218940384703,7.197898978491255
123,7.705637206450014,6.942311168864893
124,7.265578232526009,7.299616631903728
125,7.265575605131034,6.95453599404747
126,7.297447411478634,6.993539826714386
127,6.472894884552661,6.865224569002347
128,7.417999305242383,6.960332282962255
129,7.316981997915463,6.99316841926041
130,7.278789700989119,7.26561430418054
131,7.200098123846332,6.946238043786257
132,7.159467826065123,7.319454833332028
133,7.270859644912769,7.037309587090798
134,7.765834747257856,6.956972435504427
135,7.363039529838694,7.117841996816716
136,6.727011837221521,6.925193174899821
137,7.339025370904982,6.856167812519925
138,7.152783650154883,7.037534694601542
139,7.4972628759110505,6.967801680587345
140,7.683808594590522,7.019511889451648
141,7.2647963214488325,7.032441335761132
142,7.484185711973854,7.1443438890066
143,7.09036823932115,7.1721954308099845
144,7.025518924672024,6.939443718258121
145,6.526807234717213,6.896929273056311
146,7.389452208327392,6.727752783499744
147,6.954212098495627,7.550832149581925
148,7.167139165167968,6.973974326867694
149,7.305917387983162,6.598499711891905
150,7.315039687403907,7.12624631790559
151,7.253913132348223,7.072026941915396
152,7.675895843241839,6.835304103723521
153,6.607381722626958,6.991111483941849
154,7.538767845623481,7.08060574881385
155,7.186996180939429,7.04536219276795
156,6.949182129205599,6.852857195947264
157,6.636042512639705,6.854255800378097
158,7.1547705057917925,6.9907905083287725
159,7.47097247926613,7.146116091579085
160,6.809961093314977,7.287031525882169
161,6.493258490127669,6.974789791732304
162,7.239330380741709,6.60233242536872
163,7.526867569137699,6.991110840481896
164,6.789709415758551,6.9904085215978045
165,6.636049319058432,6.953622137093765
166,6.460594742035029,6.990554365951839
167,7.025995583698745,6.73847036081054
168,6.455793500963378,6.913858439272484
169,7.423135206258318,6.977373107735673
170,7.038085039124405,6.926485273205497
171,7.009042816932568,6.727011837221521
172,6.726851245629646,6.808584973939846
173,7.098672387863147,6.8137989679681175
174,6.596334519451977,6.9648505005357055
175,6.934452345917935,7.090522689581693
176,7.013418013152188,7.08640281159568
177,7.07171801420887,7.0411825360697415
178,6.991111483941849,7.428830579284146
179,6.691534959951509,7.175434962421851
180,7.450935993866807,7.293813749003285
181,7.0130539217094,7.169313828131604
182,7.592571108132603,7.317825002561671
183,7.528059395651012,7.628501650852541
184,7.411743554087927,7.097425000703229
185,7.143764516784305,7.544603113794677
186,6.58430353725747,7.411439600680967
187,6.713802781046248,7.388503121339912
188,7.358202937495276,7.284094235870803
189,6.990225756730558,7.787008783955555
190,7.379217834985957,6.9602324218936
191,6.484717819969226,6.727640376018514
192,6.726822190071318,6.933737677273303
193,6.600707055337029,6.990762732995564
194,7.508516551764034,6.829097985201744
195,7.1176989235820205,7.226597485623109
196,6.416234507278392,7.285178895929255
197,7.6736273834025415,6.988474767868201
198,6.840032248748137,6.731273178799137
199,6.71297935229797,6.881069411538492
200,6.325050428216603,6.98865897265783
201,6.96783546096011,6.8921512851572215
202,6.881474696162235,6.905141645137109
203,6.800018709138705,7.059752779909537
204,7.030316052060223,6.991111483941849
205,6.88893293513503,6.923066063075322
206,6.869613249843102,6.984194842638288
