wire_number,A,B
1,5.580816114594788,5.5909478319022545
2,5.141998643759648,6.00131965463785
3,5.339233451668605,5.288420035253801
4,5.288104121269507,5.027333884053748
5,5.369378457253202,5.339233873412833
6,5.339259318678697,5.221844949165363
7,5.339233451668605,5.11309974687652
8,5.166114737657194,5.124705538531191
9,5.166204503811803,5.522447923266627
10,5.11196867147005,5.149740134549953
11,5.137540100244211,5.1914609602607635
12,5.256472736948044,5.365880524401923
13,4.998751802289489,5.113583737193409
14,5.339145889894533,5.305030121875495
15,4.943461690343319,5.635483856153846
16,5.204281312479865,5.548849642386583
17,5.339233873412833,5.365108366843886
18,5.217775020105853,5.2190394511808424
19,5.0962235482346605,5.339233451668605
20,4.943463236295284,5.64192517270514
21,5.2807124785334,5.453049310906768
22,5.312411033265054,5.2384990084989544
23,5.192124150712397,5.548849642386583
24,5.007724779726612,5.386150238457256
25,5.548849642386583,5.548899085973488
26,5.146545561529305,5.548849642386583
27,5.254568943320885,5.398718429448295
28,5.2667626477110545,5.498254840035552
29,5.339519759582185,5.498350992995102
30,5.346929962508059,5.270958488311071
31,5.684509784992559,5.397197841113965
32,5.305348222647252,5.588358561010694
33,5.51865786748763,5.548848209242422
34,5.4592797442183105,5.558215892992508
35,5.3808620448844575,5.701641717600646
36,5.513634674361053,5.492284019702399
37,5.3912611131080865,5.444029064359999
38,5.310398513595959,5.4970915129164055
39,5.99308854444685,5.575854336921001
40,5.3481804233931385,5.575765841025728
41,5.339004185939183,5.570601828165506
42,5.584866251524944,5.323186491239958
43,5.6040529675576085,5.711623803036443
44,5.738443800089783,5.854661453601255
45,5.548791313568733,5.76670879523283
46,5.37106484411456,5.630137761032815
47,5.528060551419641,5.582885251386529
48,5.339233451668605,6.08595827529921
49,5.339233451668605,5.960477141956513
50,5.329670008415417,5.629836629360528
51,5.399465656313512,5.908227521015338
52,5.514523292765895,5.711883056458153
53,5.548834573908657,5.931669117256275
54,5.339270115362312,5.766694915670139
55,5.339060069341753,5.793946448469761
56,5.502239129887212,5.76581147934859
57,5.522427335163726,5.504836226185478
58,5.458528227352936,5.658791545076352
59,5.13700919679124,5.807558037415431
60,5.041545101994977,5.792379588880485
61,5.305348970031806,5.855559767632601
62,5.548849642386583,5.630577779989545
63,5.398268664196496,5.548900949069475
64,5.428435632824408,5.57531820047241
65,5.393029750753985,5.879360252291227
66,5.3392276409720605,5.629603207329961
67,5.3133229139785865,5.75753454408701
68,5.353049271131544,5.5758447115217304
69,5.548703319322897,5.8127277403209385
