wire_number,A,B
8,6.121042950425195,5.137758945245284
9,5.96152633495566,5.095998213151599
10,5.756429838485336,5.114500528220134
11,5.777845418469421,5.164287077500228
12,5.39650541732677,5.016165259701355
13,5.583262095505798,4.945753023614137
14,5.389063785413954,4.987683845809206
15,5.339441319057691,4.969918477837298
16,5.3363477367378005,4.536866368109365
17,5.270997107988265,4.114340440253624
18,5.173194673968364,4.924361622436371
19,5.343747139426151,4.95858228953599
20,5.103735475621449,4.793982894535767
21,4.763095359965936,4.869317300566104
22,4.94126674874324,4.788489010988443
23,4.941634781641951,5.0004846388252435
24,4.861237210200009,4.940671057838795
25,5.003242558578373,4.897622909500697
26,5.140039717244806,4.918227244364944
27,5.146273312006265,5.124361329341271
28,5.1375403998694065,5.014429727569093
29,4.95028193174218,4.906804300254686
30,5.137541749356224,5.098089281554258
31,5.1106585326092375,4.993872771403279
32,5.323775395286521,4.786302591773838
33,5.356921339598461,4.545653446603234
34,5.349257764205527,4.883220898663583
35,5.356653859778108,5.006213540539389
36,5.303901029707417,4.906389302141919
37,5.450913781502552,4.650255954319996
38,5.22386746668711,4.903093885780737
39,5.015285368988908,4.64599166985392
40,5.137508464189673,4.692680127416248
41,5.937237206465399,4.462537875600197
42,5.74588973406902,4.3904214925231
43,5.693327485009841,4.423223051404712
44,5.766720597576229,4.400056446218681
45,5.7119232303903535,4.560256530365669
46,5.925809339167562,4.5770276758248025
47,5.526544432627049,4.569526807403065
48,5.528991327978264,4.923454325126002
49,5.548849007654262,4.729529696206068
50,5.320557601277935,4.864792593761538
51,5.373889511671281,4.557881239457961
52,5.3392339388716215,4.738762685825413
53,5.522812707816821,4.648309129319321
54,5.532356009005081,4.6313912085545335
55,5.441800748736346,4.782275351038188
56,5.2983250333860035,4.9434617709846265
57,5.232329395196816,5.544717523591735
58,5.352048865256943,4.9441310059835395
59,5.568565925856855,5.149684230192882
60,5.615147713329149,4.9800532411515315
61,5.406308236872995,5.339233324299084
62,5.548848497298807,4.808143421315528
63,5.563025914192015,4.7388043360042875
64,5.423217346278847,4.756721374363915
65,5.754681746820007,4.5770285522881435
66,5.411013780204634,4.908030570003372
67,5.548543803375647,4.94346091724712
68,5.533742501189882,4.9227487803672085
69,5.521048614251365,4.7219466956930445
70,5.326909674069676,4.839658334574944
71,5.363835581671538,4.934922169678777
72,5.596194981406145,4.841083941374075
73,5.635734863786079,4.756717835068433
74,5.355232539396825,4.645729133831089
75,5.3552129792469945,4.721917526506451
76,5.544176104240177,4.8364895263868375
77,5.424515847996765,5.340830507166176
78,5.44080130467487,5.4403901327843736
79,5.304848625976606,5.13453706105616
80,5.500952264821187,5.2247877463455685
81,6.051359177970991,5.07323363893242
82,5.867999313842893,5.021150712560554
83,5.773207816901168,5.106516282297185
84,5.339352782042012,5.281330468461451
85,5.561607926474527,4.991431772545554
86,5.548849685124395,5.286523658976563
87,5.724887170296244,5.3391713901095965
88,5.548761737569698,5.321816645328295
89,5.2838382712948055,5.138061261993841
90,5.249784111228304,4.83468357628849
91,5.44534496298283,4.9263395725402495
92,5.3610977900077295,5.567490924791335
93,5.339233505931935,5.4655796372241685
94,5.429170959528065,5.430555281503405
95,5.447488921625671,5.313096113129867
96,5.395677895617455,4.999471863663749
97,5.510996817054715,5.017127707743935
98,5.371151028851568,5.237093564191659
99,5.3392332748751805,5.137541239644192
100,5.73923970733058,5.13753843662912
101,5.631808028554887,5.182118358668481
102,5.737062969870341,5.1577262679758835
103,5.607844434010243,5.339234301016155
104,5.766692964362939,5.0722275366984055
105,5.570585296817138,5.100809034150129
106,5.812979247388703,5.548849455018307
107,5.636917022654948,5.11699693165372
108,5.496443026475994,5.1657648929187605
109,5.671290879140334,5.362097304664153
110,5.793058875982321,5.1375414487293725
111,5.579799890993515,5.096185889953475
112,5.548849626861784,5.548849321362277
113,5.584866729057013,5.2940768136325795
114,5.5488456991103865,4.943461710386553
115,5.5227112218278345,5.122473530176698
116,5.552487816625151,5.49912366695191
117,5.550511894288849,5.307131360268556
118,5.5488494021536905,5.390660732642601
119,5.6369013241429995,5.339233987650277
120,5.54884978344813,5.3395938693106855
121,5.431107037149441,4.89393948246446
122,5.5488490900963,5.339707530481843
123,5.443112165708029,5.365214270776806
124,5.401257077571549,5.436629620299795
125,5.57592777816923,5.437311620053131
126,5.571913434234931,5.5757964353533245
127,5.577767734503935,5.3558373219043895
128,5.7820811768399665,5.575851841594556
129,5.518666118598923,4.946754285135127
130,5.579724066016151,5.522464788204829
131,5.5488645784014,5.137540994312088
132,5.393859729433996,5.288506148664645
133,5.339233088716959,5.166117074669074
134,5.339236687747316,5.127366409860496
135,5.592080550489299,5.194846446712595
136,5.339233485451906,4.918606722628036
137,5.137541427867214,5.6028674945186765
138,5.137541272302482,5.137540494135448
139,5.407573058721838,5.398237105496417
140,5.1000569943015295,5.730095964924847
141,5.137541491140508,5.13754092769055
142,5.137540259071319,5.838380888157178
143,5.179521548740904,5.566417508797116
144,5.339232469589921,5.137538262400104
145,5.2677739771154695,5.54884969181612
146,4.916828293345547,5.196987649946233
147,5.223699754193129,5.252976110829362
148,5.13161213227303,5.3392337577312885
149,5.40866017698549,5.3053491792704115
150,5.548850090196774,5.1561046574543985
151,5.521365495418727,5.339172115903683
152,5.767687300278636,5.339222255049226
153,5.548872379416337,5.548861783322175
154,5.5130937694743345,5.3392337154584055
155,5.548849444133107,5.2706460028270925
156,5.548849444133107,5.127916002135614
157,5.548849444133107,5.518658041100172
158,5.452908036004327,5.166142980692874
159,5.548849444133107,5.246986419323075
160,5.6234676614792285,5.086392086022489
161,5.548720447507629,5.289148660577727
