wire_number,A,B
8,6.249089416257647,
9,5.630583560804039,
10,5.5593191707783625,
11,5.487443863399517,
12,5.656708574765087,7.495225205248621
13,5.767435135098508,9.7948378580085
14,5.854741396492316,9.057277870508747
15,5.575462535218742,8.718855605275056
16,5.601890901890208,8.468698123558061
17,5.7687294912112606,8.027359756063769
18,5.8368017051189005,8.296183989743875
19,5.220240986892544,7.948122513566458
20,5.602974093058635,6.710986817332555
21,5.955788982447911,6.533607563624288
22,5.782763342042935,7.283719534291503
23,6.016818761013722,7.338822141042289
24,5.993238336607051,7.288817271569212
25,5.989753990168452,7.226355609810173
26,6.20759478404277,7.481206316170357
27,6.269090543107203,7.253389516130475
28,6.017376928110672,7.2655796780067465
29,5.970337139027218,6.991112777121187
30,5.993085789810627,6.991111359355983
31,5.74356468882871,6.991171223289551
32,5.854986373514073,7.276053084112304
33,5.905121032006318,6.847374332370009
34,5.8426782814185065,6.727018796569486
35,6.173523962806793,7.213212877084547
36,5.766693752863767,7.26553963694888
37,5.688724142294737,7.2655834168590205
38,5.648367733576253,7.550776673065662
39,5.832071942496011,7.20681406807033
40,5.769972227814547,7.006531388145995
41,5.464135164018503,6.541906059178343
42,5.137542065770403,6.605641397301428
43,5.165103130224237,6.626341752710774
44,5.289310527668735,6.767594691877916
45,5.339199967153911,6.940650979830042
46,4.927495904605713,6.603379964883497
47,5.606685008846311,6.7270016071039995
48,5.342182456083477,6.9910629176059444
49,5.568843777044105,6.4729420995099085
50,5.240934396121576,6.472567443777108
51,5.695830774498817,6.62650517725513
52,5.500306967608131,6.553029813632979
53,5.548842148193413,6.72216940175098
54,5.4838143891061595,6.727011761577065
55,5.748364150502667,6.4728916137372625
56,5.734523728640875,6.472018568264704
57,5.322277257296288,5.766694026787472
58,5.588254472230742,6.42796355660789
59,5.610664561410602,5.823793410410416
60,5.548849035848725,6.472878871755271
61,5.496591572514164,6.402359690010539
62,4.943462355403402,6.472922328764663
63,5.1346936533248435,6.53335027946655
64,5.3864610194343205,6.4728918101512205
65,5.468077625124893,6.390762190978556
66,5.334573069568834,6.481244266413402
67,5.3347494860788425,6.020015943759454
68,5.476949585095903,6.379043222105582
69,5.339141772651085,6.4710259952822105
70,5.339178264877749,6.652665080199929
71,5.359238972324975,6.437680586023766
72,5.339233675023471,6.228371802778257
73,5.268196733086576,6.256653628810447
74,5.438382923238138,6.58765880327522
75,5.319301565856449,6.2998315776548495
76,5.360722985715337,6.0933679876876745
77,5.478832420431599,6.028812437260183
78,5.101034526439864,5.9930852152816545
79,5.428684414028787,5.822570217703371
80,5.107559746633988,6.220043830903455
81,5.369784199019407,6.472895882468115
82,5.362324802529278,6.228371701349228
83,5.339231185365296,6.256083258795951
84,5.34064990228301,6.228372647137941
85,5.687525386151482,6.228370855886776
86,5.45518713784741,6.237506145363889
87,5.326245272082038,6.097097305044526
88,5.847629807604192,6.228371303668033
89,5.515360509473045,5.993085204061835
90,5.590370650122954,6.228371928312044
91,5.548848970537501,6.257109491615019
92,5.583805315322414,6.17763210668725
93,5.485544464389912,6.215230091691483
94,5.494151255550752,6.031197572225822
95,5.634491365642974,6.251325185013338
96,5.6029171003099485,6.1992744267168325
97,5.529402926882722,6.115277099031171
98,5.779154292890934,6.164927365881619
99,5.443523393903488,6.06357499952019
100,5.549367021103132,5.912618856246191
101,5.359952003134353,6.2189834819004135
102,4.404124035287774,6.472885030773657
103,5.574908619553658,6.472897834822337
104,5.572568795982178,6.325357213419407
105,5.767129992470455,6.117878828452577
106,5.6148799359663695,6.0546236806158875
107,5.962551130366996,6.230768255855946
108,5.744566418556166,6.071012147526537
109,5.816621735047092,6.321516757219605
110,5.821298428094113,6.33275169488466
111,5.993085469350307,6.093631980974521
112,5.8140338438097166,6.025310167390724
113,5.775675076215061,6.19869785826
114,6.350197331199049,5.966310842914152
115,5.964548181057067,5.992365510269666
116,5.714720490497223,6.233941563503684
117,5.872776159646119,6.289655738453959
118,5.741959954604947,6.194482464741574
119,5.960477133264037,6.309870727696374
120,6.003931093031627,6.411978735928669
121,5.993085346952269,6.228371639149508
122,5.794005984309784,6.155314169816798
123,6.1616767415497105,6.322068684965808
124,5.836191782037168,6.472570195876846
125,5.641687132607115,6.268798775406075
126,5.525608265983745,6.262894072210938
127,5.388682772041693,6.262630393434102
128,5.584376386418133,6.2603817078853785
129,5.31353897724386,5.9930871580724405
130,5.5904166179092165,6.064124621783537
131,5.545165919035288,6.166287566064
132,5.504603010026026,5.959424335501071
133,5.46241708833775,6.2283693464566365
134,5.416017632497304,6.569046014117435
135,5.592084078468327,6.169115027591512
136,5.4786029167243955,6.258954506902137
137,5.682600265213072,6.544507424944956
138,5.195863995257852,6.126984997403474
139,5.693341234490108,6.19265532208621
140,5.548850552059603,6.118389668734387
141,5.3984507516634075,6.1979405296903165
142,5.596121429913774,6.2283713424247
143,5.501526093680713,6.093653342979426
144,5.584810163049806,6.1606654444743105
145,5.349375201687609,5.99308611194002
146,5.5482545792203375,6.128843481675362
147,5.659413372406924,6.160528117845167
148,5.7883666125146345,5.993084860141906
149,5.656926581129308,6.19448230372682
150,5.548845189879932,6.228374395761527
151,5.598928379012729,6.228372049781108
152,5.657246667494234,6.919927918521804
153,5.548853328777726,5.919810504307603
154,5.621693504296979,6.298040068342326
155,5.548974938490631,6.043779005792811
156,5.440825693935221,6.19764232161778
157,5.617987475101951,6.090713317639907
158,5.766696909050597,6.149768636578214
159,5.3801047563317,6.188907115795691
160,5.548849752041638,6.22839863758504
161,5.657752396610103,6.0217764050348785
162,5.305362575413459,6.216979579994727
163,5.443537156015993,6.264813534046423
164,5.339233530788041,6.228735616850843
165,5.258092097172621,6.228372049781108
166,5.5488814743245545,6.151071418605179
167,5.169838538236424,6.032035009561846
168,5.137541488221523,6.160660673089776
169,5.271594624396806,6.228334826950945
170,5.271039331986869,6.229180852709379
171,5.638874975712557,6.374514287918641
172,5.478583826235477,6.140607893692916
173,5.1137374379864085,6.19448405841872
174,5.243496919728921,6.33651479985033
175,5.548849752041638,5.993149561386241
176,5.3392314423794165,6.309159441222531
177,5.339233530788041,6.228372049781108
178,5.315529636770107,6.135666725134747
179,5.495728850144344,6.228372049781108
180,5.45004063887165,6.180762954710958
181,5.400412295988676,5.9604749839364874
182,5.382599158758457,6.472513462534282
183,5.369536195571321,6.414420915241681
184,5.16552668485747,6.22871300356895
185,5.20563006217801,6.422136899828619
186,5.579716903159729,6.228372049781108
187,5.305689523069768,6.200103856299655
188,5.578504271989169,6.402248210603037
189,5.439365031437457,6.293282112084128
190,5.258067600498362,6.242070387946579
191,5.506584294643572,6.048458361117153
192,5.780071213239755,6.15257382358
193,5.54922488980878,6.472888537617187
194,5.548849752041638,6.5451071082190815
195,5.637826686505359,6.561274876804974
196,5.657335880552771,6.427461375999733
197,5.478362246396344,6.472938960335304
198,5.763161870635578,6.473226951560532
199,5.69305120944088,6.472895114482326
200,5.620999428042421,6.581159243338133
201,5.803826903299147,6.55935682229795
202,5.519068998628617,6.653812545336785
203,5.7673545587640715,6.228373646351066
204,5.368924071214261,6.54590114723707
205,5.550031415070166,6.7926096282764545
206,5.45904593268831,6.229664947456138
207,5.768876629886262,6.473518736054957
208,5.371131562775927,6.194486203042486
209,5.804291128991245,6.295450245864403
210,5.584874451118451,6.07697673218708
211,5.583764687876624,6.332975764920365
212,5.671067313453818,6.228379869717552
213,5.460334846181653,6.2285659204865045
214,5.584866548257512,6.277232446311915
215,5.766694304571824,6.349870094290294
216,5.574110846163137,6.320004938656081
217,5.486535331767439,6.120962584580767
218,5.548849752041638,6.000654190256394
219,5.989942169248276,6.276327435163438
220,5.577138458540964,6.33065808503956
221,5.766694304571824,6.420287227491657
222,5.555258885374444,6.4059585156963355
223,5.89731872326444,6.3022668443770575
224,5.830770148144261,6.443279157601756
225,5.44942086837268,6.148911749589042
226,5.310146945867409,6.837258732271167
227,5.804293368667031,6.0319851800519135
228,5.823152690550388,6.299643121761061
229,5.407216387592568,5.993087619449531
230,5.699324026048527,6.168337746041395
231,5.550059410947835,6.074092077624428
232,5.766693867156976,6.262517150554753
233,5.476231325437944,5.772737415185904
