wire_number,A,B
1,6.215653799717403,7.61727087149254
2,5.729421782267375,6.895804866736353
3,6.047825134775705,7.0470819330400785
4,6.328121444309001,7.102588451675624
5,6.763885651704734,7.025771350900049
6,6.7108764336963125,7.10277119025695
7,6.587549935318657,7.042114514895622
8,6.482630091674616,7.270292251770629
9,6.352531155057612,7.804790993390005
10,6.4617009275691695,7.013188602316732
11,6.8940911911862095,7.075073339652466
12,6.679594055393767,6.921789448288329
13,6.804075749539224,6.922518270776925
14,6.448404727514949,6.999072274610738
15,6.322306743789991,6.978496754520564
16,6.2661116504743095,6.7262916391430165
17,6.3531480038442485,7.042253821090895
18,6.606507537825941,6.837083966758816
19,6.274836917226934,6.942434728613277
20,6.514010551547139,6.89360211383155
21,6.55014975829777,7.364343650373817
22,6.218926901166358,7.184804770224277
23,6.346813134597635,7.15452165693421
24,6.693861304689143,7.695639174156739
25,6.393310330235883,7.167103832810311
26,6.254417213089722,7.292815476279295
27,6.468863779094453,7.224164295969671
28,6.293967032536415,6.919086942846228
29,6.568483617358963,7.3425252623148305
30,6.508478914179534,7.116057598788177
31,6.3752035713913155,7.155867543070121
32,6.521025742638913,7.422542887415244
33,6.601968898498463,7.290654980822561
34,6.568420023539445,7.240855294861043
35,6.540966694258342,7.2207695576557365
36,6.50916421417745,7.357308633071555
37,6.64699488213083,7.357739085491699
38,6.416244673476873,7.215380869617551
39,6.502757104316337,7.412916138427513
40,6.728456282859163,7.315546889141314
41,6.504023080392251,7.381341445083514
42,6.413010601458192,7.478378144113522
43,6.368593999048451,7.433430481403024
44,6.572852433097494,7.234151796889458
45,6.612048282078013,7.215538899180859
46,6.479721645523513,7.0362153328235655
47,6.535999912529067,7.067490336539796
48,6.3458198734395435,7.234607557792754
49,6.400614630340461,7.07015178951454
50,6.534051900404503,7.017954459618447
51,6.309285517049633,7.443356380763336
52,6.494674620599269,7.495308592235096
53,6.413338784306454,7.22438464051557
54,6.452838203842106,7.1464555107300685
55,6.5485694297609465,7.67385051669546
56,6.426776137520338,7.457237856039553
57,6.323038024553078,7.396766289564483
58,6.477408931369843,7.286794679573212
59,6.458678360669261,7.265029707856472
60,6.669960747088128,7.444459313777714
61,6.54968187964493,7.173863361313922
62,6.5721983702521305,7.746231840972038
63,6.647147134766606,7.262989492776072
64,6.536808342498016,7.136907647002179
65,6.614847842252559,7.079048776319684
66,6.689668939368453,7.329051310372058
67,6.604268840020514,7.438050185118928
68,6.471038714736298,7.46573038780096
69,6.512184547177462,7.237447755442575
70,6.5668422365871075,7.246502549677263
71,6.487647365088002,7.179151052826115
72,7.056134756595179,7.233007487162481
73,6.229755108927171,7.18215817162605
74,6.29189529193373,7.425576879120894
75,6.441330126967627,7.626950372363814
76,6.542644108681535,7.533570740963542
77,6.340977746637164,7.629592218967646
78,6.722691686159001,7.37788868154971
79,6.54926420376354,7.289364816621826
80,6.56726365695856,7.211204718095508
81,6.629843427832325,7.471152777753679
82,6.571543811702735,7.177501493542675
83,6.7140700327359735,7.320651272607459
84,6.551033064317422,7.285692638398802
85,6.553611179582389,7.597716609462685
86,6.4679283231851725,7.477879290955201
87,6.472190878021333,7.8302938785759775
88,6.5316476587724,7.248227595067654
89,6.252620652303307,7.465646267388302
90,6.772881328102747,7.4951072425332255
91,6.56745875906611,7.174287753787937
92,6.364959741401003,7.25298115082013
93,6.581285425810988,7.301030522381589
94,6.322587425025463,7.457014533938243
95,6.421706780476645,7.6283641019433
96,6.339540921799723,7.121251567545609
97,6.341926284073058,7.094671476582739
98,6.304522366462972,7.231280395372552
99,6.2183008499555354,7.110987860570196
100,6.404017168805881,6.980294939817922
101,6.341222456832987,7.638954154476235
102,6.507818218386055,7.165792596853755
103,6.5330254393279095,6.84604988470923
104,6.680540961294194,7.590656152842642
105,6.535328421600725,7.191213968164618
106,6.3137798203832345,7.620938527248835
107,6.3125698234812555,7.073004516974436
108,6.825941483595938,7.801544262577822
109,6.301162356207117,7.033677522976674
110,6.699379314244878,7.182084901482392
111,6.315267976793487,7.169818508950337
112,6.515394193660013,7.235173265611534
113,6.418733113367159,7.057594142175743
114,6.439568654711296,7.241581285689799
115,6.494984605163012,7.306919562369648
116,6.781119096713733,7.0159690585010575
117,6.258157616226685,7.019016779639441
118,6.753864930588313,6.903292089794743
119,6.702266521109155,7.317496845109995
120,6.347006001617908,7.130272895867281
121,6.548134336257854,6.951865430104334
122,6.602410045035716,7.428545098119887
123,6.411810410045043,7.379659508613391
124,6.790553819133662,7.06160042913561
125,6.501936744734814,7.035905946557874
126,6.3846781733003155,7.252206915903313
127,6.637482832672044,7.12237699444338
128,6.473003655271769,7.155483286005444
129,6.818964762269915,7.074277212371052
130,6.373819209685202,7.203356428686923
131,6.640283641998496,6.995395734698187
132,6.645505965409754,7.168878685010438
133,6.661925574706856,7.351012580780792
134,6.429861969296421,7.213046477379438
135,6.735204493082498,6.962127215690257
136,6.543407683953878,7.07863824671999
137,6.530015745273219,7.246903660249154
138,6.629378561952493,7.151534123074931
139,6.355737423397832,7.323540988209922
140,6.5914970981416445,7.33313227860081
141,6.418169672629878,7.074651432216613
142,6.419241944071494,7.169503354844039
143,6.266675037515709,7.285523139660624
144,6.246406972055537,7.081899000221471
145,6.651019125251476,7.258452301046432
146,6.537463511169207,7.3291867736819505
147,6.70117764235344,7.006846338938089
148,6.502990509074664,7.300743076140222
149,6.5982730629106605,7.397521693480201
150,6.4954270667107545,7.474285100211933
151,6.61522873173089,7.314342934705002
152,6.643253124615158,7.260926268203039
153,6.950036183021181,7.194934317620638
154,6.924101032602692,7.32136474861885
155,6.755838136997893,7.221896257250511
156,6.941421140547459,7.3002796823919915
157,7.015139086995007,6.966961844735646
158,6.965461408642366,7.655948377057825
159,7.2039777994872285,7.157696886680425
160,6.753652981380947,7.143642898142244
161,7.3056535152617466,6.966777324088867
162,6.927970860031339,7.302248390361152
163,6.878235244016634,7.065991936824536
164,6.777044631698461,7.064050361357898
165,6.85646080401407,7.368194161483355
166,6.987732090383867,7.207601755238287
167,7.258945042347999,7.471229291187698
168,7.281960816927721,7.011773238154779
169,6.946380019911423,7.21272441752611
170,7.14617027729777,7.308491979868864
171,7.092670880131536,7.2087886409130295
172,7.2124098687947935,7.393781978042901
173,7.2486818067996435,7.02404131722974
174,7.446516742599635,7.394253212217931
175,7.762807016440781,7.397680153510101
176,7.199746208843995,7.483152918885458
177,7.447943987005999,6.846983548862533
178,7.07539915130188,7.416257126605244
179,7.294194009507462,7.340446664270638
180,7.307526230124932,7.329359409042987
181,7.180462415346362,7.45766785511544
182,7.166792936475237,7.417475833186396
183,7.38928769019959,7.461720226308102
184,7.478296899075857,7.3886524327777385
185,7.334783787537043,7.480388440893118
186,7.4654822433456935,7.2798901768761315
187,7.477652744852056,7.330918459171236
188,7.420629095701961,7.3322096500585126
189,7.260108891472942,7.364238579901738
190,7.567831436182477,7.4041206881992565
191,7.376441132592684,7.293474493710794
192,7.433538133930054,7.429823131994161
193,7.535786350010994,7.861137791994305
194,8.057992432745955,7.855761408012123
195,7.480556762367875,7.296410294727683
196,7.780083212618615,7.668239276854601
197,7.853370540544208,7.38618853719602
198,7.797704547234553,7.615925183795124
199,8.42914800021505,7.7453893807492715
200,7.24881173629661,7.844103827435033
201,7.6545652699864135,7.707016830842172
202,7.587432236601488,7.936912130962552
203,7.822271238798841,8.042680229361617
204,7.479752528434988,7.912132164860872
205,7.607373952443032,7.902450136142077
206,7.747385360131945,7.474195913768465
207,7.6526763971445915,7.929363640919603
208,7.6237183490591915,7.618407740118771
209,7.552704726820847,7.403136582437013
210,7.563587692350518,7.922678832086655
211,7.788158530217459,7.480848020996916
212,7.542242468800507,7.175966656785942
213,7.525646483846809,7.367428837885045
214,7.627628182844633,7.491521675614961
215,8.259384180614326,7.405520668602206
216,7.624423259177525,7.549608328406274
217,7.821637571443407,7.926617596590003
218,7.779368916384187,7.356598558836057
219,7.482878318248492,7.667404354869066
220,7.483098713802545,7.513489922351278
