wire_number,A,B
8,5.11572480723909,5.110620099163868
9,4.984081252970413,5.317324882890149
10,5.190141743805867,5.309378686587809
11,5.580256216445127,5.152816626891025
12,5.131013723780297,5.084143616020054
13,5.360007567527922,5.156456782476773
14,5.2907424990675,5.197751576130654
15,5.3901552215303825,5.050617859774781
16,5.655937644472818,5.052555539645768
17,4.486106471719148,5.055803047705429
18,5.669049266554181,5.026252292790787
19,4.994001894821826,4.971483128773114
20,4.713251369791453,4.640048296906913
21,4.651672148091188,4.896740581707298
22,5.626330349351045,4.789796346040295
23,4.866212705949151,4.67718368831096
24,5.076083981652781,4.747667585607923
25,5.467777973663997,5.0242031529310855
26,5.352181556703459,5.031586249161059
27,5.329693901267001,4.9722102053581905
28,5.349718290524405,5.071023208369604
29,5.452397522106546,5.01451269140363
30,5.26070075057264,5.134198359500574
31,5.286218176344683,5.24242121020763
32,5.352857907823483,5.436659849858185
33,5.3792597277651115,5.45203884712502
34,5.3554517280401415,5.628574047519116
35,5.598853026177131,5.551431145503443
36,5.538859239281345,5.133931750776197
37,5.64087971878682,5.274421555784116
38,5.794553047549086,5.130350421728214
39,5.47616913620487,5.374724713859606
40,5.60386813569389,5.1949232501494835
41,5.1910016981581055,5.274671092522633
42,5.487861387582251,5.373219816653939
43,5.466652125239053,5.0708755171229685
44,5.131283024278102,5.269361677862817
45,5.251058028171576,5.331763993190631
46,5.355696075798641,5.2856712008257665
47,5.2446438052803,5.343244414691788
48,5.244543225859611,5.243371067760295
49,5.264002199486895,5.188306756356865
50,5.3809488920631825,5.20487121695365
51,5.5755965757130195,5.129600402181692
52,5.5766030061784635,5.122421682962549
53,5.676001663610528,5.389828666772258
54,5.4197084953856205,5.260930843351539
55,5.5290163637067495,5.176741381507671
56,5.5660265765398576,4.962238904339435
57,5.4822241161131595,5.035054903584894
58,5.575522771200725,5.20446028912818
59,5.304098873511239,5.18335435642591
60,5.40746165986364,5.21230230234575
61,5.394974910176105,5.108995832189006
62,5.276721148101689,5.208973419899419
63,5.321347581949814,5.444756424201177
64,5.171360185241642,5.142587399166467
65,5.617519869651266,5.350587278645989
66,5.4336488906827665,5.360657540954642
67,5.17645511654208,5.337374527907762
68,5.459057043905518,5.301418019835494
69,5.340527832185142,5.190442715864697
70,5.413502917237934,5.2995974262295675
71,5.421364164508138,5.236540875670184
72,5.530418789714783,5.267663958520238
73,5.2748123105014395,5.554707764948201
74,5.191849627647661,5.319491135762523
75,5.228364541185657,5.418760720667553
76,5.313520865207736,5.2519261959679255
77,4.827338580664846,5.381145870917228
78,5.286504520985654,5.226112431768182
79,5.444898462979239,5.185116023179648
80,5.326946429350356,5.067533027569875
81,5.386758321365498,5.164786672567537
82,5.616119421331116,5.440212887836694
83,5.378027274217478,5.410842995698414
84,5.571060924521359,5.192340134950647
85,5.741300019733364,5.173229033435556
86,5.394696157292489,5.171103335334806
87,5.598949967631071,5.301892210975582
88,5.601649670275229,5.396299999252746
89,5.742760327613477,5.4888699399676835
90,5.796162478585681,5.317324163418599
91,5.601381445699988,5.130581344908932
92,5.627666282879339,5.139128573606057
93,5.583399015786294,5.2522555396579085
94,5.859026878427575,5.306826484561185
95,5.589909225900821,5.414235748498318
96,5.335945396962456,5.392767731507392
97,5.510889178619462,5.1581340755376885
98,5.556465084062339,5.066972569200494
99,5.411545553673098,5.396711617255767
100,5.331870067133308,5.163739097055881
101,5.41359257770921,5.165276746322738
102,5.4947445778541715,5.320740396126764
103,5.772449052021878,5.379289492331774
104,5.4445563220907545,5.332637528802822
105,5.536141871580694,5.338921900797711
106,5.594727746700803,5.43083830940865
107,5.579987250862264,5.379309243794515
108,5.383159400887844,5.330452640464239
109,5.630477897485392,5.296751272790668
110,5.431834303431642,5.645335094082809
111,5.336100749591386,5.618909022912974
112,5.452992369892381,5.079027329527113
113,5.483927291111103,5.540951845532558
114,5.256688510549947,5.56561570108414
115,5.411315117466583,5.598687110566531
116,5.4262256703426015,5.6159087626525475
117,5.5723253951157625,5.375803114859352
118,5.506999605664388,5.211083749163349
119,5.483908592622259,5.525284586038532
120,5.346698029035484,5.4914056291264925
121,5.258627064630701,5.4296346692163
122,5.370576915292312,5.352290166474644
123,5.507772727080822,5.609215205561227
124,5.501844257567939,5.3984615903881386
125,5.568483873221015,5.218918775537685
126,5.565113617464231,5.596969829656773
127,5.709220520492661,5.597682817289498
128,5.387261227914871,5.270032192473252
129,5.260398078931769,5.647732176825705
130,5.459641304501833,5.368894077836076
131,5.230575091663575,5.402186416759291
132,5.275584153611781,6.464171038428993
133,5.531173180864442,5.674497854188163
134,5.58486623770552,6.820365835681607
135,5.338280587512906,6.745531084850552
136,5.40273478230821,5.7486526478716415
137,5.1103676493091,5.4151139490049305
138,5.621261811119859,5.48051501561833
139,5.3176251706177995,5.303853948803412
140,5.269983894625494,5.285273147135546
141,5.612338867938824,5.267856409180509
142,5.626049635194571,5.450791122183917
143,5.470240236213853,5.23701389419593
144,5.347914442898045,5.380505435252163
145,5.429837294004177,5.233771661123033
146,5.370035405141655,5.482113282004149
147,5.28483163537393,5.47983907861748
148,5.316040787844793,5.83087206942389
149,5.2979389364918354,5.6129398438392135
150,5.375243180345009,5.548937300792709
151,5.208095433791335,5.668898346621264
152,5.583807077559357,6.050081971351629
153,5.3802422671283265,5.864656999615703
154,5.43408157211915,6.005321740197455
155,5.143113767935274,5.623656721958425
156,5.250420031188691,6.042643526285808
157,5.694858516240821,5.842120257570368
158,5.364874451081727,5.761935576237954
159,5.320464583417776,5.66790280885619
160,5.143077582148332,5.8255559472310825
161,5.230113964615116,5.955672776873769
162,5.283807164743576,5.8982266379084285
163,5.1692157274000055,5.633810566778272
164,5.3494698538614625,5.608900078410167
165,5.461659051819504,6.002476401276208
166,5.260375611668158,5.950241595567714
167,5.2897056389773995,5.770959319237926
168,5.296402078905114,5.94633322870476
169,5.07929814273914,5.800284771174024
170,5.215049748068602,5.995645423655431
171,5.194780669328177,5.9193579899740065
172,5.100237610263322,
173,5.107287146524115,5.950408863495169
174,4.956817211759476,5.965844594813067
175,5.054342756771768,5.7765345240434565
176,5.206514622686268,5.868563287280632
177,5.055604628920246,5.692943207672199
178,5.248046636668761,6.083758386511837
179,5.1775045338955685,5.880467438852559
180,5.37570058509154,5.981068142843987
181,5.2970159860325445,5.849717620578885
182,5.286476051182564,5.856559709979052
183,5.4094421154129915,6.113945063443212
184,5.416037414452684,5.948273421522649
185,5.49686730915328,5.843698726837772
186,5.2141878268074695,5.961911556551037
187,5.301037908281757,5.935449470383596
188,5.451449836097508,5.8939487397307495
189,5.298807434650876,5.976786477589352
190,5.409708472246202,6.0681370798003895
191,5.463986195208361,5.770950327759888
192,5.599520165086665,5.817837271055775
193,5.802658624579578,5.854094292326373
194,5.271537515571066,5.808124940319267
195,5.416261554302076,6.043864839342157
196,5.48560232339822,5.909731813669968
197,5.580379146439959,5.843514296697958
198,5.537654649665295,5.700670241087037
199,5.3622646751294,5.741594241451998
200,5.2105030245451704,5.98498724950968
201,5.309438767191213,6.004319047154707
202,5.296284419573647,6.000381597874096
203,5.308306407502774,6.272363966690862
204,5.344886983070637,6.226962036472123
205,5.319091484119133,6.155321948370428
206,5.205389276341529,5.933480257340411
207,5.384767016549316,5.707799483640033
208,5.3930680870825505,6.159247278603757
209,5.169557792614065,5.994136572117282
210,5.086455910613273,5.854158008082444
211,5.12510874010479,5.819294086792326
212,5.184563585161795,5.841081649913044
213,5.267324810332874,5.848372687121077
214,5.21405369157723,6.04284059638554
215,5.330453702437614,5.61902527988033
216,5.327560498561478,5.793767912767655
217,5.230606726359254,6.042197024032635
218,5.265017398252913,5.957013571280871
219,5.335019301490894,6.089760568472817
220,5.408170211639903,5.877387496464996
221,5.434464833706641,5.220927096560285
222,5.279063153924209,6.043668529097396
223,5.425314063912162,5.966549505622943
224,5.37604144864063,6.022730021276315
225,5.190413427188384,5.866986278062156
226,5.31258841992338,5.969869200314764
227,5.360813536875486,5.93414869576898
228,5.431135258386615,6.128635843064896
229,5.504043020741206,6.083664594812815
230,5.496218555963183,6.106613555442142
231,5.609232190190079,5.965020584677721
232,5.333220716610256,6.102853005663257
233,5.5393314175854,6.265920102793775
234,5.253675009614221,6.0651231249132715
235,5.519977872118125,6.150692000769368
236,5.446011808923582,6.123284477509372
237,5.5022297961495275,6.245568341514166
238,5.624481740330115,6.178686086675083
239,5.55486377247219,5.889958415268293
240,5.511138031995197,6.0963527047833574
241,5.625889178210473,6.2234863803062215
242,5.459225443680502,6.269176953639258
243,5.298509592624053,6.237408997062208
244,5.456932179198618,6.0579878833328955
245,5.44953905091648,6.139428397200455
246,5.490454840037394,6.034580890183017
247,5.209847326307577,6.060340832986376
248,5.057533323609575,6.13448796654023
249,5.230514215984852,6.058520930391509
250,5.312783206524468,5.887186174314024
251,5.3492031015203985,6.000099639706048
252,5.386170019727334,6.01251569091984
253,5.349982909123625,5.997946085702305
254,5.4415214778705545,5.988855966522149
255,5.203739414207205,6.143436578319222
256,5.28419915105313,5.941748182094344
257,5.628207061259711,6.0950575218554555
258,5.268251430930271,5.8230177681858795
259,5.480194406616948,5.857335681324146
260,5.50286266683072,5.89525608792608
261,5.4024371319783775,5.914445114668642
262,5.622043667659269,5.944256177501177
263,5.4975981774617875,5.7967736198628605
264,5.680772014996892,5.948651488046102
265,5.5748802580905155,6.046588688750616
266,5.672553243632833,5.977044634995149
267,5.7165801753136956,5.916775339415952
268,5.447863852186182,5.972201899056773
269,5.511284667698437,5.758713089335977
270,5.604324706755669,5.938107712167124
271,5.726453297678362,6.0495322716435735
272,5.787846617201652,5.998998531802015
273,5.74801389947531,6.04233329154687
274,5.634887197963969,5.982054718299817
275,5.626040467443308,6.123448845075938
276,5.330488576234691,6.116166181118943
277,4.880025485105281,6.073143134300045
278,5.468843562303822,5.903741990886554
279,5.5396152536872965,6.196059850911871
280,5.402710609418678,6.050263642688247
281,5.274973943363033,6.075222676715391
282,5.274908094172409,5.944358230264672
283,5.383008397756856,6.082647835676921
284,5.451835276411367,6.007941288995346
285,5.3445600750645115,5.869271550643794
286,5.628463578094742,5.847166736353662
287,5.917700474499853,6.037952827939488
288,5.455648930188893,5.958659457414435
289,5.595550749420829,5.871801562165783
290,5.69787155446154,5.985441011483172
291,5.7882718291583295,5.938993977906567
292,5.385651092643443,5.866757137051481
293,5.455720576368524,5.976969750548137
294,5.734405059277351,5.785572830327818
295,5.461290279246204,5.968656770031278
296,5.580417630083536,4.538044626052169
297,5.54891129811698,4.54241087590099
298,5.579610670578725,5.5161573750538535
299,5.849364055513884,5.824162182878821
300,5.622139616456665,5.71233463754829
301,5.976388687000021,5.643905581290958
302,6.0690175252735035,5.636655719996849
303,5.866446382708449,5.810520729180085
304,5.785285747713213,5.882756783861073
305,5.7862059622889666,5.636961321063797
306,5.826250552540518,5.5844574812767265
307,5.767745948488672,5.712179230779892
308,5.951960401976479,5.817272716280242
309,5.67833889622309,5.491185415861575
310,5.554263046710898,5.653638635802732
311,5.669674635799509,5.693648243026906
312,5.256656926467914,5.607318427717129
313,5.5636211056804985,5.5707231041935925
314,5.978650050736071,5.741751161679812
315,5.722609465743882,5.628767152607837
316,5.949945299255379,5.858479481718539
317,5.741589290428679,5.709319843487444
318,5.641184632104605,5.604918832634179
319,5.506818212008039,5.61118250109899
320,5.694818332271809,5.709715151548803
321,5.632021111301935,5.849434749445607
322,5.4305061973845765,5.74031231087281
323,5.504259289298516,5.712383414852447
324,5.69292780176581,5.482031156872684
325,5.678880232966899,5.6659435424805675
326,5.587766251995111,5.616594412012118
327,5.569879091628292,4.867308598801366
328,5.851206928064799,5.434698573287249
329,5.655021661623021,5.609044113542197
330,5.693849548860145,5.799205387478859
331,5.846809269310997,4.63130180628345
332,6.056103353491888,4.527346116829066
333,5.645291380137616,5.719226356404324
334,5.6651845897766755,5.904706113176992
335,5.645781209125517,5.942058791323652
336,5.574479275405681,5.825108077378775
337,5.658502782672345,5.765965397265748
338,5.953434597104305,5.754739777408849
339,5.7754472652915165,5.836261812644315
340,5.9683266110581465,5.561875348121242
341,5.660905781737392,5.80723040839735
342,5.907172589771111,5.452830761384242
343,5.833805535955093,5.6906887582602685
344,5.614336430301796,5.47337534992142
345,5.9453221481740535,5.1503910401491355
346,5.936988019529777,4.997659991055001
347,5.81143528279968,5.035457731401726
348,5.213917472441389,4.9803489289707965
349,5.605377251271487,5.082139756351624
350,5.903261167094208,4.531205875574544
351,5.728153171567978,4.745004364235862
352,4.950724924319673,5.207376493870298
353,6.220045227561441,5.150100882529176
354,6.374229699352707,4.749554303747612
355,6.381961921233471,4.961104444658723
356,6.097333782589883,4.788380244251652
357,6.168262033064352,5.204070412654092
358,5.599799959787344,4.816622934891022
359,5.687693907573805,5.266044512652597
360,5.563987738094375,5.210977198632968
361,5.3947288778859805,5.095143964614757
362,6.280291841537673,4.946203258178793
363,5.684837696130074,5.212779364157243
364,5.754267371505615,5.129701030211595
365,5.97190078072543,4.931630417483707
366,5.813905665144535,5.314033842261437
367,5.694563666529208,5.324260259405928
368,6.163338902345819,5.393288495648408
369,5.816873416505737,5.259889044606852
370,5.815015340588345,5.1088059771067345
371,5.912436351506445,5.089573035012618
372,5.706514635848241,4.74222395097109
373,5.513310079347596,5.586611431637764
374,5.707899679085258,6.790428869866458
375,5.565420596628885,5.391631802513916
376,5.545874804292951,5.447985288221482
377,5.703122218285262,5.3012280962518314
378,6.029114583432218,5.555571834485799
379,5.941428468573706,5.366537610088163
380,5.9908944994500795,5.033821922760268
381,5.850839463637606,5.267418095838645
382,5.824339188535048,5.398772138807034
383,5.9308869478911905,5.220091513748741
384,5.696370521158619,5.376499417115555
385,5.817099631697928,5.450419625390908
386,5.684797501441899,5.167073950042885
387,5.651655858959143,5.037466083590081
388,5.48139647821901,5.308971037431588
389,5.728079209540689,5.480538015536534
390,5.931728424213613,5.339312682407444
391,5.947656834690591,5.120685547560851
392,5.635074335255472,5.340324979260251
393,5.841766647284496,5.305195115997417
394,5.739458662191511,5.272282326011054
395,5.746466347738761,5.32369649597423
396,5.44894958719694,5.287814794686981
397,5.516029752486415,5.48993005394868
398,5.48389894679899,5.285894964654603
399,5.528747285954296,5.394046062043729
400,5.395731525639018,5.268147172238386
401,5.667741891445746,5.398089904804496
402,5.713457999971851,5.1952730082780825
403,5.657807521399354,5.288650613449324
404,5.669253498312738,5.3195524793630495
405,5.73180205840006,5.605311798565065
406,5.6234247228191405,5.589944191496115
407,5.605845010677294,5.141632961508803
408,5.55362742912684,5.7413573452451825
409,5.721207844823376,5.673023425532643
410,5.758290974133568,5.499559768895571
411,5.765423611962337,5.272262054983643
412,5.72783070890276,5.516641047076597
413,5.868887550259871,5.557595302573934
414,5.936828413217957,5.313033155412728
415,5.6339245442047,5.167346877212279
416,5.408534245697567,5.129239053541224
417,6.697248580222569,5.541811321691143
418,5.6971731573740945,5.31791088154531
419,5.520133595575744,5.384948617744579
420,5.51532137569869,5.370663299437054
421,5.361624688736019,5.549179335024552
422,5.526548415176587,5.4205414718111316
423,5.304541736773454,5.541468576154661
424,5.414531122376618,5.410940867787158
425,5.540647968012494,5.6988501625545585
426,5.884490074031479,5.360277409815319
427,5.549188587282353,5.748283015260745
428,5.838752386469846,5.104836654492901
429,6.862641841987793,5.616145518401568
430,5.57383032680765,5.446923581408709
431,5.445778343752136,5.429449677750414
432,5.5568550483624675,5.577204459897375
433,5.188219050056589,5.60331285280924
434,5.70193382161282,5.65784886164995
435,5.641053467137228,5.322859191913928
436,5.241880409102425,5.480976773401146
437,5.543628861203569,5.482650405680945
438,5.548494899552978,5.582187898589842
439,5.666890394755873,5.269699221236196
440,5.727088250751156,5.15934451692387
441,5.718629114786706,5.562136016502722
442,5.621033252364448,5.898257119203678
443,5.403552524411142,5.680294791930839
444,5.630181834087748,5.674644542480592
445,5.515340866395455,5.690924857758111
446,5.240693424721082,5.890416987902989
447,5.131592770493956,5.710971058182194
448,5.5452398364197535,5.833729745675132
449,5.541532361771345,5.648790442429163
450,5.393616646817734,5.690552133926943
451,5.806417527942416,5.8690150152277925
452,5.7587528408512565,5.539156508437462
453,5.702363478853211,5.758096319250551
454,5.411041291206016,5.841368968069785
455,5.610118298168499,5.889066693609885
456,5.396858611308653,5.674301404750704
457,5.776350603573054,6.176698006398578
458,5.462556288619546,5.499218016510477
459,5.860218676151561,5.835511382618316
460,5.372935898939545,5.834103609503603
461,5.707570116841183,5.474386035373417
462,5.641866672935355,6.104260349591031
463,5.968265787592171,5.1937253471728395
464,5.763480242987235,5.447396140345663
465,5.916297626137601,5.069271209962247
466,5.6579858815646284,5.385629786584382
467,5.6953995717984,5.653595887416596
468,5.871505243921154,5.469770828336028
469,5.885072180111676,5.449100304825506
470,5.1265799892832495,5.611700642787394
471,5.753875546687231,5.424625130042667
472,5.60581996398741,5.454730978066846
473,5.518656974765774,5.507330405188452
474,5.681591845821016,5.505462960945669
475,5.709140549719227,5.693390200671973
476,5.6586585501126985,5.339019564215634
477,5.594448129416888,5.394441999293345
478,5.365240874293699,5.42947785232457
479,5.590672590275957,5.5164561371654965
480,5.6229989309813435,5.372383822436982
481,5.606317413209203,5.5630800160861
482,5.430682692262636,5.336733600432623
483,5.587525400948265,5.658473726795146
484,5.319087651907453,5.5568011802628625
485,5.683921697855638,5.4225534808264335
486,5.566751994110768,5.456719931615174
487,5.6685707161199765,5.347544926016846
488,5.447103298374112,5.515320395699041
489,5.705649564093499,5.695312815411877
490,5.513526579373098,5.633474946713629
491,5.700050937435436,5.801125213906265
492,5.591991097435495,5.71520674208896
493,5.398060436756757,5.500264093964982
494,5.611860583751692,5.513952597402161
495,5.458003271861711,5.48741138653273
496,5.404508929742062,5.667424900790751
497,5.821799438140714,5.46323873695758
498,5.577519808661507,5.718527662861654
499,5.299820237002001,5.295284124847171
500,5.494426193624619,5.499571097563655
501,5.360915458618973,5.515074360256133
502,5.160453405065499,5.351658693237071
503,5.498529357339247,5.592429980879655
504,5.12155558555317,5.522930642617703
505,5.316764622509292,5.306950324362299
506,5.18115781970218,5.368726435141858
507,5.4659653729332005,5.446536564614411
508,5.1711533213318885,5.173289355723652
509,5.151662070350046,5.309870633851533
510,5.394638792720586,5.208823410379623
511,5.18311762220783,5.425846057001025
512,5.444197281212605,5.528451612373143
513,5.12284879795462,5.295074385407085
514,5.477141705862546,5.5211086937688165
515,5.378263921736582,5.487240239471295
516,5.237501150470207,5.208527704280666
517,5.3212180239425715,5.2949285638891865
518,5.463879669942109,5.339291731267511
519,5.499736698093433,5.301011185264308
520,5.2074965949705545,5.484013184255872
521,5.229464441070629,5.395881899329123
522,5.094984816560191,5.309811952477179
523,5.061885940704144,5.267646355738976
524,5.450315420148927,5.173646231394126
525,5.463243993357013,5.456013244979793
526,5.616369919778857,5.095769439847422
527,5.302598437896623,5.170498018682067
528,5.6194155969722255,5.386558479500986
529,5.47296962274339,5.385055151188449
530,5.726959442958151,5.402069060592527
531,5.627664805687864,5.0670947108701565
532,5.385680077664496,5.274614168694461
533,5.393130408234201,5.07620443001518
534,5.63080483972799,5.398660564081174
535,5.303417450796788,5.105497901061937
536,5.49254260425097,5.520359765310896
537,5.084155625841628,4.9243680439507695
538,5.780878690867613,5.04507666586297
539,5.64286648511656,5.472973475715512
540,5.615139177570763,5.419061217722573
541,5.640737253840044,5.314240750683943
542,5.514071903700266,5.316220418103468
543,5.973899887217832,5.361412367750029
544,5.462810915602497,5.161006333090226
545,5.416203716921804,5.466691517080278
546,5.485244110010269,5.3753606583318385
547,5.884292164170994,5.494074634792429
548,5.559679591022812,5.618928819856282
549,6.190118415758591,5.067470433181573
550,5.582696382191903,5.698461586309287
551,5.605650358428222,5.401489569379198
552,5.474909605656084,5.658093517194775
553,5.448025461394376,5.534963465738457
554,5.228332007617247,5.481937516712991
555,5.132318730881093,5.628603754619193
556,5.447515001527666,5.65564932793906
557,5.497941873720804,5.3105480653949515
558,5.481531028988743,5.654742027817427
559,5.41280249008153,5.573111883880101
560,5.358764866130118,5.728110860446074
561,5.416997025128863,4.838008260872866
562,5.507793427652663,4.83463487539373
563,5.520345251852118,4.841395770932855
564,5.541958476827352,4.822924929768614
565,5.530081404719781,4.7394967852537615
566,5.587277841994323,4.810027337424184
567,5.418776367350363,6.372094580005956
568,5.469165970359608,6.681792276745494
569,5.519193515629368,4.888676053495592
570,5.5408711773370225,5.228996945681074
571,6.184855136365553,5.130854025816282
572,5.620691198367937,5.258932377940441
573,6.190262688082954,5.046244097414594
574,5.2664649094374765,4.835875444165377
575,5.452036522385419,4.986640132915838
576,5.785931942365301,5.14348322560275
577,5.427701980324946,5.207341399109187
578,5.303979649631228,5.233299311312719
579,6.433612748451651,5.129961889624401
580,5.663961238777302,5.114714978074167
581,5.432922844018939,5.03079075692368
582,5.84941151632664,5.148193063534668
583,5.569165269312088,5.148687610525333
584,5.807651410132547,5.075537583797132
585,5.757134808621182,5.031476008834024
586,5.898607666091366,5.121351596990459
587,5.9242794888139905,5.17296838149881
588,5.915296004766217,5.0263677760943954
589,5.147558265537051,5.016972420379555
590,5.613604576898063,4.968956139793371
591,5.706668236397335,4.973003190995155
592,5.816814091832614,4.946600043826697
593,5.610974552967632,5.055930388303234
594,5.805645931175286,5.0319186475705155
595,5.918364397989258,5.186225485979902
596,5.960467584150696,5.257043761515083
597,5.968299946189531,5.1228264052481105
598,5.784354321779612,5.192225082451901
599,5.689871094779991,5.005069011944178
600,5.858371865536186,5.541037995475401
601,5.621356747497461,5.03127448888869
602,5.706949325495775,5.285689686095093
603,5.493646517688114,5.093099774189945
604,5.877701292302561,5.286393172213425
605,5.575937427979299,5.371015353435411
606,5.625928672952087,5.113105310392087
607,5.601865055510942,5.125337480949663
608,5.681042962537675,5.196855466342998
609,5.698990426920611,5.250950426473099
610,5.911865489580386,5.191229826573448
611,5.877174437475235,5.0972608615612165
612,5.874290199468024,5.072742744013312
613,5.944470913328376,5.165598530290072
614,5.6805647091762985,5.089356502159529
615,6.038466447736147,5.102548353864376
616,5.780043034860555,5.115332427805881
617,5.865321727196335,5.076968928687036
618,6.193315938865848,5.137463910309967
619,5.913603453814878,5.103594220760794
620,6.01148074163989,5.1181429287556535
621,6.054898201192653,5.067455453793484
622,5.937990868863039,4.547012038263468
623,6.025737992512793,5.0253717106982
624,5.944417161694916,5.024411038567669
625,5.692554157093726,5.587839163261191
626,5.912908368980856,4.957988453959327
627,,5.004779259515617
628,6.049547290745189,5.009272412795161
629,5.9035982559080065,5.061595319327469
630,5.870871580249575,5.161279981913515
631,5.948222270603235,4.88063639928259
632,5.91425626823189,4.8330908071824075
633,5.872172442122998,4.80909609514909
634,5.846801789570246,5.052151851734327
635,5.9374318061888705,5.059177894548853
636,5.920695680347121,5.023271526459426
637,5.687320509441579,5.0229843636388205
638,5.836779175630567,4.987098744225806
639,5.9508295319789015,5.188919200455722
640,6.027981074427235,5.034848141043929
641,5.930093696290472,4.805660516697745
642,5.875426648497014,4.9175992253237615
643,5.927633343389228,4.836173016418666
644,5.875739443498665,5.08469241238361
645,5.682056305238069,5.062433752883293
646,5.777432352912797,5.067352404027068
