wire_number,A,B
1,5.368972354287269,5.518241222348328
2,5.27818441711262,5.530550033678033
3,5.361138310985517,5.65594640415068
4,5.30683175423213,5.591748657919029
5,5.757278845019214,5.559332300256714
6,5.321031573135463,5.596427551578834
7,5.594604641442686,5.528413017060007
8,5.458493331596141,5.917027865462568
9,5.560362407305042,5.5378246653508345
10,5.379190678052743,5.554803572037896
11,5.534436090111415,5.641019355981454
12,5.415428468734516,5.5737488693166455
13,5.349595675453382,5.460123155631444
14,5.425221202557601,5.518974221250422
15,5.692010072943548,5.994580110054206
16,5.442261924389712,5.894435310241396
17,5.6613869393501774,5.572248171316217
18,5.833154253725305,5.919185636815914
19,5.5685419502640086,5.740185354360004
20,5.516330499190528,5.520635193297287
21,5.686603336739853,5.725195622152082
22,5.658235230609902,5.49485381078622
23,5.538162050361153,5.603586637399863
24,5.639370704243059,5.688058874026625
25,6.001702830087838,5.646430623695838
26,5.593805451602685,5.650756320373517
27,5.596525212540552,5.571420301513474
28,5.371176540870845,5.861420817158108
29,5.831232975253597,5.564133826447917
30,5.49282334656775,5.658442236409584
31,5.5561276190465385,5.651750208976545
32,5.328427443721168,5.6675234761552264
33,5.617589765431934,5.647054097945963
34,5.862799497965702,5.6952098372476545
35,5.825377450916008,5.548711631231306
36,5.934261966534336,5.814755784658119
37,6.022951867336969,5.72302303031772
38,5.773592174253016,5.71138723058267
39,6.000660750320885,6.349816608808689
40,6.003431907079371,5.786617753088285
41,5.715955249735753,5.279132003699218
42,6.0384769889883625,5.852497028048838
43,6.029249519017106,5.540237531012565
44,6.067220272105014,5.749140991324662
45,6.0205734032625395,5.746243435109763
46,5.933890230267804,6.453607622372224
47,5.761443549960665,5.753459114092999
48,5.986773965279434,5.992422957157408
49,5.813342241376528,5.730612265062003
50,5.840570810584318,5.710045067772696
51,5.8725900758539575,5.784844768029386
52,5.9167136934489335,5.632256258112663
53,5.753653292828537,5.598921331502738
54,5.876723475327617,5.522831320184314
55,5.969420154660407,5.434558768729086
56,5.696359453309056,5.636948692939748
57,5.791714385363832,5.656726241287441
58,5.955130519039644,5.6666152906378455
59,5.671598665489815,5.757297216010197
60,5.662001561016621,5.5633983558899605
61,5.761189848667911,5.629072974394748
62,5.900551783949097,5.545322652373795
63,6.091665210516612,5.514760641135366
64,5.68447293061752,5.516814187485296
65,5.920399350183798,5.6709019376925545
66,5.584687250434764,5.729270866130774
67,5.601033104859649,5.612663357758775
68,5.589422346673582,5.786562615407356
69,5.671866847168257,5.565272649824048
70,5.727964178820278,5.609251756440892
71,5.775817270120553,5.72932792451659
72,5.716395398354303,5.773049638039677
73,5.711399308103674,5.576725471266116
74,5.868310100443474,5.655144308907727
75,5.775009506693129,5.7128665519147575
76,5.686484986689283,5.704919321503893
77,5.717947169171177,5.650705185145231
78,5.921342638428438,5.720893382848949
