wire_number,A,B
8,,3.217976528941171
9,,3.244245633721639
10,,6.2901033927911065
11,,6.220430904768673
12,,5.990581700749214
13,,5.895291760121457
14,,5.514014638106078
15,,5.2158416755200525
16,,5.277539408507163
17,,5.255484067307228
18,6.003490585969427,5.099916149976424
19,5.782138949675658,5.315585628584594
20,5.92190423331319,5.225206489183644
21,5.750654088542711,5.111110177567443
22,5.640910979088308,5.20220486846167
23,5.662829737524239,5.017586956033028
24,5.435050019957015,4.298366103289595
25,5.383542844232643,4.226328007505608
26,5.629623795947292,4.153948708011383
27,5.531306039517799,4.273977772101525
28,5.574140261519665,4.328312589918956
29,5.818125235760051,4.323328561855036
30,5.708497469735045,4.283746134929977
31,6.639549017896075,4.133480769934616
32,6.381196423720791,4.000014251883671
33,6.61856145425698,4.039548696184194
34,6.501102360404655,4.144628886296665
35,5.938167944693275,4.068203598701714
36,6.015844513858013,4.390324080179023
37,5.804047699703055,4.20627287631967
38,5.540457255756331,4.062118710230271
39,5.6563183957035,4.437030620235218
40,5.670501699566094,4.520639889020631
41,5.6369371631745295,4.215464074066304
42,4.955287373397035,4.407044333722486
43,5.495924851921289,4.208379795451709
44,5.290950019157799,4.375101313423447
45,5.403939979465145,4.462591514096663
46,5.362226818715623,4.498336800517513
47,5.280378877350454,4.530295816077588
48,5.349183779973563,4.478989239811236
49,5.287061544023783,4.451585697198597
50,5.168784896825575,4.5448550280135205
51,4.952057305826801,4.784922588357807
52,5.258718596238335,4.461974222630442
53,5.099794071670347,4.85052793373111
54,5.006692490584444,4.857050048833286
55,4.993211285796391,4.531991596515455
56,5.03229435854879,4.778551039865181
57,4.963523726505239,4.804356304023197
58,5.030199680267237,4.801705822103369
59,4.928485544084048,4.790270496444769
60,4.687133432802646,4.974714318791323
61,4.960134069783761,5.055987634867259
62,4.877690404531891,4.905864969464657
63,4.9020488904884205,4.793637812737041
64,5.002708842589502,4.843623543989495
65,4.921823036543044,5.214504331365574
66,4.873496374164272,5.091938224548289
67,5.093392674526829,5.0187559537671165
68,5.148834323886947,4.897389098867972
69,5.112286498971262,4.82301173627145
70,5.445701746633569,4.867348526153008
71,5.453911170177185,4.865036947565118
72,5.52012417275574,4.810524109036311
73,5.506699725794856,4.996538357831922
74,5.412629527074219,4.750316290586272
75,5.372833600553351,5.07696743592003
76,5.249725390432115,4.742516854818348
77,5.333758603944073,5.1079426023660846
78,5.285157684657886,5.057049534272184
79,5.257019705141788,5.367393673532015
80,5.318790799218394,5.125320287691201
81,5.440065715090077,4.9524144466832345
82,5.431143768487977,4.992123341073548
83,5.373133192630916,4.979714907307359
84,5.328854384018869,3.244698207285602
85,5.364736565817637,4.8830166049059205
86,5.249097472162252,5.218450300913826
87,5.183463256922003,4.942813624633617
88,5.240836854182576,4.894470384004302
89,5.260167754250568,4.96677425776019
90,4.195976958408923,5.068592240202068
91,5.33388801693456,5.151603186582332
92,5.255033407671143,5.05356357533497
93,5.1374580175712525,4.893653193371885
94,5.2906008335026256,4.892811996041671
95,5.328011827980819,4.772815839128771
96,5.149055165021498,5.035070459037982
97,5.162083485142737,5.116183652596257
98,5.152126167802279,4.982579036580883
99,5.202472499778128,4.860168531708393
100,5.40503424158018,5.106275859749045
101,5.252161202427134,5.057005111972191
102,5.245475094905172,5.444418501544343
103,5.314411247496773,5.241471275362099
104,5.13064488989793,5.154742022235958
105,5.224921905336274,4.9289773756278255
106,5.361922490346251,5.160066547746345
107,5.402768558837242,4.998084748389854
108,5.160713920582878,5.155530017000931
109,5.081943365958305,5.14289349750547
110,5.358963826129777,5.1683125673736185
111,5.097020721480315,5.11771553446103
112,4.9858464720021605,4.972844719701235
113,5.071035183009743,5.151103318367924
114,5.198356591819834,5.280345206949009
115,5.230985394892969,4.984236604468472
116,5.188039575319655,5.2866376862490885
117,5.299344301470908,5.318902673554844
118,5.188016466910847,5.21767860985993
119,5.192134129701827,5.087324010411877
120,5.126095361098987,5.108780917949056
121,5.327772131901065,5.259773570877083
122,5.372036260471874,5.245824414519846
123,5.223353399409036,4.843667638778901
124,5.253599645655657,4.950656716338716
125,5.444043925830791,5.35503683540781
126,5.20420890214952,4.947470906994297
127,5.325351111474338,5.048799681140756
128,5.238802285944794,5.238025528985712
129,5.38215530265801,2.750975960282773
130,5.212458990285036,3.750912116281077
131,5.248370880034599,5.21237709490312
132,5.251485184013758,5.018732810869552
133,5.344149095482111,5.107214607516353
134,5.254180432214996,4.964443525038762
135,5.135345445022249,5.422827839126772
136,5.155224914207245,5.468151295050282
137,5.245060608901723,5.070667032802159
138,5.229436481839437,5.254450164127493
139,5.180981617449759,5.38242849752652
140,5.155808599415774,5.387164110099077
141,5.1775619638251165,5.218146658232335
142,5.280009692551049,5.0876938691568565
143,5.506598091185788,5.369595920449249
144,5.325160111511183,5.182878475199688
145,5.2363675218125865,5.132036443834567
146,5.377222962831526,5.025329621492733
147,5.434542596940118,5.369782766321619
148,5.375259853783021,5.006881389943579
149,5.461489573292641,5.3105790868877465
150,5.483279261875816,4.8038056278418
151,5.5610439348540215,4.960863344960899
152,5.485718328126007,5.054670439479905
153,5.493604743836704,5.384363831339524
154,5.51378265514103,5.474529229580708
155,5.510455716210047,5.327219608768223
156,5.68856186382955,4.853754369134526
157,5.723145891911853,4.952706850653792
158,5.499058422604386,5.045122164391788
159,5.524775776767153,5.171384430972725
160,5.5597705986705614,4.943943402716359
161,5.5093281616668826,4.98475357014202
162,5.6661808966101255,4.889361036404354
163,5.637445576323798,4.753908546337553
164,5.614697185412824,4.977146511274002
165,5.535508415537479,4.499043452221781
166,5.681499530291005,5.123570990198266
167,5.735933268145739,4.389086475281534
168,5.590811424176133,3.89901950378988
169,5.5428231195063695,5.357607847620166
170,5.008585123579956,5.651424920891799
171,5.893929801915715,4.683261075662639
172,5.833817700122356,5.172925799399849
173,5.648634292571865,5.460298806111366
174,5.486756626940483,5.141177826774848
175,5.811212176881255,4.37505103382102
176,5.70142877400931,5.062035532205501
177,5.688080318488682,5.085658095604948
178,5.026174741577567,5.281549380430061
179,5.5906852845666535,5.40479772702278
180,5.577848021909545,5.279764893043112
181,5.584547140707453,4.561806321730235
182,5.591994723625221,4.854157050684839
183,5.941188203457963,5.037953644053531
184,5.601504727665003,5.267016128229931
185,5.590180419668871,5.38201418319286
186,5.590769396784028,5.4285259681021625
187,5.589881228846868,5.068202070790001
188,5.70162908337272,5.349615588437895
189,5.619276529428467,5.122771397318424
190,5.619925705850676,5.198151650371882
191,5.475288142973292,5.289274464535355
192,5.524622684401253,5.4663843604901
193,5.583532941619785,4.921274801654587
194,5.914203218060396,4.683272997761136
195,5.757691542339509,4.779637875883116
196,5.862193430528144,5.020634632743865
197,5.88641516794885,5.2581006551740055
198,5.433449472575569,5.441092643123735
199,5.640780019801632,5.234407560616038
200,5.498192026430393,5.140467428402839
201,5.474425445703543,5.116204878154953
202,5.487954999984513,5.244499453901018
203,5.464814878442051,5.4735264990072565
204,5.520049226235967,5.12205192828246
205,5.663395949958155,5.147362098511081
206,5.608230781039971,5.461209463758656
207,5.535078817887716,5.592179281108042
208,5.514980060284583,4.366805899669846
209,5.593569277365124,4.786204424012605
210,5.541312426438984,4.829958108796324
211,5.1755408058844585,5.16804955550152
212,5.495885301263729,4.402089536445814
213,5.525100185073481,5.309141948756492
214,5.612309977089462,5.02570900429622
215,5.604139796083073,5.140343829012802
216,5.688831467217067,4.825682010635646
217,5.536371585976023,5.179012115684826
218,5.724243963658893,4.922594791124551
219,5.5674738131039945,5.237264346230572
220,5.621633407020584,5.070957993047597
221,5.538877788839535,5.31850309086431
222,5.445926347110889,5.537358108579937
223,5.3993346716984165,5.702053488253132
224,5.379627345383239,5.657295755855443
225,5.530755449561467,5.090301641736889
226,5.354166612211299,5.361289433497052
227,5.444672294289339,5.709233383498817
228,5.960404723947448,5.363267026640184
229,5.483942698018181,5.700821695481796
230,5.520067568965704,5.6266883416271725
231,5.498362147896892,5.6957444393598
232,5.283162104920068,5.283824928436495
233,5.473961767143387,5.203468358748667
234,5.419216090157604,5.267047613614918
235,5.5044254007518285,5.550498729814828
236,5.499251275586842,4.843787072471235
237,5.315200770791119,4.832539863535442
238,5.503192092566247,5.374799245893827
239,5.4969927327252766,5.222679049585055
240,5.329526394347821,5.193951347156017
241,5.252439135298017,5.362285620847556
242,5.382879497860125,5.433197799155182
243,5.309925304346454,4.975317964425658
244,4.953468156778321,5.011292041687274
245,4.903936853631911,5.12557646232053
246,5.366610638673303,5.399936388921967
247,5.322492338451381,5.280052566805059
248,4.941657087428863,5.22047453395536
249,5.207779802332616,5.205534932572618
250,5.041029423901616,5.283348837546444
251,4.957501522030909,5.283890585508384
252,5.321665984015286,5.169263276860495
253,5.334339854141375,5.781120405746008
254,5.218937019050582,5.729115136089707
255,5.316527582119155,5.368342082446936
256,5.436519734946655,5.607067551158698
257,5.32018580532802,5.418392365135782
258,5.167780437938103,5.477034754109488
259,5.198664481320468,5.385586131362272
260,4.879265889347175,5.380048783675186
261,5.0651128007995565,5.727648293684359
262,4.9017849073749495,5.28499335264481
263,4.98759540523214,5.436329839502797
264,4.876049519463911,5.434967077367306
265,4.8906910739740415,5.546858028763916
266,5.152784119869477,5.6443573026454095
267,5.28475914669262,5.6111164193015775
268,5.130553680635923,5.519522631801981
269,5.218524697014494,5.260987534704493
270,5.088707489961993,5.3549465927760425
271,5.178207817654351,5.423155899563571
272,5.5098557508814965,5.668673196464094
273,5.094209879973797,5.6764211624149405
274,5.431691103674407,5.613522161661406
275,5.291775689909053,5.265917031281862
276,5.019548471029045,5.148777207813392
277,5.299124454351603,5.159132378581561
278,5.2939189586704325,5.4315293677131695
279,5.358580971279924,5.366675455165468
280,5.039160147213428,5.421251729971233
281,5.080322775281984,5.471788155557753
282,5.371746792625206,5.542983806950156
283,5.3498222655228345,5.46800703245509
284,5.391961970726486,5.356919327375337
285,5.398188177669836,5.825876417581765
286,5.40235357702803,5.394828120846486
287,5.342709847576243,5.536274030279245
288,5.1268534773103775,5.6273464208012935
289,5.431152803179908,5.569461380644187
290,5.301855136177942,5.6586490074500535
291,5.611145380082561,5.744899033173023
292,5.7844641937675085,5.8865367135359685
293,5.689831203897311,5.709820611441673
294,5.464424407929535,5.64086049866394
295,5.576556103360774,5.844911885751008
296,5.462113320024395,6.08125645007906
297,5.487141609374909,5.641881385082319
298,5.511548788314559,5.858680598933287
299,5.426715244665098,5.724222586934502
300,5.58689780094987,5.975428982915135
301,5.662022461794319,5.941205195911256
302,5.459051113718248,5.644812480779856
303,5.296932760884503,5.6739818429121085
304,5.4333714641886175,5.773156930160466
305,5.530405159921821,4.97717818460968
306,5.422871736181452,5.448017983439465
307,5.133965311024151,5.947075632673132
308,5.495660636837134,5.68393007137718
309,5.491843437941008,5.6184836859713725
310,5.375087724073319,5.55788981972874
311,5.383937857267535,5.819214358104298
312,5.529119731128239,5.837383158161432
313,5.786327404259968,5.4898744644867525
314,5.397111142674901,5.785412140047164
315,5.518603136456305,5.667431269617547
316,5.351173729950519,5.484232378099074
317,5.505255167175564,5.578087243756692
318,5.401360180868229,5.556718306016703
319,5.267991087572202,5.564834309500429
320,5.329149268644601,5.663666702612983
321,5.31207702464394,5.636862198877741
322,5.394672091965938,5.61124772590494
323,5.482529168388249,5.597598594751995
324,5.377466636151119,5.676777944496278
325,5.272547591498233,5.463345660138474
326,5.211809868542465,5.56908725678421
327,5.316775472006845,5.637178895417473
328,5.261985848044243,5.574972948506006
329,5.312700232497161,5.694415419566118
330,5.3273338813069255,5.728022891725811
331,5.320327133871909,5.627256973519907
332,5.362605035057181,5.61724835293448
333,5.384225922498262,5.769995323278014
334,5.325008115885367,5.655769849915337
335,5.32415853685076,5.767967817341741
336,5.089853944765592,5.824614761594092
337,5.118959309642183,5.768609668796307
338,5.25445223191165,5.740235939571673
339,5.148548913035111,5.802954898410714
340,5.228783126985915,5.868037104155648
341,5.228312283093605,5.80436431812469
342,5.263911407241594,5.74306433982017
343,5.075648028694818,5.806050102718436
344,5.068050147232667,5.625358086798072
345,5.008230180300876,5.764875467980706
346,5.233879552632293,5.936727518101293
347,5.06458773072543,5.900115669072773
348,4.913398903526503,5.909200965609388
349,4.977015562480304,5.978871149067612
350,5.028019660350965,5.952560845692555
351,5.2995469255464265,5.876082417178603
352,5.171402617199803,5.991081280937446
353,4.909052508179357,5.894934457412167
354,5.300583262311927,5.998528664939545
355,5.102989222781888,5.767604491296044
356,5.357646531779185,5.969000055823008
357,5.361651805687896,5.763870317673689
358,5.089155183945436,5.6758106578038205
359,5.394765578231748,5.894267854628188
360,5.36912181805525,5.777185005395631
361,5.1984574690692735,5.813975729110135
362,5.471618155210898,6.0863730732813925
363,5.489032762189517,6.100112750639885
364,5.392684342835984,6.10093586599893
