wire_number,A,B
1,6.021735483387009,5.400442053956459
2,4.586930359636737,5.408153747113971
3,6.088307859251128,5.7188030438136925
4,5.513565801296666,5.662421948021228
5,5.912307350135377,5.679361445415895
6,5.860071564333082,5.484317839603323
7,5.968662460776566,5.720210158181784
8,5.83543403475788,5.358139726489087
9,5.860984789657119,5.806300209228136
10,5.759807075565499,5.544970814330651
11,5.4298324912668114,5.716858898160907
12,5.704985107050994,5.306753407615996
13,5.539698983455939,5.481744445529033
14,5.827399539866967,5.750394032171696
15,5.759321591524713,5.606876214745723
16,5.714973406202609,5.454007423291737
17,5.356663032527897,5.515243493689535
18,5.884220800070741,5.630703779951903
19,5.938352834506961,5.785019691019872
20,5.709276315903184,5.802220122048348
21,5.543766608706719,5.585915226390375
22,5.876972488400968,5.506994475567988
23,6.022060722204279,5.959293515972558
24,5.550364770415976,5.590191432721882
25,5.845526526810301,5.739571615698775
26,5.8192087713814455,5.936697400398809
27,5.904812985944138,5.89892493049108
28,5.648855927289011,5.713172981388707
29,5.714436342502548,5.607472159820336
30,5.897087542462992,5.692645727517043
31,5.828671907132592,5.583158530856004
32,6.001814429505052,6.043491047438319
33,5.840908234713254,5.658693886111057
34,5.911998795968059,5.972912188338573
35,5.961120203627076,5.937436764477405
36,5.753287493048449,6.090041434709752
37,6.036369106935097,5.953235251943049
38,5.780518640425556,5.871630432482126
39,5.7559975571371895,5.598506778676006
40,5.901584593950266,6.035513378449373
41,5.950963556677651,6.06946193029108
42,5.989099481566537,5.686200222879362
43,5.885506181043817,5.949448223621783
44,5.868725762275092,5.698190862694204
45,5.849848636321714,6.03593035504518
46,5.886445805478866,5.946738581841323
47,6.303332684162696,6.072071919412322
48,5.854938499998407,6.060030043218653
49,5.89838617993555,6.10201313495209
50,5.773237898906388,5.950951043388666
51,5.831397302675295,5.8608695707163
52,5.837607838268169,5.947117833691663
53,5.719309519052085,5.890074915819367
54,5.238815801488327,5.563549939067066
55,5.887643577471938,5.922665144877776
56,5.68865417246834,5.957493703498015
57,5.842896990669567,6.064987358217848
58,5.8815796043244495,5.983908697138953
59,5.639062093731354,6.105903072552812
60,5.86419825510494,6.020877067292307
61,5.980276086636287,5.979470776906124
62,5.893627595071609,6.083549697132215
63,5.760046400556847,5.92335353390396
64,5.5954024186265405,5.945782204490811
65,5.802958097720669,6.010394828431654
66,5.912761406156731,5.939755951884346
67,6.021042717950967,5.84763011989036
68,5.846379927294733,5.962717221024243
69,5.808497569538423,5.944548658458229
70,5.651384470876657,5.964066103062579
71,5.8412104836551215,5.801995306633407
72,5.854628048276674,5.846702047977954
73,5.895564446831593,6.028881428584271
74,6.077158790872636,5.928701195952086
75,5.602801118898787,6.096498796940263
76,5.980688801978298,5.956504648411422
77,6.1279013350107086,5.9710908444025845
78,5.952610472591288,6.013712879802188
79,5.904922276304254,5.823792743691794
80,5.984949973612275,5.579869268585495
81,5.462416736543109,5.886096687438934
82,5.919129965172687,5.926273541532547
83,5.908646892155296,5.990698985213131
84,5.625443403522999,6.024760242787078
85,5.876645692055059,5.972551103300717
86,5.899571706374653,6.029252084454822
87,5.532590055394204,5.751893382837012
88,5.864955935189619,5.836805478112563
