wire_number,A,B
1,5.341912404818976,5.735469753774962
2,5.521728427392701,5.852310528940839
3,6.171199001108058,5.851187615467079
4,5.842774567586557,5.822048509685884
5,5.732244231616533,5.966986507963039
6,6.01961245162336,6.036748271326703
7,5.6950596194686245,5.939066398046784
8,6.005161327257738,5.742451028639559
9,5.797402857410546,5.412786155799835
10,5.830628152107426,5.722809830321111
11,5.9685015625724285,5.923551180565337
12,6.14882791549948,5.76420203977527
13,5.915047562923959,5.73353680628451
14,6.0214699594327294,5.9922371784710045
15,5.6,5.83380354809427
16,6.020921151186913,5.712826542416651
17,5.983627056340572,6.0677350267590855
18,5.972684764087758,5.8325035244230135
19,5.801102787168632,6.181669356939351
20,5.934036656535114,5.731404005437748
21,5.971526637991097,6.196699893333979
22,5.98614514623133,5.905414017516409
23,6.053904745421825,5.961189116702084
24,6.118929335091196,6.282194183972761
25,5.850651829765799,6.0579741112004974
26,5.886742272157623,5.929293443410395
27,5.9854800128928165,6.223998679485276
28,6.177835991311559,6.1694468106116975
29,5.906125113867842,6.173499387393631
30,6.059914092503965,6.314963933294112
31,5.951273988362536,6.114807812612157
32,6.078919820293696,6.087382131421155
33,5.998353233190876,6.2835217751382
34,6.018292051974505,6.147809329843939
35,5.979862287787624,6.127304604753499
36,5.8976282700346045,6.233881519279252
37,5.953274165896668,6.123978519108936
38,5.984247433443807,6.105911638376817
39,5.811739675796354,6.096827608384314
40,6.006389397597918,6.128954399312373
41,6.136937484001543,6.139103338218352
42,6.138286005278687,6.283571225007702
43,6.158098961559762,6.034610671776127
44,6.032008106651085,6.054105398967605
45,5.961492441809284,6.223486962201412
46,5.980475136000215,6.083479997183157
47,5.867479820337195,6.159457538351441
48,5.945444589214651,6.140543789918966
49,6.141401462054221,6.238874903761658
50,6.10398933108533,6.227405825309151
51,5.867525875095688,6.197345647672091
52,6.118444908189281,6.286334451816875
53,6.065420594476992,6.193292595919064
54,6.087179910335236,5.967002275136403
55,6.084739897483318,6.185877721442896
56,5.922548790112277,6.166662259119378
57,6.036956984814745,6.028678647698943
58,6.09683665151438,6.221923979019403
59,6.246071388774984,5.926067142595807
60,5.840461726209286,6.139343661550134
61,5.934979399728915,6.2183964215114935
62,6.083421244208974,6.192289180373986
63,5.9505252156158095,6.108517779975475
64,6.167303636215158,6.042825819443515
65,5.870636270372271,6.219427189342063
66,6.201181082064596,6.171303764023603
67,6.135892097289582,6.133815614836855
68,6.163757011806988,6.078050514301956
69,6.04300075988958,6.011459572100064
70,6.112366582405845,6.201975444574045
71,6.173736082538381,5.996308318032404
72,6.1196741523077405,6.0690076098463415
73,5.893200689226238,6.0449654401468615
74,6.0921508706735406,6.0788584024786765
75,5.83528641049513,6.141169670551017
76,6.131813555089843,6.056791370418561
77,6.057618327302087,6.099532051223961
78,5.817756484453292,6.016513713748097
79,5.905044202582018,6.092335402816079
80,6.185694611872018,6.100154819759198
81,6.153699314945307,6.005760467074471
82,6.051660934735726,6.080708392937607
83,6.066340812317264,6.099106996703806
84,5.991287360621032,6.038952250990804
