a1,a2,a3,a4
5.645982728,5.69513397,5.513777276,5.648863408
5.849178982,5.842099589,5.74407295,5.620831838
5.865366374,6.050151447,6.067349986,6.155922472
5.744078735,5.632080672,5.774103434,5.727484368
5.809682195,5.855707329,5.728906929,5.828898269
5.942804478,6.155252221,5.778968443,5.982381449
5.769982506,6.449928533,5.887417526,5.562821813
5.300690875,5.781777184,5.61011059,5.666656277
5.715735466,5.855766626,5.494854215,5.32087629
5.918840189,6.010608605,6.014121821,5.950549467
6.143898039,5.980694949,6.140420224,6.020360209
5.234644164,6.064005695,6.059066586,6.210166654
5.948415475,6.326768955,5.666650085,5.676082781
6.056569176,6.570284345,6.067599826,6.043644345
5.581043011,5.355071506,5.548957121,5.545442803
6.206344115,6.040481367,5.949593179,6.02873794
5.939760135,5.849284725,5.826516693,5.791064443
6.324925182,6.283872056,6.383310995,6.260232817
5.849547323,5.764253698,5.804540077,5.830767321
5.315604238,5.741294775,5.711355767,5.65958165
5.81316059,5.817804125,5.791257942,5.722508867
5.992868683,5.970276403,6.195655917,5.858331337
5.836098314,5.985284344,5.753821123,6.177641645
5.849198047,5.615366581,6.195141672,5.750826054
5.781854468,5.928812126,5.92935402,5.817438217
5.836719143,5.764868766,5.971309734,5.913053661
6.138466061,6.090410738,6.012366864,6.15877235
5.639578619,5.409177498,5.604400453,5.639756184
5.792341955,5.87129658,5.842020523,5.84144483
6.256610821,6.081937991,6.071746633,5.944054793
5.98708759,6.003452067,5.883153648,5.958341909
5.968857463,5.983159817,5.857310929,5.832659964
6.328733138,6.28521441,5.914575946,6.299741898
6.042289878,6.001721323,5.774291641,6.047255064
5.975292608,5.307022413,5.760337417,6.15518115
6.041940899,5.931884908,6.075399243,6.062918237
5.977975512,5.973877491,5.963739421,5.925605747
6.599906873,6.484287411,6.656677917,6.282773965
6.046478203,6.012039893,6.00443537,6.017816137
5.92782814,5.877767631,5.777807315,5.845615606
6.32125392,6.418373082,6.290505374,6.131355543
5.962256268,5.945212586,5.905477528,5.725319827
6.326907542,6.024053547,6.245234116,5.987766775
6.278188384,6.004355667,6.366610584,6.258544796
6.084770189,6.123638979,6.123477889,6.384846146
6.17563463,6.142707119,6.159047286,6.099193549
6.113111212,6.043349745,6.124790744,6.11232853
5.760431902,5.837586922,5.469092462,5.795834065
6.122038442,6.137515218,6.008550572,6.132461182
5.994243807,6.044195083,5.983835102,6.015827955
5.894122682,5.784860037,5.833345048,5.927670493
5.804814093,5.616030218,5.634768187,5.321790415
5.951165965,5.884280171,5.859597519,5.515651783
5.895980901,5.921422846,5.878802787,5.895532826
6.421202638,6.412854651,6.366263599,6.362759042
5.585254314,5.599873549,5.609902427,5.60638339
6.145422036,6.173603585,6.081327509,6.022213285
6.280699977,6.165087731,6.128646656,6.180672907
5.848223855,5.939648439,5.824752076,5.777316021
5.971548644,6.070440531,5.97258309,5.932887057
5.366157283,5.954441565,5.782787548,5.918861657
5.777635567,5.547118893,5.725787899,5.788650822
6.346928504,6.378392443,5.912325632,6.385668386
6.033408727,6.03063774,5.974331644,6.024601712
6.222856981,6.058244915,6.221568537,6.363364165
5.979606541,6.067322314,6.050905432,6.093046288
5.473245617,5.560662562,5.584596091,5.389169032
5.828878649,5.271211957,5.941255287,6.019488469
6.542751036,6.210845703,6.493459041,6.186076666
5.882332407,5.351520625,5.850949879,5.879687971
6.044632682,5.727652056,6.034898354,6.09977941
5.594302634,5.635015231,5.605864455,5.631561413
5.616646409,5.8838035,5.890895734,5.799250649
6.04161684,5.99442665,6.036920885,5.972323949
5.632917743,5.518788005,5.664793534,5.699893708
5.562022536,5.687722874,5.392763994,5.394833255
5.820257985,5.863487248,5.80162912,5.906232984
6.011943784,6.089872376,5.976529069,5.702659977
5.909052239,5.851583968,5.903130794,5.889012752
6.090803399,6.179720113,6.111640102,6.125174628
6.078184304,6.016273823,6.058519654,6.082378545
6.157678902,6.145259129,6.14635652,6.162449446
6.095417118,6.017408365,6.002997224,5.983086625
5.995384345,6.058112129,6.034310735,6.061542307
6.118890342,6.052070751,6.073994372,5.998456713
5.752376833,5.901298307,6.026488231,5.827674422
5.823278395,5.956444883,5.844301147,5.898997509
6.064923937,6.123200925,6.097707735,6.089481236
6.278440353,6.45991042,6.358755382,6.53756892
5.812296165,5.870307323,5.455855409,5.892994652
