a1,a2,a3,a4
5.35,,5.42,5.313908902
6.09,6.01,6.13,6.115134315
5.56,5.44,5.53,5.460919772
6.2,6.02,6.05,6.073931094
6.12,6.09,6.04,6.254220652
5.32,5.31,5.18,5.336009982
5.8,5.76,5.86,5.900011638
5.77,5.7,5.78,5.723989523
6.34,6.2,6.28,6.335990125
6.4,6.44,6.47,6.444351409
5.96,5.96,5.86,5.969729462
6.44,6.04,6.23,6.327290185
5.84,5.7,5.72,5.828987843
5.94,5.81,5.55,
5.84,5.66,5.78,5.758139362
6.16,6.03,6.12,5.999109675
6.04,6.03,6.01,5.988290863
5.69,5.62,5.52,5.710306669
5.94,5.85,5.84,5.904176282
6.21,6.09,6.04,6.181712735
6.11,5.99,6.2,5.925378409
6.03,6.05,5.93,6.109699557
6.11,5.87,6.03,6.287230414
5.97,5.93,5.97,
6.03,6.14,6.01,6.095170994
6,6.02,6.04,5.943313108
6.01,6.01,6.09,5.863559369
6.19,6.08,6.12,6.051094112
6.09,6.11,5.99,5.956589804
5.94,5.88,5.84,5.713449847
5.97,5.95,5.92,5.360617457
6.17,6.2,6.05,6.073540274
6.3,6.23,6.07,6.150487367
6.17,6.1,6.03,6.024142835
6.16,6.19,6.11,6.032214524
6.32,6.3,6.32,6.211609246
6.1,6,6.05,6.029944579
6.19,6.16,6.19,6.199460122
6.15,6.12,6.07,6.08659006
6.62,6.62,6.66,6.508524487
5.91,5.86,5.87,5.826469919
5.98,5.95,5.97,5.936653814
6.23,6.24,6.18,6.177125411
5.97,5.98,5.96,5.987620367
6.39,6.33,6.45,6.380097138
6.15,6.14,6.18,6.223378627
6.09,6.11,6.04,6.030374749
5.84,5.82,5.77,5.856299702
6.09,5.93,5.8,5.849461618
6.19,6.14,6.19,6.182618434
6.23,6.01,5.88,6.119830154
6.01,6.03,6.01,5.931837795
6.05,5.99,5.95,5.997436361
5.94,5.89,5.97,5.62765854
6.12,6.03,6.03,6.033065608
6,5.91,5.79,5.798710495
5.98,5.82,5.84,5.404321787
5.96,5.52,5.88,5.92104152
5.92,5.81,5.57,5.82611724
6.06,6.04,6.08,6.142215976
5.96,6.05,6.01,6.325255819
6.05,6.13,6.16,6.066774688
5.89,5.22,5.86,5.836457074
5.98,5.96,5.99,5.992172214
5.9,5.58,5.93,5.986041872
5.8,5.63,5.24,5.647646763
5.84,5.06,5.81,5.798322995
5.96,5.93,6.14,6.081977593
5.87,5.87,5.9,5.826663093
6.02,6,6.01,5.997476537
6.01,5.9,5.94,5.986867057
5.87,5.78,5.91,5.767820307
6.11,6.07,6.07,6.021824908
6,5.88,5.87,5.964087559
5.99,5.87,5.97,6.019807873
6.17,6.09,6.15,6.103031268
6.28,6.25,6.3,6.276497071
6.17,6.14,6.1,6.063088841
6.13,6.16,6.08,6.099531823
5.98,5.52,5.92,5.986727247
5.81,5.78,5.64,5.873475085
6.09,6,6.13,6.10089081
6.31,6.02,6.14,6.264945485
5.97,5.88,5.89,6.001648687
6.01,5.88,5.97,6.038772391
5.97,5.98,5.78,5.910800326
6.03,5.95,6.01,6.013724744
5.99,5.96,6.04,5.974353741
5.98,5.93,5.89,5.945622788
6.24,6.14,6.14,6.148059591
5.8,5.79,5.75,5.758539844
5.9,5.85,5.84,5.914984267
6.14,6.03,6.06,6.118964497
6.01,5.94,5.97,5.962083924
6,5.94,5.88,5.984539748
5.94,5.85,5.86,5.872581748
6.19,6.09,5.77,6.132167894
5.96,5.85,5.9,5.957805641
5.98,5.87,5.93,5.899348173
6.03,6.05,6,6.011394094
6.05,5.96,5.98,6.053626508
6.39,6.06,6.03,6.278305099
5.87,5.8,5.41,5.831037954
5.83,5.83,5.82,5.875933518
5.76,5.58,5.66,5.705186842
5.48,5.2,5.54,5.357183892
5.57,5.45,5.47,5.508103213
5.99,5.8,5.84,5.888118213
5.63,5.31,5.59,5.630160142
6.27,5.98,6.06,6.375662718
5.9,5.46,5.91,5.837500992
5.87,5.63,5.77,5.8149861
6.01,5.93,5.84,5.962775485
6.03,5.93,5.88,5.952352262
6.18,5.94,6.07,6.110762829
6.17,5.94,5.94,6.218374445
6.13,6.04,6.01,6.055620011
5.96,5.68,5.8,5.922182351
5.97,5.94,5.96,5.962976824
6.48,6.37,6.2,6.525499241
5.98,6.06,5.96,6.081570824
6.03,5.84,6.02,6.060030358
6.21,6.07,6.42,6.466060769
5.92,5.85,5.99,6.085851749
6.06,5.88,5.97,6.040732082
5.81,5.74,5.81,5.85736591
5.97,5.76,5.93,5.861465717
6.03,5.92,5.98,6.11585944
6.48,5.96,6.46,6.513663605
5.85,5.84,5.75,5.803842722
