layer,side,wire_number,tension,tension_pass,zone,frequency,confidence,x,y,Gcode,t_sigma,wires,ttf,time
V,A,889,6.886319215939062,True,5,67.94646042986804,0.7377786,6923.7,1079.6,X6923.7 Y1079.6,0.04737255675367269,"[6.911492169603247, 6.862846789109306, 6.923231856997858, 6.789124837386424, 6.861377523260353]",18.603238582611084,2025-01-23_10-58-08
V,A,890,6.148990248644275,True,5,64.20593349460017,0.7649211,6923.7,1085.4,X6923.7 Y1085.4,0.08712243530048147,"[6.316405608849274, 6.1889290280843205, 6.111368713187903, 6.264115649791962, 6.088175550512658]",30.78599500656128,2025-01-23_10-58-38
V,A,891,5.4930728801719155,True,5,60.68494225144229,0.75232077,6923.7,1091.2,X6923.7 Y1091.2,0.07072533637269984,"[5.5396837680141156, 5.3508362928145745, 5.4411712183464305, 5.4625768891763125, 5.5414771794778614]",7.783039569854736,2025-01-23_10-58-46
V,A,891,5.840066988420815,True,5,62.57230834895726,0.6088413,6923.7,1096.9,X6923.7 Y1096.9,0.11130692076664424,"[6.057663134603347, 5.767941926811025, 5.975514237627894, 5.78163299444221, 5.892086493649369]",14.115291357040405,2025-01-23_11-00-28
V,A,892,6.573584593977677,True,5,66.38567730004303,0.5977107,6923.7,1102.7,X6923.7 Y1102.7,0.16391440681883682,"[6.562755963114529, 6.200093178723989, 6.4057640450404, 6.605657771762022, 6.647134901632946]",13.543019533157349,2025-01-23_11-00-41
V,A,893,6.047585096216046,True,5,63.67431131943902,0.6845363,6923.7,1108.5,X6923.7 Y1108.5,0.2084132783637352,"[5.595421830475749, 6.047182330480224, 6.053588044976364, 6.101266204453283, 5.703396981306079]",8.966533899307251,2025-01-23_11-00-50
V,A,894,5.910004652700829,True,5,62.945860339191476,0.7456439,6923.7,1114.2,X6923.7 Y1114.2,0.12113825422733147,"[6.0314862521037105, 5.853488520760062, 5.936991003390336, 6.179764096833272, 5.865197166312626]",3.3108890056610107,2025-01-23_11-00-53
V,A,895,5.784505369039022,True,5,62.273944701770155,0.7594403,6923.7,1120.0,X6923.7 Y1120.0,0.06800614435255563,"[5.79907056535585, 5.780055975902428, 5.810227319514168, 5.708780096896601, 5.629214640584147]",7.805826663970947,2025-01-23_11-01-01
V,A,896,6.537910871199184,True,5,66.20530037253009,0.694978,6923.7,1125.8,X6923.7 Y1125.8,0.10226145232634283,"[6.552747454181954, 6.328807169220471, 6.626115691590621, 6.441431348795726, 6.530720057654743]",6.652735471725464,2025-01-23_11-01-08
V,A,897,6.092404316129988,True,5,63.90982391773288,0.74931777,6923.7,1131.6,X6923.7 Y1131.6,0.15855005932068422,"[6.165332686643451, 5.7478131122157965, 6.097467654488564, 6.081918911838996, 5.862325011690462]",7.840451240539551,2025-01-23_11-01-16
