,1,2,3,4,5
1,,,,,
2,,,,,
3,,,,,
4,14.6,,,,
5,24.4,,,,
6,34.2,,,,
7,44,,,,
8,69.9,,,,
9,79.7,,,,
10,89.6,,,,
11,99.4,,,,
12,109.3,,,,
13,119.1,,,,
14,129,,,,
15,138.8,,,,
16,148.7,,,,
17,158.5,,,,
18,168.4,,,,
19,178.2,,,,
20,188.1,,,,
21,197.9,,,,
22,207.8,,,,
23,217.6,,,,
24,227.5,,,,
25,237.3,,,,
26,247.2,,,,
27,257,,,,
28,266.9,,,,
29,276.7,,,,
30,286.6,,,,
31,296.4,,,,
32,306.3,,,,
33,316.1,,,,
34,326,,,,
35,335.8,,,,
36,345.7,,,,
37,355.5,,,,
38,365.4,,,,
39,375.2,,,,
40,385.1,,,,
41,394.9,,,,
42,404.8,,,,
43,414.6,,,,
44,424.5,,,,
45,434.4,,,,
46,444.2,,,,
47,454.1,,,,
48,463.9,,,,
49,473.8,,,,
50,483.6,,,,
51,493.5,,,,
52,503.3,,,,
53,513.2,,,,
54,523,,,,
55,532.9,,,,
56,542.7,,,,
57,552.6,,,,
58,562.4,,,,
59,572.3,,,,
60,582.1,,,,
61,592,,,,
62,601.8,,,,
63,611.7,,,,
64,621.5,,,,
65,631.4,,,,
66,641.2,,,,
67,651.1,,,,
68,660.9,,,,
69,670.8,,,,
70,680.7,,,,
71,690.5,,,,
72,700.4,,,,
73,710.2,,,,
74,720.1,,,,
75,729.9,,,,
76,739.8,,,,
77,749.6,,,,
78,759.5,,,,
79,769.3,,,,
80,779.2,,,,
81,789,,,,
82,798.9,,,,
83,808.7,,,,
84,818.6,,,,
85,828.4,,,,
86,838.3,,,,
87,848.1,,,,
88,858,,,,
89,867.8,,,,
90,877.7,,,,
91,887.5,,,,
92,897.4,,,,
93,907.2,,,,
94,917.1,,,,
95,927,,,,
96,936.8,,,,
97,946.7,,,,
98,956.5,,,,
99,966.4,,,,
100,976.2,,,,
101,986.1,,,,
102,995.9,,,,
103,1005.8,,,,
104,1015.6,,,,
105,1025.5,,,,
106,1035.3,,,,
107,1045.2,,,,
108,1055,,,,
109,1064.9,,,,
110,1074.7,,,,
111,1084.6,,,,
112,1094.4,,,,
113,1104.3,,,,
114,1114.1,,,,
115,1124,,,,
116,1133.8,,,,
117,1143.7,,,,
118,1153.5,,,,
119,1163.4,,,,
120,1173.3,,,,
121,1183.1,,,,
122,1193,,,,
123,1202.8,,,,
124,1212.7,,,,
125,1222.5,,,,
126,1232.4,,,,
127,1242.2,,,,
128,1252.1,,,,
129,1261.9,,,,
130,1271.8,,,,
131,1281.6,,,,
132,1291.5,,,,
133,1301.3,,,,
134,1311.2,,,,
135,1321,,,,
136,1330.9,,,,
137,1340.7,,,,
138,1350.6,,,,
139,1360.4,,,,
140,1370.3,,,,
141,1380.1,,,,
142,1390,,,,
143,1399.8,,,,
144,1409.7,,,,
145,1419.6,,,,
146,1429.4,,,,
147,1439.3,,,,
148,1449.1,,,,
149,1448.2,11.1,,,
150,1448.2,20.8,,,
151,1448.2,30.6,,,
152,1448.2,40.4,,,
153,1448.2,50.2,,,
154,1448.2,60.1,,,
155,1448.2,69.9,,,
156,1448.2,79.8,,,
157,1448.2,89.6,,,
158,1448.2,99.5,,,
159,1448.2,109.3,,,
160,1448.2,119.2,,,
161,1448.2,129,,,
162,1448.2,138.9,,,
163,1448.2,148.7,,,
164,1448.2,158.6,,,
165,1448.2,168.4,,,
166,1448.2,178.3,,,
167,1448.2,188.1,,,
168,1448.2,198,,,
169,1448.2,207.8,,,
170,1448.2,217.7,,,
